year,total_positive_misalignment,total_negative_misalignment,total_tax_revenue_loss,total_tax_revenue_gain,average_tax_revenue_loss_pct_of_gvt_health_expenditure,average_tax_revenue_loss_pct_of_total_tax_revenues
2016,150068.17730629534,150068.1773062953,42722.34653517235,12762.66531671885,0.12878833764033334,0.026707520705025616
2017,283522.2533652137,283522.2533652137,78371.1784294765,24195.090116563533,0.10052510705048126,0.025267409786297462
2018,263375.7355634665,263375.73556346644,71059.86061596162,22430.883771710935,0.0688579628451532,0.018667155555030738
2019,377002.65527275123,377002.65527275123,102150.6792058986,34757.894257681975,0.15258588499218134,0.0369419509643111
2020,191065.20091755065,191022.2546562414,42453.846923851976,18809.743536422367,0.22204295640445537,0.05338728507525272
2021,275942.1556109921,275942.1556109922,67554.85497651128,24517.204848680834,0.2277939557135252,0.04800630305418898
