dataset,rate_mode,rate_mode_label,world_loss_havens_cause_bn,revenue_havens_collect_bn,ratio_loss_per_dollar_collected,havens_net_ut_loss_bn,ratio_vs_net_ut_loss,haven_share_of_total_loss_caused_pct,is_headline
baseline,loss_cit_gain_etr,"ETR-CIT (gains@CIT, losses@ETR)",983.8553227197586,219.69399624997286,4.4782986313395,76.20610723890763,12.910452434413859,29.742089122258363,False
baseline,loss_etr_gain_etr,both legs @ ETR,757.2679888802484,219.69399624997286,3.446921635576293,162.98407530093715,4.646269811832925,30.5561319843911,False
excl_resource,loss_cit_gain_etr,"ETR-CIT (gains@CIT, losses@ETR)",979.7454487740563,365.85028287103285,2.6779956026969365,210.42985310511537,4.65592421567983,32.2192385458247,True
excl_resource,loss_etr_gain_etr,both legs @ ETR,1044.8557769917966,365.85028287103285,2.8559654752545933,254.59133730390667,4.104050782154258,32.64895562987448,False
excl_resource_floored,loss_cit_gain_etr,"ETR-CIT (gains@CIT, losses@ETR)",979.7454487740563,365.85028287103285,2.6779956026969365,210.42985310511537,4.65592421567983,32.2192385458247,False
excl_resource_floored,loss_etr_gain_etr,both legs @ ETR,1044.8557769917966,365.85028287103285,2.8559654752545933,254.59133730390667,4.104050782154258,32.64895562987448,False
