year,total_positive_misalignment,total_negative_misalignment,total_profits,misaligned_of_total_profits,total_tax_revenue_loss,total_tax_revenue_gain,average_tax_revenue_loss_pct_of_gvt_health_expenditure,average_tax_revenue_loss_pct_of_total_tax_revenues
2016,373585.5604683956,373585.56046839565,2234653.761817554,0.16717827470710275,102533.0592426608,21801.954414634198,0.0737286742390105,0.012140690005439743
2017,705199.8262592204,705199.8262592205,4398804.655029767,0.16031624078893048,191192.54009897984,42390.89239332784,0.1121598622772728,0.29497285046743554
2018,597066.3143500315,597066.3143500315,5063961.381539216,0.11790498966414911,160738.29992502846,40309.54828501551,0.17502960956586214,0.027335926335612257
2019,819126.0090215658,819126.0090215658,5252345.950571461,0.15595431388757705,217344.41743698827,61340.53105565264,0.17074928031941194,0.022536395449901974
2020,674657.7261163808,674657.7261163808,3767972.070338205,0.17905061755296528,160465.40971319756,43556.045761874804,0.1206450116311039,0.026000237573190473
2021,963212.7906720918,963212.7906720918,7762091.416141,0.12409191531410262,231711.42605809096,55947.4087948736,0.18173675454084856,0.03272056559020618
