iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct,nld_oct
CAF,Central African Republic,7.8799643115187195,2.363989293455616,2.3055873987538586e-05,0.21605498162239023,0.01902764301243274,0.0,0.0,0.0,0.0,0.3596602863227537,0.3,Africa,0.0,0.0,0.0,0.0
CAN,Canada,5123.094292648773,1367.8661761372225,0.013340733088826984,0.011618787818732504,0.0071635975755641795,8125.5435632337085,869.1415931938462,2230.109853558819,0.021750154243236897,0.1069641170993803,0.267,Northern America,0.0,1.0,0.0,0.0
CHE,Switzerland,10604.496244175218,2242.700477841354,0.021872949996875116,0.08831465382755832,0.03466636920787552,9610.843154022445,845.0862457887625,2637.760274374066,0.025725949209526523,0.0879305001908253,0.21148581,Europe,0.0,1.0,0.0,0.0
CHL,Chile,1154.1084921437373,276.9860381144969,0.002701431520334972,0.02614797111702785,0.006359021471478223,0.0,0.0,0.0,0.0,0.1567827891839702,0.24,Latin America,0.0,1.0,0.0,0.0
CHN,China (People’s Republic of),12666.48084234944,3166.62021058736,0.03088389475528131,0.009748816469083706,0.0030899712299154378,0.0,0.0,0.0,0.0,0.1752069595428447,0.25,Asia,0.0,0.0,0.0,0.0
CIV,Côte d’Ivoire,62.53370243829616,15.63342560957404,0.00015247204877185075,0.03785990653628147,0.0028179967101538616,0.0,0.0,0.0,0.0,0.2777989527513236,0.25,Africa,0.0,0.0,0.0,0.0
CMR,Cameroon,142.46977162852025,47.015024637411685,0.00045853527617997964,0.3799591735485079,0.011932574237600637,0.0,0.0,0.0,0.0,0.3926815595888604,0.33,Africa,0.0,0.0,0.0,0.0
COD,Democratic Republic of the Congo,154.99746940787185,43.39929143420412,0.00042327120398790395,0.21201805545460087,0.014696239108641115,0.0,0.0,0.0,0.0,0.2885254831814473,0.28,Africa,0.0,0.0,0.0,0.0
COG,Congo,597.6585534451838,179.2975660335551,0.001748680546137016,1.4650292906432882,0.12530822890323465,0.0,0.0,0.0,0.0,0.2154724035317379,0.3,Africa,0.0,0.0,0.0,0.0
COL,Colombia,2247.1687774433394,898.8675109773358,0.008766611643275198,0.06002594898983914,0.022101548488371495,0.0,0.0,0.0,0.0,0.3457262067227979,0.4,Latin America,0.0,1.0,0.0,0.0
CRI,Costa Rica,61.51853332411265,18.455559997233795,0.00017999618984893229,0.005845339247428175,0.002321239452503133,124.2817785386381,14.343565261121354,34.109966524692425,0.0003326728645047619,0.1154116510865836,0.3,Latin America,0.0,0.0,0.0,0.0
CUW,Curaçao,-0.0,-0.0,-0.0,,,141.7130887471346,1.7887204137941082,38.89410636147867,0.00037933235045127815,0.0126221256597251,0.22,Caribbean/American isl.,0.0,0.0,1.0,1.0
CYM,Cayman Islands,184.4178442914231,0.0,0.0,,,20212.882431081034,71.86038882574103,5547.560963471169,0.05410509551209219,0.0035551776977262,0.0,Caribbean/American isl.,1.0,0.0,1.0,0.0
CYP,Cyprus,26.546948316782146,3.3183685395977682,3.2363888916493956e-05,0.005642995571418089,0.0006704728539569924,1892.3841826747002,64.72947329187475,519.3775135976485,0.005065463933622219,0.0342052495917536,0.125,Europe,0.0,0.0,0.0,0.0
CZE,Czechia,272.1576027840544,51.70994452897034,0.0005043246042877792,0.00421700797258317,0.0017666765016111656,1576.2917274307513,219.50012858932953,432.62382215665474,0.004219359349580915,0.139250955117997,0.19,Europe,0.0,1.0,0.0,0.0
DEU,Germany,5659.10338704628,1687.4792107820463,0.01645790365806172,0.0055956193973643285,0.004305246177909799,6415.950855166783,895.7086718108036,1760.9006844536975,0.017173979762822113,0.1396065356531662,0.29818844,Europe,0.0,1.0,0.0,0.0
DNK,Denmark,228.90225960356014,50.35849711278323,0.0004911440025758115,0.0018636211204761798,0.0004830452360320207,8269.626278655734,914.9499154290573,2269.6543198323216,0.02213582952265984,0.1106398142550387,0.22,Europe,0.0,1.0,0.0,0.0
DOM,Dominican Republic,68.99847427388865,18.629588053949934,0.00018169347712390058,0.009235022203060569,0.0019060103230114649,0.0,0.0,0.0,0.0,0.1663562981006439,0.27,Latin America,0.0,0.0,0.0,0.0
DZA,Algeria,253.43206335363115,65.8923364719441,0.0006426447914325798,0.009244269994925981,,0.0,0.0,0.0,0.0,0.2862677390554765,0.26,Africa,0.0,0.0,0.0,0.0
ECU,Ecuador,170.9339250092424,37.605463502033324,0.0003667642785634047,0.008359219847335992,0.002647683662091192,0.0,0.0,0.0,0.0,0.4273883260838671,0.22,Latin America,0.0,0.0,0.0,0.0
EGY,Egypt,1296.8128347107504,291.78288780991886,0.002845744484414224,0.06520953024399748,,0.0,0.0,0.0,0.0,0.3306372805195423,0.225,Africa,0.0,0.0,0.0,0.0
ESP,Spain,2300.363241756228,575.090810439057,0.005608833040648998,0.007282152821358122,0.0033810520680263457,5654.524668659667,623.7565260979002,1551.9221677461387,0.015135822330954427,0.1103110451626615,0.25,Europe,0.0,1.0,0.0,0.0
EST,Estonia,19.21376049488984,3.842752098977968,3.7478176574088985e-05,0.0032007560091907,0.0007331000521638506,18.50518484035749,1.1072875962894806,5.078871922013907,4.9533993811634435e-05,0.0598366136756778,0.2,Europe,0.0,1.0,0.0,0.0
ETH,Ethiopia,18.42317560904012,5.526952682712035,5.390410394009235e-05,0.008510335715480339,0.0009198669080448322,0.0,0.0,0.0,0.0,0.260222246005237,0.3,Africa,0.0,0.0,0.0,0.0
FIN,Finland,203.5226837208743,40.70453674417487,0.0003969893909811186,0.0023161340858345583,0.0008122578810783142,1537.4250174478436,132.2183860634543,421.9565932834394,0.0041153223789491345,0.0859998923934121,0.2,Europe,0.0,1.0,0.0,0.0
FJI,Fiji,19.516793108687814,3.903358621737563,3.80692690783725e-05,0.037776519346772536,0.0033640733689864577,0.0,0.0,0.0,0.0,0.1686266504316739,0.2,Oceania,0.0,0.0,0.0,0.0
FRA,France,6977.778183036169,2402.6815977661936,0.02343323817228417,0.011280586230690217,0.004212385959227031,0.0,0.0,0.0,0.0,0.1909206948918544,0.34433333,Europe,0.0,1.0,0.0,0.0
FRO,Faroe Islands,-0.0,-0.0,-0.0,,,2.3694306362288264,0.028324501849396253,0.6503061078999554,6.3424042226312825e-06,0.0119541384399745,0.18,Europe,0.0,0.0,1.0,0.0
GAB,Gabon,369.2067773567014,110.76203320701042,0.0010802567876656683,0.3928333142627259,0.0688703543479496,13.354486603779625,1.084624022210623,3.665228293041839,3.5746795424951606e-05,0.0812179497715509,0.3,Africa,0.0,0.0,0.0,0.0
GBR,United Kingdom,2713.3096913201607,542.6619382640322,0.005292555808558645,0.0025419770014673696,0.0007932682799542143,19645.245585012643,1786.8455279860086,5391.769229194086,0.052585666213602444,0.0909556218197238,0.2,Europe,0.0,1.0,0.0,0.0
GEO,Georgia,16.23126749180764,2.4346901237711456,2.3745415788375766e-05,0.005487791538965676,0.0006841324020354364,21.60465314943884,-0.06290275004721,5.92954175881739,5.783053585462798e-05,-0.0029115371402685,0.15,Asia,0.0,0.0,0.0,0.0
GGY,Bailiwick of Guernsey,5.349086240786726,0.0,0.0,,,270.1519704393081,3.7499481015423735,74.14501768977883,0.0007231327948023363,0.0138808837686595,0.0,Europe,1.0,0.0,1.0,0.0
GHA,Ghana,197.50453862639165,49.37613465659791,0.00048156306874392023,0.06760475244254896,0.007949912672965588,0.0,0.0,0.0,0.0,0.1727885161629032,0.25,Africa,0.0,0.0,0.0,0.0
GIB,Gibraltar,0.8705742455051471,0.0,0.0,,,0.15358152203949493,0.005296200772503926,0.04215147737003,4.111013333784552e-07,0.0344846222525517,0.0,Europe,1.0,0.0,1.0,0.0
GIN,Guinea,-0.0,-0.0,-0.0,-0.0,,0.0,0.0,0.0,0.0,0.2642746112855506,0.35,Africa,0.0,0.0,0.0,0.0
GLP,Guadeloupe,-0.0,-0.0,-0.0,,,0.0,-0.0,0.0,0.0,-0.0283953210675186,0.15,Caribbean/American isl.,0.0,0.0,0.0,0.0
GNB,Guinea-Bissau,0.7605775135938802,0.19014437839847004,1.8544689859342155e-06,0.03151130008385651,,0.0,-0.0,0.0,0.0,-0.0283953210675186,0.25,Africa,0.0,0.0,0.0,0.0
GNQ,Equatorial Guinea,-0.0,-0.0,-0.0,-0.0,-0.0,252.5411049008689,-7.1709857564060675,69.31159769007817,0.0006759926817948663,-0.0283953210675186,0.35,Africa,0.0,0.0,0.0,0.0
GRC,Greece,1221.3344805760742,354.1869993670615,0.00345436878586468,0.04222764316351034,0.006784702253620909,0.0,0.0,0.0,0.0,0.287692327409995,0.29,Europe,0.0,1.0,0.0,0.0
GRL,Greenland,-0.0,-0.0,-0.0,,,0.0,0.0,0.0,0.0,0.2182674484861097,0.318,Northern America,0.0,0.0,1.0,0.0
GTM,Guatemala,208.5532844282036,52.1383211070509,0.0005085025404699694,0.03450461467678266,0.007574099210597137,761.7198102478068,57.936446754899116,209.05910370980172,0.0020389433930282923,0.0760600498706354,0.25,Latin America,0.0,0.0,0.0,0.0
GUM,Guam,-0.0,-0.0,-0.0,,,43.63214029405115,1.9777431105703203,11.975133139634558,0.0001167928980963447,0.0453276666521896,0.35,Oceania,0.0,0.0,1.0,0.0
HKG,Hong Kong (China),454.87645058281277,75.05461434616412,0.0007320040472852315,,,31246.149160552788,2473.392770358974,8575.714915124525,0.08363853549740216,0.0791583230832665,0.165,Asia,0.0,0.0,0.0,0.0
HND,Honduras,286.63877676418883,85.99163302925665,0.0008386722649691332,0.128011540753476,,0.0,0.0,0.0,0.0,0.1672971920015087,0.3,Latin America,0.0,0.0,0.0,0.0
HRV,Croatia,15.967184500225843,3.193436900045169,3.114543663900042e-05,0.0010938336764829595,0.0002769067040388135,440.24600768995305,35.65584242885641,120.82846545574016,0.0011784342176875886,0.0809907229277303,0.2,Europe,0.0,0.0,0.0,0.0
HTI,Haiti,0.0599553463500779,0.01798660390502337,1.754224836153109e-07,0.0002546360053887881,,0.0,0.0,0.0,0.0,0.0034540811142789,0.3,Caribbean/American isl.,0.0,0.0,0.0,0.0
HUN,Hungary,246.31238706559674,46.79935354246338,0.00045643184635411356,0.007690718497121445,0.0015774877683847749,4754.1586019467595,425.54319871278557,1304.8106703354515,0.01272575577060867,0.0895096765468724,0.19,Europe,0.0,1.0,0.0,0.0
IDN,Indonesia,10475.154182473008,2618.788545618252,0.025540918850577472,0.204293638303847,0.02718782827713406,3783.078885260092,-107.42173957071067,1038.2913380691189,0.010126405529477446,-0.0283953210675186,0.25,Asia,0.0,0.0,0.0,0.0
IMN,Isle of Man,58.60771893546092,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0474526896591964,0.0,Europe,1.0,0.0,1.0,0.0
IND,India,4032.828731275839,1932.5315280273821,0.01884788713320002,0.08970593798358503,0.007554323288005505,0.0,0.0,0.0,0.0,0.2882699831023917,0.4792,Asia,0.0,0.0,0.0,0.0
IRL,Ireland,1503.9605717169352,187.9950714646169,0.0018335068986842248,0.011613223322683686,0.0033004342885066683,23563.493863227395,2689.8838286151627,6467.1587124865855,0.06307388817084864,0.1141547108518117,0.125,Europe,0.0,1.0,0.0,0.0
IRN,Iran,13.888746858952114,3.4721867147380285,3.3864070187553326e-05,0.0002074707378381967,,0.0581381717339932,0.0061761433941778555,0.015956410625687995,1.5562210611432759e-07,0.1062321571176392,0.25,Asia,0.0,0.0,0.0,0.0
IRQ,Iraq,392.01446434996967,58.80216965249545,0.0005734947351305568,0.013789441368024239,0.016972251191652736,0.0,0.0,0.0,0.0,0.3994102332953833,0.15,Asia,0.0,0.0,0.0,0.0
ISL,Iceland,370.65345704422276,74.13069140884456,0.0007229930712727734,0.0540183220346426,0.009478533470940497,0.0,0.0,0.0,0.0,0.22224636188525,0.2,Europe,0.0,1.0,0.0,0.0
ISR,Israel,91.72633315254797,22.93158328813699,0.00022365062992869207,0.001584653445789393,0.00030896864549747276,0.0,0.0,0.0,0.0,0.1798429871221275,0.25,Asia,0.0,1.0,0.0,0.0
ITA,Italy,8786.097793398669,2749.411617243762,0.026814879391600342,0.02256305195641389,0.005842506548952955,0.0,0.0,0.0,0.0,0.1593766196999299,0.3129275,Europe,0.0,1.0,0.0,0.0
JAM,Jamaica,13.28346181941581,3.3208654548539527,3.238824121100879e-05,0.0065067554921250685,0.000906398846006982,0.0,0.0,0.0,0.0,0.2447481354882777,0.25,Caribbean/American isl.,0.0,0.0,0.0,0.0
JEY,Jersey,151.06898526692223,0.0,0.0,,,28.645306423365778,0.09520424332110526,7.861896206182749,7.667669592864015e-05,0.0033235547183202,0.0,Europe,1.0,0.0,1.0,0.0
JOR,Jordan,1.9246553708494087,0.38493107416988176,3.754214270139752e-06,0.0003021417433628454,6.423962546524053e-05,159.77372428205467,5.821278897138054,43.850968749147754,0.00042767639113710105,0.0364345196514386,0.2,Asia,0.0,0.0,0.0,0.0
JPN,Japan,1682.9196958031162,504.37103283219375,0.004919106447789872,0.0011253203239066695,,0.0,0.0,0.0,0.0,0.2043756113419482,0.2996999999999999,Asia,0.0,1.0,0.0,0.0
KAZ,Kazakhstan,149.25757161856194,29.85151432371239,0.00029114038481056173,0.010658121587249856,0.00219112274261356,3765.8859440330702,87.22926310872158,1033.5726201958275,0.010080384100797318,0.0231630124770331,0.2,Asia,0.0,0.0,0.0,0.0
KEN,Kenya,140.90160165320648,42.27048049596194,0.0004122619651474762,0.02776011365019292,0.0037750978131938294,0.0,0.0,0.0,0.0,0.3381876813585207,0.3,Africa,0.0,0.0,0.0,0.0
KGZ,Kyrgyzstan,18.184042693668697,1.8184042693668698,1.7734809463388062e-05,0.010687770420770642,0.0015746986544210575,0.0,0.0,0.0,0.0,0.0822477059279671,0.1,Asia,0.0,0.0,0.0,0.0
KHM,Cambodia,5.209187133782802,1.0418374267565604,1.016099036205373e-05,0.0039022127677460715,0.00035106347438416534,18.61489727422262,2.3135591248208014,5.108983234311539,4.9827667993601144e-05,0.1242853554730357,0.2,Asia,0.0,0.0,0.0,0.0
KNA,Saint Kitts and Nevis,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.2166038838973851,0.33,Caribbean/American isl.,0.0,0.0,0.0,0.0
KOR,Korea,462.92787545473954,112.02854586004696,0.0010926090247138105,0.0019295753052289769,0.0005342718750860484,0.0,0.0,0.0,0.0,0.2124860492886513,0.242,Asia,0.0,1.0,0.0,0.0
KWT,Kuwait,89.17376752554601,13.376065128831902,0.00013045612047110888,0.003029015477969259,,108.52245768888572,7.875277151824329,29.784715365932886,0.00029048889778508037,0.0725681791542293,0.15,Asia,0.0,0.0,0.0,0.0
LAO,Lao People’s Democratic Republic,116.28738844447332,27.908973226673595,0.00027219487483176103,0.22928351494203794,0.013550855315364055,0.0,0.0,0.0,0.0,0.1607528837288904,0.24,Asia,0.0,0.0,0.0,0.0
LBN,Lebanon,2.625671790868978,0.3938507686303467,3.841207621614373e-06,0.0002067229268590408,5.693248973495963e-05,46.0979338089751,6.765499659523985,12.651886685004133,0.00012339324290579714,0.1467636204164701,0.15,Asia,0.0,0.0,0.0,0.0
LBR,Liberia,18.29627935935041,4.574069839837603,4.461068336030371e-05,0.10083645436105529,,0.0,0.0,0.0,0.0,0.000518740925207,0.25,Africa,0.0,0.0,0.0,0.0
LBY,Libya,188.7713823819861,37.754276476397216,0.00036821564435179596,,,0.0,0.0,0.0,0.0,0.4476869049163801,0.2,Africa,0.0,0.0,0.0,0.0
LCA,Saint Lucia,0.03497643783608868,0.010492931350826603,1.0233705527105565e-07,0.0002865513530442372,2.9332016359298766e-05,0.0,0.0,0.0,0.0,0.1718220022509682,0.3,Caribbean/American isl.,0.0,0.0,0.0,0.0
LKA,Sri Lanka,25.724452065893097,7.2028465784500675,7.024901657721326e-05,0.005245817437025682,0.0007164107345612119,31.74969149385019,4.256549635229891,8.713915481084403,8.49863989765636e-05,0.1340658581219402,0.28,Asia,0.0,0.0,0.0,0.0
LSO,Lesotho,60.06901735705084,15.01725433926271,0.00014646255998001568,0.12735563532686947,0.024251236360035153,0.0,0.0,0.0,0.0,0.2036418965450204,0.25,Africa,0.0,0.0,0.0,0.0
LTU,Lithuania,104.71906517840637,15.707859776760955,0.0001531980016278048,0.008365680003632893,0.0021551279662864096,52.6300158936061,7.147073495168747,14.44466036319894,0.00014087807844505402,0.1357984293528786,0.15,Europe,0.0,1.0,0.0,0.0
LUX,Luxembourg,21115.844213000397,6170.049679038716,0.06017619804395294,2.316083249100845,0.4172503550703084,6660.3010828016,160.22602423931747,1827.9642410178915,0.017828047407536365,0.0240568740432857,0.2922,Europe,0.0,1.0,0.0,0.0
LVA,Latvia,55.34077762369364,8.301116643554046,8.096039174943695e-05,0.008629922823020912,0.0012576039303487162,45.56507910695694,2.4090419826162193,12.505641143122755,0.0001219669171630407,0.0528703566378403,0.15,Europe,0.0,1.0,0.0,0.0
MAC,Macau (China),1784.6190098968086,214.15428118761702,0.002088636414142163,,0.01710696128481901,0.0,0.0,0.0,0.0,0.2796697186225209,0.12,Asia,0.0,0.0,0.0,0.0
MAR,Morocco,310.73274005966357,96.32714941849571,0.0009394740596837375,0.04305609070585662,0.0043456213080526355,0.0,0.0,0.0,0.0,0.2239104428210477,0.31,Africa,0.0,0.0,0.0,0.0
MCO,Monaco,0.7337722275102917,0.0,0.0,0.0,,243.27567562213338,24.382461913342873,66.76863856726261,0.0006511913236612203,0.1002256466906901,0.0,Europe,0.0,0.0,0.0,0.0
MDA,Moldova,4.278556104294678,0.5134267325153613,5.007426251666355e-06,0.0017300362285351963,0.0003915479801240407,0.0,0.0,0.0,0.0,0.1315665089507604,0.12,Europe,0.0,0.0,0.0,0.0
MDG,Madagascar,0.9709374404694048,0.19418748809388098,1.8939012405189763e-06,0.0006909535496047548,0.00017727754986226113,0.0,0.0,0.0,0.0,0.1575165696926321,0.2,Africa,0.0,0.0,0.0,0.0
MEX,Mexico,3950.2154146820412,1185.0646244046122,0.011557878338536337,0.03858473536991704,0.008118708271842806,0.0,0.0,0.0,0.0,0.2413994046616207,0.3,Latin America,0.0,1.0,0.0,0.0
MKD,North Macedonia,16.93673405117747,1.693673405117747,1.6518315337781928e-05,0.003904712039532872,0.000936193188931591,0.0,0.0,0.0,0.0,0.1291115869685326,0.1,Europe,0.0,0.0,0.0,0.0
MLI,Mali,26.391630930129168,7.91748927903875,7.72188924969141e-05,0.04669909946492913,0.003666444170247608,0.0,0.0,0.0,0.0,0.1948909996373282,0.3,Africa,0.0,0.0,0.0,0.0
