iso_partner,partner_jurisdiction,year,net_misalignment_musd,net_misalignment_bn,group
GRC,Greece,2019,0.0,0.0,benefits_from_ut
GRC,Greece,2020,-26.60330069645294,-0.02660330069645294,benefits_from_ut
GRC,Greece,2021,-288.9483280490672,-0.28894832804906717,benefits_from_ut
GRC,Greece,2022,-365.3486461946464,-0.3653486461946464,benefits_from_ut
HRV,Croatia,2016,0.0,0.0,benefits_from_ut
HRV,Croatia,2017,0.0,0.0,benefits_from_ut
HRV,Croatia,2018,0.0,0.0,benefits_from_ut
HRV,Croatia,2019,0.0,0.0,benefits_from_ut
HRV,Croatia,2020,-16.74112229272053,-0.01674112229272053,benefits_from_ut
HRV,Croatia,2021,-21.378304462392087,-0.021378304462392087,benefits_from_ut
HRV,Croatia,2022,26.7412815756228,0.0267412815756228,benefits_from_ut
HUN,Hungary,2016,0.0,0.0,benefits_from_ut
HUN,Hungary,2017,0.0,0.0,benefits_from_ut
HUN,Hungary,2018,-226.7519348812616,-0.2267519348812616,benefits_from_ut
HUN,Hungary,2019,0.0,0.0,benefits_from_ut
HUN,Hungary,2020,1559.5986760079672,1.5595986760079672,benefits_from_ut
HUN,Hungary,2021,-1574.208592272347,-1.574208592272347,benefits_from_ut
HUN,Hungary,2022,-705.1412184225334,-0.7051412184225334,benefits_from_ut
ITA,Italy,2016,-113.37542052995362,-0.11337542052995361,benefits_from_ut
ITA,Italy,2017,0.0,0.0,benefits_from_ut
ITA,Italy,2018,-110.13192740268636,-0.11013192740268636,benefits_from_ut
ITA,Italy,2019,-1268.854830938792,-1.268854830938792,benefits_from_ut
ITA,Italy,2020,-3012.240076200513,-3.0122400762005133,benefits_from_ut
ITA,Italy,2021,-5278.513887665802,-5.278513887665802,benefits_from_ut
ITA,Italy,2022,-4957.21252677104,-4.957212526771039,benefits_from_ut
LUX,Luxembourg,2016,-2988.3958137817176,-2.9883958137817177,benefits_from_ut
LUX,Luxembourg,2017,8376.715346233006,8.376715346233006,benefits_from_ut
LUX,Luxembourg,2018,1642.5015137594642,1.642501513759464,benefits_from_ut
LUX,Luxembourg,2019,-14633.680382532324,-14.633680382532324,benefits_from_ut
LUX,Luxembourg,2020,-3716.159818928789,-3.716159818928789,benefits_from_ut
LUX,Luxembourg,2021,-87678.75049850333,-87.67875049850333,benefits_from_ut
LUX,Luxembourg,2022,-10352.3111906861,-10.3523111906861,benefits_from_ut
LVA,Latvia,2016,44.398588928275295,0.04439858892827529,benefits_from_ut
LVA,Latvia,2017,1.5161976011225693,0.0015161976011225692,benefits_from_ut
LVA,Latvia,2018,-10.461889981507396,-0.010461889981507395,benefits_from_ut
LVA,Latvia,2019,-0.7828980777392744,-0.0007828980777392744,benefits_from_ut
LVA,Latvia,2020,-16.804592069366464,-0.016804592069366464,benefits_from_ut
LVA,Latvia,2021,-52.35349052394693,-0.05235349052394693,benefits_from_ut
LVA,Latvia,2022,-40.79466426328926,-0.04079466426328927,benefits_from_ut
MLT,Malta,2016,72.24172415687035,0.07224172415687034,benefits_from_ut
MLT,Malta,2017,-273.15247607363284,-0.27315247607363285,benefits_from_ut
MLT,Malta,2018,503.97302306958943,0.5039730230695895,benefits_from_ut
MLT,Malta,2019,882.8366461170718,0.8828366461170718,benefits_from_ut
MLT,Malta,2020,-26792.99831096484,-26.792998310964837,benefits_from_ut
MLT,Malta,2021,3573.063525823543,3.573063525823543,benefits_from_ut
MLT,Malta,2022,4856.190507465595,4.8561905074655956,benefits_from_ut
POL,Poland,2016,-58.57204899852098,-0.058572048998520976,benefits_from_ut
POL,Poland,2017,-490.2199334803686,-0.4902199334803686,benefits_from_ut
POL,Poland,2018,-489.7356353544299,-0.48973563535442993,benefits_from_ut
POL,Poland,2019,-505.5463037354236,-0.5055463037354235,benefits_from_ut
POL,Poland,2020,-2298.420768850832,-2.2984207688508316,benefits_from_ut
POL,Poland,2021,-4213.014224224194,-4.213014224224193,benefits_from_ut
POL,Poland,2022,-2988.5278124837137,-2.9885278124837136,benefits_from_ut
PRT,Portugal,2016,-110.6440171593353,-0.1106440171593353,benefits_from_ut
PRT,Portugal,2017,-62.927245856466335,-0.06292724585646634,benefits_from_ut
PRT,Portugal,2018,-168.66499036193645,-0.16866499036193644,benefits_from_ut
PRT,Portugal,2019,-101.78492692286176,-0.10178492692286176,benefits_from_ut
PRT,Portugal,2020,-313.9526196924634,-0.31395261969246335,benefits_from_ut
PRT,Portugal,2021,-709.2963729936027,-0.7092963729936027,benefits_from_ut
PRT,Portugal,2022,-374.2687763511738,-0.37426877635117384,benefits_from_ut
ROU,Romania,2016,-151.64588594643567,-0.15164588594643566,benefits_from_ut
ROU,Romania,2017,-411.67928815223576,-0.41167928815223576,benefits_from_ut
ROU,Romania,2018,-203.3805010983662,-0.20338050109836622,benefits_from_ut
ROU,Romania,2019,-181.0905725973174,-0.1810905725973174,benefits_from_ut
ROU,Romania,2020,-830.9600894067611,-0.8309600894067611,benefits_from_ut
ROU,Romania,2021,-1338.3755498367557,-1.3383755498367558,benefits_from_ut
ROU,Romania,2022,-719.6702092123292,-0.7196702092123292,benefits_from_ut
SVK,Slovak Republic,2016,-29.04096299177152,-0.02904096299177152,benefits_from_ut
SVK,Slovak Republic,2017,-91.46611958981856,-0.09146611958981857,benefits_from_ut
SVK,Slovak Republic,2018,-120.62374253910328,-0.12062374253910328,benefits_from_ut
SVK,Slovak Republic,2019,-323.4571800797362,-0.3234571800797362,benefits_from_ut
SVK,Slovak Republic,2020,-554.7206740423474,-0.5547206740423474,benefits_from_ut
SVK,Slovak Republic,2021,-25.23122937606652,-0.02523122937606652,benefits_from_ut
SVK,Slovak Republic,2022,-296.6390822759749,-0.2966390822759749,benefits_from_ut
SVN,Slovenia,2016,-11.83073373593436,-0.01183073373593436,benefits_from_ut
SVN,Slovenia,2017,-11.179914039512484,-0.011179914039512484,benefits_from_ut
SVN,Slovenia,2018,-16.547814277641898,-0.016547814277641897,benefits_from_ut
SVN,Slovenia,2019,-11.854890496208409,-0.01185489049620841,benefits_from_ut
SVN,Slovenia,2020,-81.77636125057978,-0.08177636125057978,benefits_from_ut
SVN,Slovenia,2021,-111.06733934505658,-0.11106733934505658,benefits_from_ut
SVN,Slovenia,2022,-79.0137081843593,-0.07901370818435931,benefits_from_ut
SWE,Sweden,2016,0.0,0.0,benefits_from_ut
SWE,Sweden,2017,-637.9795762614065,-0.6379795762614064,benefits_from_ut
SWE,Sweden,2018,-721.4475878445985,-0.7214475878445985,benefits_from_ut
SWE,Sweden,2019,0.0,0.0,benefits_from_ut
SWE,Sweden,2020,0.0,0.0,benefits_from_ut
SWE,Sweden,2021,-15162.8954251805,-15.162895425180501,benefits_from_ut
SWE,Sweden,2022,0.0,0.0,benefits_from_ut
CYP,Cyprus,2016,1257.9857647076064,1.2579857647076065,loses_under_ut
CYP,Cyprus,2017,-100.57374989953011,-0.10057374989953011,loses_under_ut
CYP,Cyprus,2018,157.6278847393942,0.1576278847393942,loses_under_ut
CYP,Cyprus,2019,433.993760944862,0.43399376094486203,loses_under_ut
CYP,Cyprus,2020,1083.527556843672,1.083527556843672,loses_under_ut
CYP,Cyprus,2021,1776.3233968102056,1.7763233968102057,loses_under_ut
CYP,Cyprus,2022,1584.7608356579265,1.5847608356579264,loses_under_ut
IRL,Ireland,2016,0.0,0.0,loses_under_ut
IRL,Ireland,2017,0.0,0.0,loses_under_ut
IRL,Ireland,2018,0.0,0.0,loses_under_ut
IRL,Ireland,2019,20025.87587527906,20.02587587527906,loses_under_ut
IRL,Ireland,2020,23986.743448226727,23.986743448226726,loses_under_ut
IRL,Ireland,2021,95045.0316599608,95.0450316599608,loses_under_ut
IRL,Ireland,2022,91147.82740100323,91.14782740100323,loses_under_ut
LTU,Lithuania,2016,0.0,0.0,loses_under_ut
LTU,Lithuania,2017,0.0,0.0,loses_under_ut
LTU,Lithuania,2018,0.0,0.0,loses_under_ut
LTU,Lithuania,2019,126.06183139578728,0.12606183139578728,loses_under_ut
LTU,Lithuania,2020,0.0,0.0,loses_under_ut
LTU,Lithuania,2021,0.0,0.0,loses_under_ut
LTU,Lithuania,2022,0.0,0.0,loses_under_ut
NLD,Netherlands,2016,26032.43029634028,26.03243029634028,loses_under_ut
NLD,Netherlands,2017,24690.8056802339,24.6908056802339,loses_under_ut
NLD,Netherlands,2018,15795.367298025183,15.795367298025184,loses_under_ut
NLD,Netherlands,2019,42841.07199096758,42.841071990967585,loses_under_ut
NLD,Netherlands,2020,7133.648210379465,7.133648210379465,loses_under_ut
NLD,Netherlands,2021,-13061.711429236151,-13.061711429236151,loses_under_ut
NLD,Netherlands,2022,2143.9674474215126,2.1439674474215127,loses_under_ut
