year,Employees,Tangible assets,Payroll,Sales,Reported profit
2016,59.437818239886184,68.0126640344235,77.51466346509234,69.3966366966396,31.66956529042785
2017,61.78586541274892,66.65734965489341,79.72187252384657,69.67749363629747,41.82484649330058
2018,59.28785532730439,69.33603390937962,77.71158479467508,69.16365831130574,44.045369107026026
2019,61.639493501693394,72.46054892896802,79.67761937061758,69.89283125456946,38.90490330648336
2020,61.15556851430071,72.3108078812804,79.6754774447168,69.84736632767759,52.3914318867158
2021,60.797649085551114,80.15395897138787,76.61159273706977,72.3675091544521,71.96394316394533
2022,61.881004527797295,75.3486324749833,80.15330757638571,71.53853840459513,61.9860210554432
