level,share,tax_loss_bn_total,2016,2017,2018,2019,2020,2021,2022
Federal (Bund),0.29505179089153893,6.367678102761828,0.21858314824018346,0.9961710886035093,0.3835617705680861,0.30795563810652904,1.7077565652064668,1.5280493485731799,1.225600543463874
State (Länder),0.274743287413655,5.92938890443081,0.2035380044271964,0.9276043330642806,0.3571610985774906,0.2867589589451427,1.5902111673660457,1.4228732524847334,1.1412420895659203
Municipal (Kommunen),0.43020492169480623,9.284493584325983,0.31870861006581663,1.452482982300692,0.5592582948700775,0.4490195798397799,2.490021420268246,2.2279964760165627,1.7870062209648083
