year,Employees,Tangible assets,Payroll,Sales
2016,7.624249198842995,6.428940483766998,6.617901976184678,7.474290865878847
2017,6.748386486231739,8.100387847291044,5.788390814747898,7.2928812169872765
2018,6.623312890298982,7.766226196407431,5.951523398376739,7.477999524960819
2019,6.831942450737142,6.107781730307078,5.832332354388567,7.267056106916215
2020,6.771039678764374,6.400545153266793,6.475822664201906,7.621037087978381
2021,7.066063334639961,5.486370091213679,7.520827224796806,8.055631470981103
2022,7.072742003499272,5.823549680096945,6.757914096129928,7.43101299002642
