iso_partner,partner_jurisdiction,tax_gained_bn,tax_lost_bn,net_tax_revenue_bn
LUX,Luxembourg,0.20669057394775653,29.898606188315263,-29.691915614367506
DEU,Germany,0.0,13.425175774472992,-13.425175774472992
FRA,France,0.0,11.436429353346627,-11.436429353346627
ITA,Italy,0.0,4.1031843419256,-4.1031843419256
SWE,Sweden,0.0,3.4226304336905033,-3.4226304336905033
ESP,Spain,0.0,3.291887358187152,-3.291887358187152
POL,Poland,0.0,2.0983669781542216,-2.0983669781542216
DNK,Denmark,0.0,1.6783596166852288,-1.6783596166852288
MLT,Malta,0.08723566525710347,1.353307539351921,-1.2660718740948176
AUT,Austria,0.0,0.6715483146274397,-0.6715483146274397
ROU,Romania,0.0,0.6138883354000321,-0.6138883354000321
CZE,Czechia,0.0,0.5921259270495995,-0.5921259270495995
PRT,Portugal,0.0,0.5766133437811035,-0.5766133437811035
BEL,Belgium,0.0,0.5419263480792991,-0.5419263480792991
FIN,Finland,0.0,0.3738571089253457,-0.3738571089253457
SVK,Slovak Republic,0.0,0.30293799771782953,-0.30293799771782953
BGR,Bulgaria,0.0024250496778916043,0.15922019451414013,-0.1567951448362485
GRC,Greece,0.0,0.15033012650076566,-0.15033012650076566
SVN,Slovenia,0.0,0.06118482997784695,-0.06118482997784695
HUN,Hungary,0.16992164388094186,0.22554915710185278,-0.05562751322091092
EST,Estonia,0.0015210437555324273,0.0496381531055053,-0.048117109349972875
LVA,Latvia,0.0024418915182605506,0.024239506983169866,-0.021797615464909315
HRV,Croatia,0.003788683502009679,0.006861496815920271,-0.003072813313910592
LTU,Lithuania,0.01838107122194389,0.0,0.01838107122194389
CYP,Cyprus,0.19123631530221485,0.012571718737441263,0.1786645965647736
NLD,Netherlands,10.586773735747169,3.265427857309038,7.321345878438131
IRL,Ireland,28.955391532240398,0.0,28.955391532240398
