source_iso3,hq_iso3,commodity,year,share,fallback
QAT,EGY,minerals,2016,0.000237,True
QAT,CZE,minerals,2016,0.000526,True
QAT,KOR,minerals,2016,0.000160,True
QAT,BGD,minerals,2016,0.000139,True
QAT,GRC,minerals,2016,0.000137,True
QAT,HUN,minerals,2016,0.000299,True
QAT,HKG,minerals,2016,0.000067,True
QAT,BGR,minerals,2016,0.000014,True
QAT,ARE,minerals,2016,0.000000,True
HUN,HUN,minerals,2016,1.000000,False
JOR,JOR,minerals,2016,1.000000,False
CIV,CHN,oil_gas,2016,0.080613,True
CIV,GBR,oil_gas,2016,0.073173,True
CIV,USA,oil_gas,2016,0.234071,True
CIV,SAU,oil_gas,2016,0.038429,True
CIV,FRA,oil_gas,2016,0.023519,True
CIV,NOR,oil_gas,2016,0.034413,True
CIV,BRA,oil_gas,2016,0.039077,True
CIV,RUS,oil_gas,2016,0.048872,True
CIV,ITA,oil_gas,2016,0.019330,True
CIV,JPN,oil_gas,2016,0.038192,True
CIV,MEX,oil_gas,2016,0.015247,True
CIV,THA,oil_gas,2016,0.013453,True
CIV,EGY,oil_gas,2016,0.013849,True
CIV,IDN,oil_gas,2016,0.009032,True
CIV,MYS,oil_gas,2016,0.011322,True
CIV,ESP,oil_gas,2016,0.008239,True
CIV,CAN,oil_gas,2016,0.059388,True
CIV,NLD,oil_gas,2016,0.017572,True
CIV,CUW,oil_gas,2016,0.008608,True
CIV,TWN,oil_gas,2016,0.012638,True
CIV,KOR,oil_gas,2016,0.021509,True
CIV,AUT,oil_gas,2016,0.006748,True
CIV,PAN,oil_gas,2016,0.006501,True
CIV,POL,oil_gas,2016,0.001666,True
CIV,ARE,oil_gas,2016,0.010881,True
CIV,CHL,oil_gas,2016,0.005418,True
CIV,CYP,oil_gas,2016,0.006158,True
CIV,IRL,oil_gas,2016,0.006707,True
CIV,PRT,oil_gas,2016,0.004353,True
CIV,CHE,oil_gas,2016,0.008512,True
CIV,ARG,oil_gas,2016,0.005001,True
CIV,KWT,oil_gas,2016,0.005645,True
CIV,AUS,oil_gas,2016,0.013558,True
CIV,FIN,oil_gas,2016,0.006462,True
CIV,HUN,oil_gas,2016,0.004224,True
CIV,ZAF,oil_gas,2016,0.003653,True
CIV,IND,oil_gas,2016,0.008656,True
CIV,DEU,oil_gas,2016,0.012450,True
CIV,GRC,oil_gas,2016,0.005375,True
CIV,PHL,oil_gas,2016,0.003391,True
CIV,UKR,oil_gas,2016,0.003274,True
CIV,LBY,oil_gas,2016,0.001693,True
CIV,KAZ,oil_gas,2016,0.001795,True
CIV,VNM,oil_gas,2016,0.004488,True
CIV,VGB,oil_gas,2016,0.002809,True
CIV,BMU,oil_gas,2016,0.005058,True
CIV,SVN,oil_gas,2016,0.001213,True
CIV,QAT,oil_gas,2016,0.001139,True
CIV,HKG,oil_gas,2016,0.001723,True
CIV,CYM,oil_gas,2016,0.003045,True
CIV,NZL,oil_gas,2016,0.001124,True
CIV,LUX,oil_gas,2016,0.001389,True
CIV,DNK,oil_gas,2016,0.000863,True
CIV,JOR,oil_gas,2016,0.000745,True
CIV,PAK,oil_gas,2016,0.002124,True
CIV,HRV,oil_gas,2016,0.000662,True
CIV,NGA,oil_gas,2016,0.001034,True
CIV,CRI,oil_gas,2016,0.000634,True
CIV,SGP,oil_gas,2016,0.002267,True
CIV,PER,oil_gas,2016,0.000898,True
CIV,SWE,oil_gas,2016,0.001480,True
CIV,CZE,oil_gas,2016,0.001152,True
CIV,MLT,oil_gas,2016,0.001098,True
CIV,BGD,oil_gas,2016,0.000572,True
CIV,LBR,oil_gas,2016,0.000408,True
CIV,TUR,oil_gas,2016,0.002002,True
CIV,MAR,oil_gas,2016,0.000872,True
CIV,OMN,oil_gas,2016,0.000713,True
CIV,IRN,oil_gas,2016,0.000643,True
CIV,BEL,oil_gas,2016,0.002117,True
CIV,ISR,oil_gas,2016,0.000693,True
CIV,ROU,oil_gas,2016,0.000446,True
CIV,COL,oil_gas,2016,0.000944,True
CIV,BGR,oil_gas,2016,0.000663,True
CIV,SVK,oil_gas,2016,0.000259,True
CIV,SYC,oil_gas,2016,0.000143,True
CIV,BHS,oil_gas,2016,0.000223,True
CIV,HND,oil_gas,2016,0.000121,True
CIV,LTU,oil_gas,2016,0.000134,True
CIV,SRB,oil_gas,2016,0.000187,True
CIV,MH,oil_gas,2016,0.000088,True
CIV,BOL,oil_gas,2016,0.000086,True
CIV,MKD,oil_gas,2016,0.000098,True
CIV,ISL,oil_gas,2016,0.000082,True
CIV,DZA,oil_gas,2016,0.000080,True
CIV,LI,oil_gas,2016,0.000096,True
CIV,BIH,oil_gas,2016,0.000114,True
CIV,BLR,oil_gas,2016,0.000060,True
CIV,CIV,oil_gas,2016,0.000045,True
CIV,MNG,oil_gas,2016,0.000090,True
CIV,EST,oil_gas,2016,0.000059,True
CIV,ALB,oil_gas,2016,0.000037,True
CIV,AZE,oil_gas,2016,0.000037,True
CIV,ECU,oil_gas,2016,0.000037,True
CIV,LVA,oil_gas,2016,0.000036,True
CIV,LKA,oil_gas,2016,0.000036,True
CIV,LAO,oil_gas,2016,0.000034,True
CIV,WS,oil_gas,2016,0.000031,True
CIV,MDA,oil_gas,2016,0.000028,True
CIV,KV,oil_gas,2016,0.000046,True
CIV,MOZ,oil_gas,2016,0.000021,True
CIV,IRQ,oil_gas,2016,0.000004,True
VNM,VNM,coal,2016,1.000000,False
GEO,CHN,oil_gas,2016,0.080613,True
GEO,GBR,oil_gas,2016,0.073173,True
GEO,USA,oil_gas,2016,0.234071,True
GEO,SAU,oil_gas,2016,0.038429,True
GEO,FRA,oil_gas,2016,0.023519,True
GEO,NOR,oil_gas,2016,0.034413,True
GEO,BRA,oil_gas,2016,0.039077,True
GEO,RUS,oil_gas,2016,0.048872,True
GEO,ITA,oil_gas,2016,0.019330,True
GEO,JPN,oil_gas,2016,0.038192,True
GEO,MEX,oil_gas,2016,0.015247,True
GEO,THA,oil_gas,2016,0.013453,True
GEO,EGY,oil_gas,2016,0.013849,True
GEO,IDN,oil_gas,2016,0.009032,True
GEO,MYS,oil_gas,2016,0.011322,True
GEO,ESP,oil_gas,2016,0.008239,True
GEO,CAN,oil_gas,2016,0.059388,True
GEO,NLD,oil_gas,2016,0.017572,True
GEO,CUW,oil_gas,2016,0.008608,True
GEO,TWN,oil_gas,2016,0.012638,True
GEO,KOR,oil_gas,2016,0.021509,True
GEO,AUT,oil_gas,2016,0.006748,True
GEO,PAN,oil_gas,2016,0.006501,True
GEO,POL,oil_gas,2016,0.001666,True
GEO,ARE,oil_gas,2016,0.010881,True
GEO,CHL,oil_gas,2016,0.005418,True
GEO,CYP,oil_gas,2016,0.006158,True
GEO,IRL,oil_gas,2016,0.006707,True
GEO,PRT,oil_gas,2016,0.004353,True
GEO,CHE,oil_gas,2016,0.008512,True
GEO,ARG,oil_gas,2016,0.005001,True
GEO,KWT,oil_gas,2016,0.005645,True
GEO,AUS,oil_gas,2016,0.013558,True
GEO,FIN,oil_gas,2016,0.006462,True
GEO,HUN,oil_gas,2016,0.004224,True
GEO,ZAF,oil_gas,2016,0.003653,True
GEO,IND,oil_gas,2016,0.008656,True
GEO,DEU,oil_gas,2016,0.012450,True
GEO,GRC,oil_gas,2016,0.005375,True
GEO,PHL,oil_gas,2016,0.003391,True
GEO,UKR,oil_gas,2016,0.003274,True
GEO,LBY,oil_gas,2016,0.001693,True
GEO,KAZ,oil_gas,2016,0.001795,True
GEO,VNM,oil_gas,2016,0.004488,True
GEO,VGB,oil_gas,2016,0.002809,True
GEO,BMU,oil_gas,2016,0.005058,True
GEO,SVN,oil_gas,2016,0.001213,True
GEO,QAT,oil_gas,2016,0.001139,True
GEO,HKG,oil_gas,2016,0.001723,True
GEO,CYM,oil_gas,2016,0.003045,True
GEO,NZL,oil_gas,2016,0.001124,True
GEO,LUX,oil_gas,2016,0.001389,True
GEO,DNK,oil_gas,2016,0.000863,True
GEO,JOR,oil_gas,2016,0.000745,True
GEO,PAK,oil_gas,2016,0.002124,True
GEO,HRV,oil_gas,2016,0.000662,True
GEO,NGA,oil_gas,2016,0.001034,True
GEO,CRI,oil_gas,2016,0.000634,True
GEO,SGP,oil_gas,2016,0.002267,True
GEO,PER,oil_gas,2016,0.000898,True
GEO,SWE,oil_gas,2016,0.001480,True
GEO,CZE,oil_gas,2016,0.001152,True
GEO,MLT,oil_gas,2016,0.001098,True
GEO,BGD,oil_gas,2016,0.000572,True
GEO,LBR,oil_gas,2016,0.000408,True
GEO,TUR,oil_gas,2016,0.002002,True
GEO,MAR,oil_gas,2016,0.000872,True
GEO,OMN,oil_gas,2016,0.000713,True
GEO,IRN,oil_gas,2016,0.000643,True
GEO,BEL,oil_gas,2016,0.002117,True
GEO,ISR,oil_gas,2016,0.000693,True
GEO,ROU,oil_gas,2016,0.000446,True
