year,total_positive_misalignment,total_negative_misalignment,total_tax_revenue_loss,total_tax_revenue_gain,average_tax_revenue_loss_pct_of_gvt_health_expenditure,average_tax_revenue_loss_pct_of_total_tax_revenues
2016,169293.1444955289,169293.14449552886,48206.25935072689,14727.302101250401,0.12459556789122081,0.026563935182034183
2017,316595.17119582795,316595.1711958279,90215.61216318005,26726.60505685664,0.1036518831256744,0.02686617666878194
2018,303964.3785161506,303964.3785161506,82575.32231937442,25434.42789112312,0.0767938763134636,0.02139321365579359
2019,404845.6702663863,404845.6702663861,110003.47852922883,37255.108745235506,0.15197721027589456,0.03808519381565069
2020,210493.20005887916,210411.24897691183,47505.4630447026,20748.53524787553,0.2235189732616405,0.05428226842052156
2021,309946.94864762976,309946.9486476298,76706.18032654873,27890.799689004692,0.2328913507245911,0.04998033464394908
