partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,eu27,oecd,oecd_oct,oecd_inkl_oct
Belgium,12308.86525,3077.216313,0.011972061,0.060421751,0.02213717,8334.823737,1245.299787,1396.037451,0.005431352,0.149409253,0.25,Europe,0,1,1,0,1
Belize,682.312727,0,0,0,0,0,0,0,0,31771.22222,0,Caribbean/American isl.,0,0,0,0,0
Benin,35.30418524,10.59125557,4.12E-05,0.188399788,,2.260261749,0.105179215,0.378581497,1.47E-06,0.046534086,0.3,Africa,0,0,0,0,0
Bermuda,20107.48406,0,0,,,28692.38347,257.0958559,4805.817512,0.018697269,0.008960422,0,Caribbean/American isl.,1,0,0,1,1
Bhutan,0,0,0,0,0,0,0,0,0,0.373850536,0.25,Asia,0,0,0,0,0
Bolivia,151.141041,37.78526024,0.000147005,0.015896857,,268.5291769,37.15045468,44.97717043,0.000174986,0.138347926,0.25,Latin America,0,0,0,0,0
Bosnia and Herzegovina,785.3002595,78.53002595,0.000305525,0.050829742,0.017369865,128.2315911,8.672424704,21.47809111,8.36E-05,0.067630953,0.1,Europe,0,0,0,0,0
Botswana,119.7463134,26.34418895,0.000102493,0.029099484,0.006320212,16.15246978,2.170591905,2.705450463,1.05E-05,0.134381425,0.22,Africa,0,0,0,0,0
Brazil,21634.80517,7355.833757,0.028618232,0.098992589,0.031145824,30981.35921,4152.102222,5189.208448,0.02018887,0.134019369,0.34,Latin America,0,0,0,0,0
British Virgin Islands,2837.194759,0,0,,,49346.47629,399.3241226,8265.265247,0.032156419,0.008092252,0,Caribbean/American isl.,1,0,0,1,1
Brunei Darussalam,34.91669042,6.459587728,2.51E-05,0.022430075,,27.87276697,0.678230335,4.668536227,1.82E-05,0.024333082,0.185,Asia,0,0,0,0,0
Bulgaria,1649.522392,164.9522392,0.000641755,0.036498354,0.009493639,590.9792728,53.97936703,98.98580025,0.000385109,0.09133885,0.1,Europe,0,1,0,0,0
Burkina Faso,24.67470239,6.785543157,2.64E-05,0.012590921,0.002161307,0,0,0,0,0.307465432,0.275,Africa,0,0,0,0,0
Cabo Verde,23.4823796,5.269445983,2.05E-05,0.052949558,0.014045651,9.24488428,1.322517427,1.548467621,6.02E-06,0.143053973,0.2244,Africa,0,0,0,0,0
Cambodia,1795.443978,359.0887957,0.001397053,0.665202784,0.081386174,527.5940266,46.96844958,88.36911773,0.000343804,0.089023846,0.2,Asia,0,0,0,0,0
Cameroon,29.36637059,9.690902294,3.77E-05,0.044080671,0.001898302,0,0,0,0,0.202995211,0.33,Africa,0,0,0,0,0
Canada,28563.95017,7475.185759,0.029082576,0.041525914,0.028167251,111552.3036,3614.031866,18684.40156,0.07269258,0.032397644,0.2617,Northern America,0,0,1,0,1
Cayman Islands,10704.49195,0,0,,,79684.74427,263.8637153,13346.75943,0.051926221,0.003311345,0,Caribbean/American isl.,1,0,0,1,1
Central African Republic,3.86918052,1.160754156,4.52E-06,0.035543705,0.00562078,0,0,0,0,0.173713427,0.3,Africa,0,0,0,0,0
Chad,428.2992399,149.904734,0.000583212,1.416162875,,32.01523566,1.420078013,5.362377105,2.09E-05,0.044356319,0.35,Africa,0,0,0,0,0
Chile,40612.5932,10965.40017,0.042661427,0.666180608,0.176735442,5012.777192,746.0599844,839.6127998,0.003266555,0.148831667,0.27,Latin America,0,0,1,0,1
China (People’s Republic of),17668.65685,4417.164211,0.017185194,0.00854488,0.003111945,0,0,0,0,0.186642262,0.25,Asia,0,0,0,0,0
Chinese Taipei,1652.121304,330.4242609,0.001285532,,,11525.42297,1322.799658,1930.445396,0.007510492,0.114772331,0.2,Asia,0,0,0,0,0
Colombia,7638.956721,2368.076583,0.009213118,0.113576954,0.051463035,0,0,0,0,0.247931259,0.31,Latin America,0,0,1,0,1
Congo,383.7236536,107.442623,0.000418011,0.466802048,0.111337514,632.5490062,21.03026706,105.9485036,0.000412198,0.033246858,0.28,Africa,0,0,0,0,0
Cook Islands,0.143788418,0.028757684,1.12E-07,0.002401898,,0,0,0,0,0.001870515,0.2,Oceania,0,0,0,0,0
Costa Rica,3535.77213,1060.731639,0.004126828,0.309772787,0.116641119,0.119088586,0.012380128,0.019946688,7.76E-08,0.103957303,0.3,Latin America,0,0,0,0,0
Croatia,522.0035289,93.9606352,0.000365558,0.019997371,0.006462075,0,0,0,0,0.1619633,0.18,Europe,0,1,0,0,0
Cuba,1.48680975,0.520383412,2.02E-06,4.86E-05,,0,0,0,0,0,0.35,Latin America,0,0,0,0,0
Curaçao,3048.31533,670.6293727,0.002609116,,,196.3825434,1.50945227,32.89300337,0.000127972,0.007686285,0.22,Caribbean/American isl.,0,0,0,1,1
Cyprus,3107.615644,388.4519555,0.001511291,0.171213338,0.056709635,12997.23975,138.5246495,2176.966668,0.008469595,0.010658005,0.125,Europe,0,1,0,0,0
Czechia,6550.842139,1244.660006,0.004842411,0.054016548,0.033067692,0,0,0,0,0.17883551,0.19,Europe,0,1,1,0,1
Côte d’Ivoire,63.13975508,15.78493877,6.14E-05,0.021354809,0.001750221,0,0,0,0,0.261767598,0.25,Africa,0,0,0,0,0
Democratic People’s Republic of Korea,1.930007208,0.627252343,2.44E-06,,,10.97320039,0.002364459,1.837951129,7.15E-06,0.000215476,0.325,Asia,0,0,0,0,0
Democratic Republic of the Congo,383.8834583,107.4873683,0.000418185,0.299549993,0.023130196,0,0,0,0,0.311388578,0.28,Africa,0,0,0,0,0
Denmark,2206.767332,485.4888131,0.001888818,0.013216146,0.00340086,45664.97835,4969.020418,7648.63445,0.029757387,0.108814689,0.22,Europe,0,1,1,0,1
Djibouti,0.926905319,0.23172633,9.02E-07,0.007112219,,0.619434681,0,0.103751926,4.04E-07,0,0.25,Africa,0,0,0,0,0
Dominica,0.401552322,0.10038808,3.91E-07,0.004482667,,0,0,0,0,0.129848712,0.25,Caribbean/American isl.,0,0,0,0,0
Dominican Republic,1122.2219,302.999913,0.001178836,0.097814383,0.022362002,0,0,0,0,0.160296485,0.27,Latin America,0,0,0,0,0
Ecuador,832.754644,208.188661,0.000809968,0.037148546,0.015251709,0,0,0,0,0.213585016,0.25,Latin America,0,0,0,0,0
Egypt,2284.004707,513.9010592,0.001999357,0.069473084,,0,0,0,0,0.22987874,0.225,Africa,0,0,0,0,0
El Salvador,917.0712629,275.1213789,0.001070373,0.149519899,0.04811076,0,0,0,0,0.189956619,0.3,Latin America,0,0,0,0,0
Equatorial Guinea,413.9478226,144.8817379,0.00056367,1.741651765,0.219831301,5.480932989,0.608657487,0.918026339,3.57E-06,0.111049978,0.35,Africa,0,0,0,0,0
Estonia,391.2581551,78.25163101,0.000304442,0.036880403,0.009810656,980.7840062,18.94024616,164.275964,0.000639124,0.019311333,0.2,Europe,0,1,1,0,1
