partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,eu27,oecd,oecd_oct,oecd_inkl_oct
Kyrgyzstan,33.28159863,3.328159863,1.29E-05,0.013096083,0.002181972,0,0,0,0,0.030938485,0.1,Asia,0,0,0,0,0
Lao People’s Democratic Republic,2440.574506,488.1149011,0.001899035,3.641180708,0.249505008,372.649987,46.66762342,62.4168374,0.000242836,0.125231786,0.2,Asia,0,0,0,0,0
Latvia,570.4868461,114.0973692,0.000443901,0.045800285,0.013064242,47.40766503,2.627951297,7.94052495,3.09E-05,0.055433046,0.2,Europe,0,1,1,0,1
Lebanon,218.1369405,37.08327988,0.000144274,0.074816141,0.028200136,5.377408057,0.635851023,0.900686478,3.50E-06,0.11824489,0.17,Asia,0,0,0,0,0
Lesotho,34.90966307,8.727415768,3.40E-05,0.081029545,0.011352715,0,0,0,0,0.238949601,0.25,Africa,0,0,0,0,0
Liberia,5725.201975,1431.300494,0.005568545,37.56826861,,75.97070352,0.152145112,12.72467789,4.95E-05,0.002002681,0.25,Africa,0,0,0,0,0
Libya,0.291128541,0.058225708,2.27E-07,,,0,0,0,0,0.444643426,0.2,Africa,0,0,0,0,0
Liechtenstein,170.4672214,21.30840268,8.29E-05,,,1.50959638,0.011630334,0.252849148,9.84E-07,0.007704268,0.125,Europe,0,0,0,0,0
Lithuania,790.5455449,118.5818317,0.000461348,0.033968956,0.008342559,903.4846048,54.45526023,151.3287365,0.000588752,0.060272483,0.15,Europe,0,1,1,0,1
Luxembourg,58141.04453,14500.37651,0.056414425,3.442563545,0.655036005,34724.82934,1146.242441,5816.219247,0.022628286,0.033009304,0.2494,Europe,0,1,1,0,1
Macau (China),4319.347757,518.3217308,0.002016556,,0.086681696,0,0,0,0,0.201519112,0.12,Asia,0,0,0,0,0
Madagascar,63.06403197,12.61280639,4.91E-05,0.117561092,0.008463875,29.00058507,1.310076415,4.857439597,1.89E-05,0.045174137,0.2,Africa,0,0,0,0,0
Malawi,413.2523738,123.9757121,0.000482334,0.728215695,0.086433551,0,0,0,0,0.492880904,0.3,Africa,0,0,0,0,0
Malaysia,4256.437815,1021.545076,0.003974371,0.111142574,0.024366602,5623.988893,750.0336342,941.9874212,0.003664848,0.133363285,0.24,Asia,0,0,0,0,0
Maldives,62.04554634,9.306831951,3.62E-05,0.023998171,0.009108507,0,0,0,0,0.227511902,0.15,Asia,0,0,0,0,0
Mali,8.246691513,2.474007454,9.63E-06,0.009597605,0.001056411,0,0,0,0,0.271742347,0.3,Africa,0,0,0,0,0
Malta,435.597833,21.77989165,8.47E-05,0.01720144,0.005044571,6594.14874,286.7221907,1104.483897,0.004297049,0.043481305,0.05,Europe,0,1,0,0,0
Marshall Islands,5957.340911,0,0,0,0,53.02548607,0.306572167,8.88147929,3.46E-05,0.0057816,0,Oceania,0,0,0,0,0
Mauritania,11.08818242,2.772045604,1.08E-05,0.017343063,,0,0,0,0,0.243092836,0.25,Africa,0,0,0,0,0
Mauritius,1708.584855,256.2877282,0.0009971,0.709960673,0.122184511,7735.359147,904.1085626,1295.630406,0.005040714,0.116879972,0.15,Africa,0,0,0,0,0
Mexico,41173.84488,12352.15346,0.048056658,0.318679612,0.069956689,0,0,0,0,0.187157959,0.3,Latin America,0,0,1,0,1
Micronesia,0,0,0,0,0,73.14574191,8.406053839,12.25151225,4.77E-05,0.114921985,0.3,Oceania,0,0,0,0,0
Moldova,239.3183183,28.71819819,0.00011173,0.041481015,0.011406626,2.083120537,0.249651323,0.348911312,1.36E-06,0.119844876,0.12,Europe,0,0,0,0,0
Monaco,163.273471,0,0,0,,2.559446656,0.322880442,0.428693335,1.67E-06,0.12615244,0,Europe,0,0,0,0,0
Mongolia,2061.473866,515.3684664,0.002005066,0.743986964,0.199387247,250.554072,11.43903972,41.96643853,0.000163272,0.045654974,0.25,Asia,0,0,0,0,0
Montenegro,158.1244835,14.23120351,5.54E-05,0.037611608,,9.3179954,0.53597867,1.560713334,6.07E-06,0.057520813,0.09,Europe,0,0,0,0,0
Morocco,2850.593674,883.684039,0.003438016,0.277424058,0.031640455,0,0,0,0,0.26555855,0.31,Africa,0,0,0,0,0
Mozambique,328.3296837,105.0654988,0.000408762,0.259080436,0.028566944,0,0,0,0,0.244164995,0.32,Africa,0,0,0,0,0
Myanmar,1431.866489,357.9666222,0.001392687,0.541582066,0.102564108,76.59099865,6.201656305,12.82857393,4.99E-05,0.080971086,0.25,Asia,0,0,0,0,0
Namibia,357.3007634,114.3362443,0.000444831,0.208609655,0.032849276,0,0,0,0,0.247003825,0.32,Africa,0,0,0,0,0
Nauru,0.000162496,4.06E-05,1.58E-10,2.45E-06,8.29E-07,0,0,0,0,0,0.25,Oceania,0,0,0,0,0
Nepal,395.9841999,98.99604998,0.000385149,0.152029484,0.015332962,0,0,0,0,0.306421596,0.25,Asia,0,0,0,0,0
Netherlands,30409.65668,7602.414171,0.029577565,0.095408935,0.030127237,26576.06974,2271.662908,4451.346522,0.017318182,0.08547776,0.25,Europe,0,1,1,0,1
New Caledonia,103.4143429,0,0,,,0,0,0,0,0.358312454,0,Oceania,0,0,0,1,1
