partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,tax_revenue,tax_revenue_pct_total,tax_revenue_pct_total,etr_average_corrected
Albania,1.5974557826270444,56.54923838073653,-54.95178259810949,-8.242767389716423,0.01037710529407594,0.01037710529407594,0.1122164207497937
Argentina,9986.788662412311,0.0,9986.788662412311,2996.0365987236933,0.01037710529407594,0.01037710529407594,0.2535905081093398
Armenia,59.760996737057404,0.0,59.760996737057404,10.756979412670333,0.01037710529407594,0.01037710529407594,0.4531761126792806
Australia,17129.280196037675,0.0,17129.280196037675,5138.784058811302,0.01037710529407594,0.01037710529407594,0.2016874159024712
Austria,1291.0164079099854,10118.494270630823,-8827.477862720838,-2206.8694656802095,0.01037710529407594,0.01037710529407594,0.1060767977828734
Azerbaijan,63.04290835344821,0.0,63.04290835344821,12.608581670689643,0.01037710529407594,0.01037710529407594,0.5506350507464592
Bahamas,287.75783067288137,11881.477846328129,-11593.720015655248,-0.0,0.01037710529407594,0.01037710529407594,0.0047314900921508
Bahrain,259.66804282197796,2030.693138751265,-1771.025095929287,-0.0,0.01037710529407594,0.01037710529407594,0.0029838575744799
Bangladesh,637.5409865355421,0.0,637.5409865355421,159.38524663388552,0.01037710529407594,0.01037710529407594,0.3185790880624918
Belarus,66.63702524185352,273.2525703031936,-206.61554506134007,-37.19079811104121,0.01037710529407594,0.01037710529407594,0.1257897458282565
Belgium,3275.52205500073,13245.196292669014,-9969.674237668285,-2492.4185594170713,0.01037710529407594,0.01037710529407594,0.1313215874703167
Bosnia and Herzegovina,97.9669485068397,197.2704208374261,-99.30347233058639,-9.93034723305864,0.01037710529407594,0.01037710529407594,0.1485731012422058
Botswana,50.72783354636434,0.0,50.72783354636434,11.160123380200154,0.01037710529407594,0.01037710529407594,0.1740332514890426
Brazil,18178.517155292175,0.0,18178.517155292175,6180.69583279934,0.01037710529407594,0.01037710529407594,0.2029880353380588
Bulgaria,841.2063983454826,1947.232379143252,-1106.0259807977695,-110.60259807977695,0.01037710529407594,0.01037710529407594,0.104634034720613
Burkina Faso,23.547836983603176,191.66844995204895,-168.12061296844576,-46.23316856632259,0.01037710529407594,0.01037710529407594,0.1226268545670642
Cabo Verde,28.08117428234721,0.0,28.08117428234721,6.301415508958714,0.01037710529407594,0.01037710529407594,0.2860860171036161
Cambodia,942.7047864623585,1579.8132845785628,-637.1084981162044,-127.42169962324088,0.01037710529407594,0.01037710529407594,0.114732007924916
Cameroon,199.30362374290644,0.0,199.30362374290644,65.77019583515913,0.01037710529407594,0.01037710529407594,0.6396399704516
Canada,38936.65525461317,49457.57547514667,-10520.920220533495,-2761.7415578900427,0.01037710529407594,0.01037710529407594,0.1103728912486411
Central African Republic,-0.0,0.0,-0.0,-0.0,0.01037710529407594,0.01037710529407594,0.2548756971628439
Chile,5357.428328296523,0.0,5357.428328296523,1446.5056486400615,0.01037710529407594,0.01037710529407594,0.1998733620309618
China (People’s Republic of),7393.272214938729,0.0,7393.272214938729,1848.3180537346823,0.01037710529407594,0.01037710529407594,0.1721540276918187
Colombia,6675.367518531243,0.0,6675.367518531243,2136.117605929998,0.01037710529407594,0.01037710529407594,0.691897423197905
Congo,399.3155631102998,0.0,399.3155631102998,119.79466893308994,0.01037710529407594,0.01037710529407594,0.2833776618712972
Costa Rica,1045.4686397149944,0.0,1045.4686397149944,313.6405919144983,0.01037710529407594,0.01037710529407594,0.1565429119086864
Croatia,311.7551339459598,0.0,311.7551339459598,56.115924110272765,0.01037710529407594,0.01037710529407594,0.2914993418230818
Cyprus,3051.4116178723916,3418.27649681953,-366.86487894713855,-45.85810986839232,0.01037710529407594,0.01037710529407594,0.0377915995985469
Czechia,2917.4704077566557,0.0,2917.4704077566557,554.3193774737646,0.01037710529407594,0.01037710529407594,0.1974208089317916
