partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,tax_revenue,tax_revenue_pct_total,tax_revenue_pct_total,etr_average_corrected
Albania,138.9067355534593,0.0,138.9067355534593,20.836010333018894,0.01911010954644785,0.01911010954644785,0.2530394628482435
Angola,233.12947497400384,0.0,233.12947497400384,69.93884249220115,0.01911010954644785,0.01911010954644785,0.2228140731528627
Argentina,7102.679626776332,0.0,7102.679626776332,2130.8038880328995,0.01911010954644785,0.01911010954644785,0.1632288327706152
Armenia,13.639128174456395,1.4245903186652582,12.214537855791137,2.4429075711582278,0.01911010954644785,0.01911010954644785,0.1114066068991914
Australia,28551.65588947915,0.0,28551.65588947915,8565.496766843744,0.01911010954644785,0.01911010954644785,0.3152666394867726
Austria,4622.6290724557475,7901.231131385759,-3278.6020589300115,-819.6505147325029,0.01911010954644785,0.01911010954644785,0.1084197523201838
Azerbaijan,0.732392601512047,0.0,0.732392601512047,0.1464785203024094,0.01911010954644785,0.01911010954644785,0.1500041516767618
Bahamas,1646.7620586419328,3617.9293465814826,-1971.1672879395499,-0.0,0.01911010954644785,0.01911010954644785,0.0149287750486641
Bahrain,198.55822496337748,506.7914696530619,-308.2332446896844,-0.0,0.01911010954644785,0.01911010954644785,0.0056605531107073
Bangladesh,888.5030137392965,0.0,888.5030137392965,222.12575343482413,0.01911010954644785,0.01911010954644785,0.4564751095662389
Belarus,93.2959057323852,0.0,93.2959057323852,16.793263031829333,0.01911010954644785,0.01911010954644785,0.2065573607785748
Belgium,65774.35656863792,0.0,65774.35656863792,19456.054673003095,0.01911010954644785,0.01911010954644785,0.2143580460637765
Bhutan,-0.0,0.0,-0.0,-0.0,0.01911010954644785,0.01911010954644785,0.2362929226742388
Bosnia and Herzegovina,152.98754442133531,122.64242535769594,30.345119063639373,3.0345119063639374,0.01911010954644785,0.01911010954644785,0.1063725003347371
Botswana,521.6628119597116,0.0,521.6628119597116,114.76581863113655,0.01911010954644785,0.01911010954644785,0.1872147666644821
Brazil,39045.844722845446,0.0,39045.844722845446,13275.587205767453,0.01911010954644785,0.01911010954644785,0.3082545460432817
Bulgaria,1244.8659548511205,767.5026334876109,477.3633213635096,47.73633213635097,0.01911010954644785,0.01911010954644785,0.0667978432063934
Burkina Faso,40.032076371058366,160.79174322016715,-120.75966684910878,-33.20890838350492,0.01911010954644785,0.01911010954644785,0.107637874399176
Cabo Verde,5.377260197684721,0.0,5.377260197684721,1.371201350409604,0.01911010954644785,0.01911010954644785,0.1657857016520884
Cambodia,1113.6457111265731,374.009004164118,739.6367069624552,147.92734139249103,0.01911010954644785,0.01911010954644785,0.0702713322692747
Cameroon,128.97130177872913,0.0,128.97130177872913,42.560529586980614,0.01911010954644785,0.01911010954644785,0.3110815806458167
Canada,13061.957226338085,0.0,13061.957226338085,3497.992145213339,0.01911010954644785,0.01911010954644785,0.189118720748389
Central African Republic,-0.0,2.604931554436815,-2.604931554436815,-0.7814794663310444,0.01911010954644785,0.01911010954644785,0.084590052134194
Chile,12143.816577856924,0.0,12143.816577856924,3278.8304760213696,0.01911010954644785,0.01911010954644785,0.1875214071676717
China (People’s Republic of),6313.003925495149,0.0,6313.003925495149,1578.2509813737872,0.01911010954644785,0.01911010954644785,0.1776947704703964
Colombia,8954.141661587853,0.0,8954.141661587853,3313.032414787506,0.01911010954644785,0.01911010954644785,0.4017668989380718
Congo,828.4122904931779,0.020628629731708023,828.3916618634462,248.51749855903384,0.01911010954644785,0.01911010954644785,0.0571642814993627
Costa Rica,1289.249225030241,2346.063337426456,-1056.8141123962153,-317.0442337188646,0.01911010954644785,0.01911010954644785,0.1012197041528306
Croatia,566.4049008186256,623.8794710350065,-57.474570216380926,-10.345422638948566,0.01911010954644785,0.01911010954644785,0.1238495686024068
Cyprus,1351.3234026006303,977.2208587331052,374.1025438675251,46.76281798344064,0.01911010954644785,0.01911010954644785,0.043496679131356
Czechia,2828.5895359811057,0.0,2828.5895359811057,537.4320118364101,0.01911010954644785,0.01911010954644785,0.1691234142636666
Côte d’Ivoire,464.45398851193124,29.5270663943277,434.92692211760357,108.73173052940089,0.01911010954644785,0.01911010954644785,0.1495603677010031
Democratic Republic of the Congo,404.52434967686526,0.0,404.52434967686526,113.26681790952229,0.01911010954644785,0.01911010954644785,0.1518645191554564
Denmark,1154.7723451855725,0.0,1154.7723451855725,254.04991594082594,0.01911010954644785,0.01911010954644785,0.1614846888137958
Dominican Republic,544.9652456595973,0.0,544.9652456595973,147.14061632809128,0.01911010954644785,0.01911010954644785,0.2054356211618871
Ecuador,465.31546354572083,0.0,465.31546354572083,116.32886588643021,0.01911010954644785,0.01911010954644785,0.4726163839416312
El Salvador,928.8809781904454,0.0,928.8809781904454,278.6642934571336,0.01911010954644785,0.01911010954644785,0.2933302426164287
Equatorial Guinea,63.22748560640112,0.0,63.22748560640112,22.12961996224039,0.01911010954644785,0.01911010954644785,0.2229164815710097
Estonia,280.29911477736164,0.6833663602749445,279.6157484170867,55.92314968341734,0.01911010954644785,0.01911010954644785,0.1479966850656194
Eswatini,211.9434349140733,837.0078875154065,-625.0644526013332,-171.89272446536663,0.01911010954644785,0.01911010954644785,0.0822262185414795
Ethiopia,575.2169561784351,0.0,575.2169561784351,172.56508685353052,0.01911010954644785,0.01911010954644785,0.4582836975191589
Fiji,2907.8658909613036,0.0,2907.8658909613036,581.5731781922608,0.01911010954644785,0.01911010954644785,0.1602889753051275
Finland,9984.006746433459,0.0,9984.006746433459,1996.801349286692,0.01911010954644785,0.01911010954644785,0.1530654918355858
France,61487.158830442284,0.0,61487.158830442284,21172.078152325095,0.01911010954644785,0.01911010954644785,0.2433054842122465
Gabon,407.2220313056139,0.0,407.2220313056139,122.16660939168416,0.01911010954644785,0.01911010954644785,0.4073694214924015
Georgia,176.42263612220012,139.6962991771836,36.72633694501653,5.508950541752479,0.01911010954644785,0.01911010954644785,0.0284417312088883
Germany,79578.8653278831,0.0,79578.8653278831,23791.740318607754,0.01911010954644785,0.01911010954644785,0.1975096823757806
Ghana,675.7667274559954,0.0,675.7667274559954,168.94168186399884,0.01911010954644785,0.01911010954644785,0.252217066715898
Greece,580.2170099949502,0.0,580.2170099949502,168.26293289853555,0.01911010954644785,0.01911010954644785,0.2665573424314211
Guatemala,816.0562766462731,0.0,816.0562766462731,204.01406916156827,0.01911010954644785,0.01911010954644785,0.2182283191777063
Hungary,3655.38306886295,0.0,3655.38306886295,328.9844761976655,0.01911010954644785,0.01911010954644785,0.1720810883465882
Iceland,240.20486072684267,0.0,240.20486072684267,48.040972145368535,0.01911010954644785,0.01911010954644785,0.1548521248320022
India,28186.51410885408,0.0,28186.51410885408,13619.723617398293,0.01911010954644785,0.01911010954644785,0.4525486716597567
Indonesia,11118.625850658107,0.0,11118.625850658107,2779.6564626645268,0.01911010954644785,0.01911010954644785,0.4677729996941457
Iraq,205.873231522629,0.0,205.873231522629,30.88098472839435,0.01911010954644785,0.01911010954644785,0.4493698757616629
Ireland,14120.37566068821,27647.71283578943,-13527.337175101218,-1690.9171468876523,0.01911010954644785,0.01911010954644785,0.1403322361644686
Israel,1193.445147084894,0.0,1193.445147084894,274.49238382952564,0.01911010954644785,0.01911010954644785,0.2357628730813048
Italy,38133.98731108982,0.0,38133.98731108982,10603.689047670878,0.01911010954644785,0.01911010954644785,0.250107349565807
Jamaica,307.7414152986025,0.0,307.7414152986025,76.93535382465062,0.01911010954644785,0.01911010954644785,0.3371062301141941
Jordan,389.73446312201037,283.2555232038913,106.47893991811907,21.295787983623814,0.01911010954644785,0.01911010954644785,0.1035328436342875
Kazakhstan,193.1089985033294,0.0,193.1089985033294,38.62179970066588,0.01911010954644785,0.01911010954644785,0.2452042023816559
Kenya,940.7107370553434,0.0,940.7107370553434,282.213221116603,0.01911010954644785,0.01911010954644785,0.318299020024915
Korea,8705.152412984855,0.0,8705.152412984855,2393.9169135708353,0.01911010954644785,0.01911010954644785,0.3072025584238929
Kyrgyzstan,42.810344897124075,0.0,42.810344897124075,4.2810344897124075,0.01911010954644785,0.01911010954644785,0.1657857016520884
Lao People’s Democratic Republic,198.70554782387114,0.0,198.70554782387114,47.68933147772907,0.01911010954644785,0.01911010954644785,0.3671348169524511
Latvia,285.22496134589784,380.1162382522865,-94.89127690638867,-18.978255381277734,0.01911010954644785,0.01911010954644785,0.0594961418832019
Lebanon,594.3457477227834,0.0,594.3457477227834,89.1518621584175,0.01911010954644785,0.01911010954644785,0.3746112303431499
Lesotho,134.6924998906334,0.0,134.6924998906334,33.67312497265835,0.01911010954644785,0.01911010954644785,0.2151767386148722
Lithuania,455.0146068407247,0.0,455.0146068407247,68.2521910261087,0.01911010954644785,0.01911010954644785,0.1619850119560527
Luxembourg,8611.801946285566,47195.78845470599,-38583.98650842042,-10035.694890840152,0.01911010954644785,0.01911010954644785,0.0412190826151162
Macau (China),4.98684467873508,0.0,4.98684467873508,0.5984213614482096,0.01911010954644785,0.01911010954644785,0.3291107544056876
Madagascar,19.133429361627257,106.41699775400438,-87.28356839237713,-17.456713678475428,0.01911010954644785,0.01911010954644785,0.1201750890507462
Malawi,165.38292602792967,10.160746472705771,155.2221795552239,46.56665386656717,0.01911010954644785,0.01911010954644785,0.1345512606947077
Malaysia,3514.5738740838738,0.0,3514.5738740838738,843.4977297801297,0.01911010954644785,0.01911010954644785,0.2292597815556197
Maldives,65.25072980775192,0.0,65.25072980775192,9.787609471162789,0.01911010954644785,0.01911010954644785,0.0
Mali,123.14721209501663,0.20739355761518888,122.93981853740144,36.88194556122043,0.01911010954644785,0.01911010954644785,0.0254198118710102
Malta,416.04472749467845,5006.355654457209,-4590.310926962531,-229.5155463481261,0.01911010954644785,0.01911010954644785,0.0543278750780325
Marshall Islands,12.350943908862025,150.0761648856586,-137.72522097679658,-0.0,0.01911010954644785,0.01911010954644785,0.0004227299132854
Mauritius,2185.0113928021906,1187.0807229707339,997.9306698314567,149.6896004747185,0.01911010954644785,0.01911010954644785,0.078131724354018
Mexico,25573.956390289102,0.0,25573.956390289102,7672.18691708673,0.01911010954644785,0.01911010954644785,0.2182438618084438
Micronesia,-0.0,0.0,-0.0,-0.0,0.01911010954644785,0.01911010954644785,1.042938522405214
Moldova,129.74925765881363,0.0,129.74925765881363,15.569910919057635,0.01911010954644785,0.01911010954644785,0.226978517003613
Mongolia,324.31130065167434,38.52565961598037,285.78564103569397,71.44641025892349,0.01911010954644785,0.01911010954644785,0.1195888252971445
Morocco,3119.81596829699,361.6610377379166,2758.1549305590734,855.0280284733127,0.01911010954644785,0.01911010954644785,0.1220459881241464
Mozambique,7325.512321746435,0.0,7325.512321746435,2344.1639429588595,0.01911010954644785,0.01911010954644785,0.4571607839988473
Myanmar,454.6575321420354,192.87321578396842,261.784316358067,65.44607908951674,0.01911010954644785,0.01911010954644785,0.0755750830446638
Namibia,1186.0130161073291,0.0,1186.0130161073291,379.5241651543453,0.01911010954644785,0.01911010954644785,0.1709331097734709
Nepal,100.88379537602391,0.0,100.88379537602391,25.220948844005978,0.01911010954644785,0.01911010954644785,0.2688606979271976
Netherlands,9646.630646010235,259806.92363986894,-250160.2929938587,-62540.07324846467,0.01911010954644785,0.01911010954644785,0.0596059325317674
New Zealand,1612.5351807471245,0.0,1612.5351807471245,451.5098506091949,0.01911010954644785,0.01911010954644785,0.2464191051552503
Nicaragua,321.541717599671,0.0,321.541717599671,96.4625152799013,0.01911010954644785,0.01911010954644785,0.2665087291208352
North Macedonia,122.94846178385693,0.46374847730077245,122.48471330655616,12.248471330655617,0.01911010954644785,0.01911010954644785,0.1398550315427633
Norway,2770.6994690153206,0.0,2770.6994690153206,637.2608778735238,0.01911010954644785,0.01911010954644785,0.3442698284744978
Palau,0.06609295755160169,0.0,0.06609295755160169,0.0,0.01911010954644785,0.01911010954644785,0.0
Panama,2044.865423760184,2713.5027697127125,-668.6373459525284,-167.1593364881321,0.01911010954644785,0.01911010954644785,0.083166274917886
Papua New Guinea,60.641827877891664,1551.6942943531683,-1491.0524664752766,-447.315739942583,0.01911010954644785,0.01911010954644785,0.0926501596893202
Paraguay,97.32129196802214,326.50222949178766,-229.18093752376552,-22.918093752376553,0.01911010954644785,0.01911010954644785,0.1007723044069029
Peru,3657.1525115331738,0.0,3657.1525115331738,1078.8599909022862,0.01911010954644785,0.01911010954644785,0.2981607795490781
Philippines,7474.831173446356,0.0,7474.831173446356,2242.4493520339065,0.01911010954644785,0.01911010954644785,0.2377749938728573
Poland,14461.234810854894,0.0,14461.234810854894,2747.63461406243,0.01911010954644785,0.01911010954644785,0.1773245933288012
Portugal,2003.79210964275,0.0,2003.79210964275,631.1945145374663,0.01911010954644785,0.01911010954644785,0.1614794964973841
Romania,6378.443497326115,0.0,6378.443497326115,1020.5509595721784,0.01911010954644785,0.01911010954644785,0.1579463107442063
Russia,7872.767885086828,0.0,7872.767885086828,1574.5535770173656,0.01911010954644785,0.01911010954644785,0.2477213834745608
Rwanda,42.0615434359599,0.0,42.0615434359599,12.61846303078797,0.01911010954644785,0.01911010954644785,0.0370457684665278
Samoa,407.08003725730805,410.7541361304669,-3.6740988731588686,-0.9920066957528946,0.01911010954644785,0.01911010954644785,0.0561499795536615
Saudi Arabia,3226.264581484098,0.0,3226.264581484098,645.2529162968196,0.01911010954644785,0.01911010954644785,0.6420717667486109
Senegal,357.6268459152695,0.0,357.6268459152695,107.28805377458085,0.01911010954644785,0.01911010954644785,0.2590300691215058
Serbia,694.107101327308,1603.5042871422347,-909.3971858149267,-136.409577872239,0.01911010954644785,0.01911010954644785,0.0440897580386227
Seychelles,4708.700865134352,31.577218019253756,4677.123647115099,1403.1370941345297,0.01911010954644785,0.01911010954644785,8.019693542794952e-06
Singapore,41651.90038037844,43909.183169861084,-2257.2827894826405,-383.7380742120489,0.01911010954644785,0.01911010954644785,0.1212961100021156
Slovak Republic,1636.1759775733233,0.0,1636.1759775733233,343.5969552903979,0.01911010954644785,0.01911010954644785,0.2481986213071879
Slovenia,602.3120312881396,83.1966258430491,519.1154054450905,98.63192703456718,0.01911010954644785,0.01911010954644785,0.149811557675497
Solomon Islands,-0.0,0.0,-0.0,-0.0,0.01911010954644785,0.01911010954644785,0.1875691135730536
South Africa,45777.10832879404,0.0,45777.10832879404,12817.590332062333,0.01911010954644785,0.01911010954644785,0.1846470835971575
Spain,26039.401253600343,0.0,26039.401253600343,6509.850313400086,0.01911010954644785,0.01911010954644785,0.1570579091081977
Sri Lanka,1008.8499727038962,124.21168774398451,884.6382849599117,247.69871978877532,0.01911010954644785,0.01911010954644785,0.1379402269989351
Sweden,8289.073843618824,0.0,8289.073843618824,1823.5962455961412,0.01911010954644785,0.01911010954644785,0.18185940382578
Switzerland,7650.6474049638555,74867.2299313083,-67216.58252634446,-14215.353401015804,0.01911010954644785,0.01911010954644785,0.1277778504354516
Tanzania,719.574422203763,0.0,719.574422203763,215.87232666112888,0.01911010954644785,0.01911010954644785,0.4374260051266495
Thailand,2326.465066965173,0.0,2326.465066965173,465.2930133930346,0.01911010954644785,0.01911010954644785,0.1907389067139366
Timor-Leste,141.30745173285476,128.4780032281631,12.829448504691669,1.282944850469167,0.01911010954644785,0.01911010954644785,0.0920688282866031
Togo,29.11288580022193,1.5392227162546106,27.573663083967322,7.720625663510851,0.01911010954644785,0.01911010954644785,0.1315378116244644
Trinidad and Tobago,278.6465720792104,0.0,278.6465720792104,83.59397162376311,0.01911010954644785,0.01911010954644785,0.4135285174729803
Türkiye,6457.387265190427,0.0,6457.387265190427,1420.6251983418938,0.01911010954644785,0.01911010954644785,0.2300925929819575
Uganda,299.8571332563555,82.51438934994987,217.34274390640564,65.2028231719217,0.01911010954644785,0.01911010954644785,0.1498795886812655
Ukraine,2126.8735434318896,0.0,2126.8735434318896,382.8372378177401,0.01911010954644785,0.01911010954644785,0.5112689462021882
United Arab Emirates,6924.824104516188,0.0,6924.824104516188,0.0,0.01911010954644785,0.01911010954644785,0.6777390150170718
United Kingdom,113617.17954232886,170852.50758564097,-57235.32804331211,-10874.712328229301,0.01911010954644785,0.01911010954644785,0.0953396354017951
United States,430808.588196621,0.0,430808.588196621,116318.31881308768,0.01911010954644785,0.01911010954644785,0.2275061890826361
Uruguay,952.4988071871899,1435.40357647035,-482.90476928316,-120.72619232079,0.01911010954644785,0.01911010954644785,0.0967661292502258
Uzbekistan,53.08778954969865,57.645782944393105,-4.557993394694456,-0.638119075257224,0.01911010954644785,0.01911010954644785,0.0210170487948265
Vanuatu,-0.0,310.77310996166295,-310.77310996166295,-0.0,0.01911010954644785,0.01911010954644785,0.0028509105518292
Zambia,2944.066998424642,4187.420171488411,-1243.3531730637692,-435.1736105723192,0.01911010954644785,0.01911010954644785,0.0583267977221078
Zimbabwe,476.537048237653,8.650654890538984,467.886393347114,120.48074628688185,0.01911010954644785,0.01911010954644785,0.1434566666525137
