year,total_positive_misalignment,total_negative_misalignment,total_loss_cit,total_loss_etr
2016.0,241480.65761403745,-197399.0220908607,-41860.78933717287,-46025.447648869376
2017.0,729772.2581859297,-628457.57180211,-114705.62143170962,-135171.86524955707
2018.0,1341207.2304346426,-1041710.8417332105,-199301.9901608886,-197938.54993975692
2019.0,1473329.4303707627,-1240089.2811487105,-243511.33071857743,-213760.43436562293
2020.0,1585807.4594743082,-1247494.7933691046,-210669.83012816196,-189973.37100691992
2021.0,1040528.4419489814,-1130695.7387311675,-170621.33062327662,-170286.03921121365
