,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,tax_revenue,tax_revenue_pct_total,tax_revenue_pct_total,etr_average_corrected
0,Afghanistan,0.014073685404892443,0.0,0.014073685404892443,0.002814737080978489,0.021692530275412975,0.021692530275412975,0.0
2,Albania,39.492054047610644,0.0,39.492054047610644,5.923808107141596,0.021692530275412975,0.021692530275412975,0.169208524015393
1,Angola,1387.7676065816527,0.0,1387.7676065816527,416.3302819744958,0.021692530275412975,0.021692530275412975,1.1148653587410595
4,Argentina,764.5848052627595,0.0,764.5848052627595,267.60468184196577,0.021692530275412975,0.021692530275412975,0.3134206175036815
5,Armenia,8.296669437667434,0.0,8.296669437667434,1.6593338875334869,0.021692530275412975,0.021692530275412975,0.0
6,Australia,21399.229748472833,0.0,21399.229748472833,6419.76892454185,0.021692530275412975,0.021692530275412975,0.2226164440043143
7,Austria,2265.138305102034,1143.7064301676678,1121.431874934366,280.3579687335915,0.021692530275412975,0.021692530275412975,0.0794906509442144
8,Azerbaijan,203.6898594644333,143.5353956581664,60.154463806266904,12.030892761253382,0.021692530275412975,0.021692530275412975,0.0
14,Bahamas,1.6362634595964822,36408.99989559955,-36407.36363213995,-0.0,0.021692530275412975,0.021692530275412975,0.0
13,Bahrain,0.013005511401384916,241.531631969291,-241.5186264578896,-0.0,0.021692530275412975,0.021692530275412975,0.0
11,Bangladesh,262.5035074494362,0.0,262.5035074494362,65.62587686235905,0.021692530275412975,0.021692530275412975,0.3877124587564077
19,Barbados,10.103545013216593,2121.838400411969,-2111.734855398752,-527.933713849688,0.021692530275412975,0.021692530275412975,0.0043141736855434
16,Belarus,21.242839809257877,0.0,21.242839809257877,3.8237111656664178,0.021692530275412975,0.021692530275412975,0.2206818745317017
9,Belgium,28413.00529711425,12694.81873395605,15718.1865631582,5342.611612817472,0.021692530275412975,0.021692530275412975,0.1258245008085548
17,Belize,0.00047311677986034534,0.0,0.00047311677986034534,0.00011827919496508634,0.021692530275412975,0.021692530275412975,0.0
15,Bosnia and Herzegovina,249.65596161626127,116.7290503088415,132.92691130741977,13.292691130741979,0.021692530275412975,0.021692530275412975,0.0899016040609143
20,Botswana,15.037485483200818,222.06337255663774,-207.02588707343693,-45.54569515615613,0.021692530275412975,0.021692530275412975,0.0631313335066141
18,Brazil,37759.25013712335,0.0,37759.25013712335,12838.145046621941,0.021692530275412975,0.021692530275412975,0.2800401524452553
12,Bulgaria,133.05579292752938,432.4389990432472,-299.3832061157178,-29.938320611571783,0.021692530275412975,0.021692530275412975,0.0975249412732878
10,Burkina Faso,-0.0,0.0,-0.0,-0.0,0.021692530275412975,0.021692530275412975,0.553206660088447
65,Cambodia,6.587675810312589,94.18378911127124,-87.59611330095865,-17.51922266019173,0.021692530275412975,0.021692530275412975,0.0947344703621401
27,Cameroon,560.4372678379935,0.0,560.4372678379935,184.94429838653787,0.021692530275412975,0.021692530275412975,0.7236479660008793
22,Canada,27265.1322594854,2246.53839126472,25018.59386822068,6679.964562814922,0.021692530275412975,0.021692530275412975,0.1209210418799691
21,Central African Republic,8.581523711314082,0.0,8.581523711314082,2.5744571133942245,0.021692530275412975,0.021692530275412975,0.0
24,Chile,1189.3409981519308,0.0,1189.3409981519308,285.4418395564634,0.021692530275412975,0.021692530275412975,0.1588954219619734
25,China (People’s Republic of),26895.245876162488,0.0,26895.245876162488,6723.811469040622,0.021692530275412975,0.021692530275412975,0.1905788597471668
30,Colombia,19611.374132805428,0.0,19611.374132805428,7844.549653122172,0.021692530275412975,0.021692530275412975,0.4242604399273582
29,Congo,615.0086814904903,45.60692463196727,569.4017568585231,170.82052705755692,0.021692530275412975,0.021692530275412975,0.0008558667584874
31,Costa Rica,857.0622692181296,0.0,857.0622692181296,257.11868076543885,0.021692530275412975,0.021692530275412975,0.2046994445981748
51,Croatia,7.878817119235877,0.0,7.878817119235877,1.5757634238471754,0.021692530275412975,0.021692530275412975,0.1822057802896003
32,Cyprus,20.65939310935158,3835.2510226867294,-3814.5916295773777,-476.8239536971722,0.021692530275412975,0.021692530275412975,0.0216692915858517
33,Czechia,2252.2530190693074,2649.739205678207,-397.4861866088995,-75.5223754556909,0.021692530275412975,0.021692530275412975,0.1421210109838805
