,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,tax_revenue,tax_revenue_pct_total,tax_revenue_pct_total,etr_average_corrected
0,Afghanistan,0.02495091488785855,0.0,0.02495091488785855,0.00499018297757171,0.015498259235525726,0.015498259235525726,0.1657857016520884
2,Albania,27.450204726305028,0.0,27.450204726305028,4.117530708945754,0.015498259235525726,0.015498259235525726,0.169208524015393
1,Angola,1309.2777920622714,0.0,1309.2777920622714,392.7833376186814,0.015498259235525726,0.015498259235525726,1.1148653587410595
4,Argentina,145.24294335937225,0.0,145.24294335937225,50.83503017578028,0.015498259235525726,0.015498259235525726,0.3134206175036815
5,Armenia,4.428437467432873,0.0,4.428437467432873,0.8856874934865746,0.015498259235525726,0.015498259235525726,0.1657857016520884
6,Australia,13815.548896000948,0.0,13815.548896000948,4144.664668800284,0.015498259235525726,0.015498259235525726,0.2226164440043143
7,Austria,1843.0059270774402,5471.400692756697,-3628.394765679257,-907.0986914198143,0.015498259235525726,0.015498259235525726,0.0794906509442144
8,Azerbaijan,263.80951686142447,0.0,263.80951686142447,52.7619033722849,0.015498259235525726,0.015498259235525726,0.1657857016520884
14,Bahamas,35.776870233160736,0.0,35.776870233160736,0.0,0.015498259235525726,0.015498259235525726,0.1657857016520884
13,Bahrain,0.0051884301879389335,291.26028834612686,-291.2550999159389,-0.0,0.015498259235525726,0.015498259235525726,0.0
11,Bangladesh,7.462104938663541,0.0,7.462104938663541,1.8655262346658852,0.015498259235525726,0.015498259235525726,0.3877124587564077
19,Barbados,-0.0,2156.346847143965,-2156.346847143965,-539.0867117859913,0.015498259235525726,0.015498259235525726,0.0043141736855434
16,Belarus,28.84147275166227,0.0,28.84147275166227,5.1914650952992085,0.015498259235525726,0.015498259235525726,0.2206818745317017
9,Belgium,22913.674316252363,9897.230631470884,13016.44368478148,4424.289208457225,0.015498259235525726,0.015498259235525726,0.1258245008085548
17,Belize,0.0016114988555509724,0.0,0.0016114988555509724,0.0004028747138877431,0.015498259235525726,0.015498259235525726,0.1657857016520884
15,Bosnia and Herzegovina,5.54966876553556,139.9418691494127,-134.39220038387714,-13.439220038387715,0.015498259235525726,0.015498259235525726,0.0899016040609143
20,Botswana,15.737567455276197,223.2730955842486,-207.5355281289724,-45.65781618837393,0.015498259235525726,0.015498259235525726,0.0631313335066141
18,Brazil,32938.294273074636,0.0,32938.294273074636,11199.020052845377,0.015498259235525726,0.015498259235525726,0.2800401524452553
12,Bulgaria,41.04529965780467,569.468665409109,-528.4233657513043,-52.84233657513044,0.015498259235525726,0.015498259235525726,0.0975249412732878
10,Burkina Faso,-0.0,0.0,-0.0,-0.0,0.015498259235525726,0.015498259235525726,0.553206660088447
65,Cambodia,8.955524422236017,54.981722010529566,-46.02619758829355,-9.20523951765871,0.015498259235525726,0.015498259235525726,0.0947344703621401
27,Cameroon,226.6168508440184,0.0,226.6168508440184,74.78356077852607,0.015498259235525726,0.015498259235525726,0.7236479660008793
22,Canada,13990.089176869544,2591.381094013857,11398.708082855686,3043.4550581224685,0.015498259235525726,0.015498259235525726,0.1209210418799691
21,Central African Republic,14.009466198972891,0.0,14.009466198972891,4.202839859691867,0.015498259235525726,0.015498259235525726,0.1657857016520884
24,Chile,978.0810518738393,0.0,978.0810518738393,234.73945244972143,0.015498259235525726,0.015498259235525726,0.1588954219619734
25,China (People’s Republic of),9156.610320893287,0.0,9156.610320893287,2289.152580223322,0.015498259235525726,0.015498259235525726,0.1905788597471668
30,Colombia,19923.02215017122,0.0,19923.02215017122,7969.208860068487,0.015498259235525726,0.015498259235525726,0.4242604399273582
29,Congo,591.254246011069,19.335785135123178,571.9184608759458,171.57553826278374,0.015498259235525726,0.015498259235525726,0.0008558667584874
31,Costa Rica,149.7354267867897,0.0,149.7354267867897,44.92062803603691,0.015498259235525726,0.015498259235525726,0.2046994445981748
51,Croatia,15.960523727828294,0.0,15.960523727828294,3.192104745565659,0.015498259235525726,0.015498259235525726,0.1822057802896003
32,Cyprus,54.89738048617733,3644.54017194961,-3589.6427914634323,-448.70534893292904,0.015498259235525726,0.015498259235525726,0.0216692915858517
33,Czechia,681.7155610649372,3224.8404089674673,-2543.12484790253,-483.19372110148066,0.015498259235525726,0.015498259235525726,0.1421210109838805
26,Côte d’Ivoire,106.51777915949086,0.0,106.51777915949086,26.629444789872714,0.015498259235525726,0.015498259235525726,0.3315954869099142
28,Democratic Republic of the Congo,224.23912470090076,99.27584348808465,124.96328121281611,34.98971873958852,0.015498259235525726,0.015498259235525726,0.1038987720083375
35,Denmark,580.925009988027,0.0,580.925009988027,127.80350219736594,0.015498259235525726,0.015498259235525726,0.2314382954578416
36,Dominican Republic,97.09902859982358,0.0,97.09902859982358,26.21673772195237,0.015498259235525726,0.015498259235525726,0.1618566832979342
37,Ecuador,405.586627599212,0.0,405.586627599212,89.22905807182664,0.015498259235525726,0.015498259235525726,0.2471392937100895
110,El Salvador,118.87955937420602,0.0,118.87955937420602,35.663867812261806,0.015498259235525726,0.015498259235525726,0.2512311083437576
48,Equatorial Guinea,-0.0,0.0,-0.0,-0.0,0.015498259235525726,0.015498259235525726,0.1657857016520884
39,Estonia,17.57858533404732,19.16841154313817,-1.5898262090908482,-0.31796524181816965,0.015498259235525726,0.015498259235525726,0.0816120877671176
