year,total_positive_misalignment,total_negative_misalignment,total_tax_revenue_loss,total_tax_revenue_gain,average_tax_revenue_loss_pct_of_gvt_health_expenditure,average_tax_revenue_loss_pct_of_total_tax_revenues
2016,818439.7841886941,818439.7841886947,202476.31838964927,77864.0064868366,0.13038223398625248,0.018486902361421722
2017,1433243.2846617014,1433243.2846617019,335286.97420441936,132854.8970600027,0.3756113089623726,0.6976049298503909
2018,1440556.163078361,1440556.1630783603,331915.66134345613,149475.96858834915,0.4015138619104241,0.052011614034460515
2019,1526182.515484713,1526182.515484713,343776.7575959794,153018.75483212588,0.7929300771449226,0.05996348504213916
2020,1511617.1446406045,1511617.1446406047,318775.0092346842,151846.42899813422,0.7148098742051352,0.04545360078375979
2021,1607896.6356285857,1607896.6356285862,296584.54780393565,133063.21312860254,0.7957513616697415,23.690239337424217
