partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,eu27,oecd,oecd_oct
Afghanistan,0.13699391293078653,0.027398782586157307,1.1104263836801605e-07,0.00026928909697551744,1.503267695714895e-05,0.0,0.0,0.0,0.0,0.185912443834204,0.2,Asia,0.0,0.0,0.0,0.0
Albania,70.72739063884906,10.609108595827358,4.299692533815941e-05,0.024350789813767225,0.003774267302330087,0.0,0.0,0.0,0.0,0.2530394628482435,0.15,Europe,0.0,0.0,0.0,0.0
Algeria,117.66481983872957,30.59285315806969,0.0001239876669408543,0.004089919356528426,,0.0,0.0,0.0,0.0,0.4816355335112748,0.26,Africa,0.0,0.0,0.0,0.0
American Samoa,20.495903291420984,6.968607119083135,2.8242587706947393e-05,,,0.0,0.0,0.0,0.0,0.0883102746783955,0.34,Oceania,0.0,0.0,0.0,1.0
Andorra,98.65763838373286,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0378015408839426,0.0,Europe,0.0,0.0,0.0,0.0
Angola,119.69122725201007,35.90736817560302,0.00014552649872425985,0.032093181361379716,0.004685906867217678,0.0,0.0,0.0,0.0,0.2228140731528627,0.3,Africa,0.0,0.0,0.0,0.0
Anguilla,-0.0,-0.0,-0.0,,,24.600342841694218,0.0,5.704129100602221,2.3117871859119123e-05,0.0,0.0,Caribbean/American isl.,1.0,0.0,0.0,1.0
Antigua and Barbuda,-0.0,-0.0,-0.0,-0.0,,1.0224102489800655,0.009338993785407375,0.23706824297085727,9.607975496711994e-07,0.0091342920268295,0.25,Caribbean/American isl.,0.0,0.0,0.0,0.0
Argentina,3631.949907614214,1089.5849722842643,0.004415903869747642,0.034425606352125146,0.020776932899019655,0.0,0.0,0.0,0.0,0.1632288327706152,0.3,Latin America,0.0,0.0,0.0,0.0
Armenia,3.546940788517462,0.7093881577034925,2.87503039270877e-06,0.004611932066237904,0.0002728431557087045,0.7984667328585264,0.08895446942965152,0.1851420265184983,7.503493643473816e-07,0.1114066068991914,0.2,Asia,0.0,0.0,0.0,0.0
Aruba,0.6307456247698405,0.15768640619246013,6.390763722191064e-07,,,38.366405974937784,0.2743148829430113,8.896092799009528,3.605436162947679e-05,0.0071498717686041,0.25,Caribbean/American isl.,0.0,0.0,0.0,1.0
Australia,22896.574589605058,6868.972376881517,0.02783878492438236,0.06568687558158028,0.020728868661899224,0.0,0.0,0.0,0.0,0.3152666394867726,0.3,Oceania,0.0,0.0,1.0,0.0
Austria,3536.670991874113,884.1677479685283,0.0035833825530604455,0.025214037034465352,0.007645375635919796,1845.5712970727611,200.09638291786914,427.9361881504537,0.0017343530952862929,0.1084197523201838,0.25,Europe,0.0,1.0,1.0,0.0
Azerbaijan,0.35220678750044027,0.07044135750008805,2.8548692491856627e-07,0.00016825138332636903,1.1526813942007623e-05,0.0,0.0,0.0,0.0,0.1500041516767618,0.2,Asia,0.0,0.0,0.0,0.0
Bahamas,952.1808211492746,0.0,0.0,0.0,0.0,1763.4148519130445,26.32562364168316,408.8864142244048,0.001657147578931291,0.0149287750486641,0.0,Caribbean/American isl.,0.0,0.0,0.0,0.0
Bahrain,132.55370185958273,0.0,0.0,0.0,0.0,248.20404859373548,1.4049721993574151,57.551553064994174,0.00023324672453668057,0.0056605531107073,0.0,Asia,0.0,0.0,0.0,0.0
Bailiwick of Guernsey,538.0852290677212,0.0,0.0,,,475.23735814556824,33.8133816110961,110.19420589931758,0.0004465985055157432,0.0711505125418588,0.0,Europe,1.0,0.0,0.0,1.0
Bangladesh,380.3557551368478,95.08893878421195,0.000385379409067188,0.06191650835406029,0.003826973155373136,0.0,0.0,0.0,0.0,0.4564751095662389,0.25,Asia,0.0,0.0,0.0,0.0
Barbados,2173.1298348735486,543.2824587183871,0.0022018320487579533,3.638404667805632,0.4091037041070917,4606.723174210222,87.84520503962294,1068.1698172065578,0.004329111863080521,0.0190689133506884,0.25,Caribbean/American isl.,0.0,0.0,0.0,0.0
Belarus,38.601450413414476,6.948261074414606,2.8160128624203754e-05,0.0029677887267631187,0.0007888495799128821,0.0,0.0,0.0,0.0,0.2065573607785748,0.18,Europe,0.0,0.0,0.0,0.0
Belgium,41050.6389163747,12142.778991463636,0.04921263242597773,0.2686330664089339,0.09309211775053927,0.0,0.0,0.0,0.0,0.2143580460637765,0.2958,Europe,0.0,1.0,1.0,0.0
Belize,3.0501381557059877,0.7625345389264969,3.090423699771122e-06,0.010146615284734714,0.001599968313486873,0.0,0.0,0.0,0.0,0.5221095519082428,0.25,Caribbean/American isl.,0.0,0.0,0.0,0.0
Benin,15.431513088123207,4.629453926436962,1.876239488299212e-05,0.07231511359222637,,0.0,0.0,0.0,0.0,0.5317301823123611,0.3,Africa,0.0,0.0,0.0,0.0
Bermuda,1277.349600726776,0.0,0.0,,,37699.99636081071,462.6948719053858,8741.57111216455,0.03542811133027511,0.0122730747100644,0.0,Caribbean/American isl.,1.0,0.0,0.0,1.0
Bhutan,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.2362929226742388,0.3,Asia,0.0,0.0,0.0,0.0
