year,total_positive_misalignment,total_negative_misalignment,total_tax_revenue_loss,total_tax_revenue_gain,average_tax_revenue_loss_pct_of_gvt_health_expenditure,average_tax_revenue_loss_pct_of_total_tax_revenues
2016,150068.17730629534,150068.1773062953,42722.34653517235,12762.66531671885,0.12878833764033334,0.026707520705025616
2017,283522.2533652137,283522.2533652137,78371.1784294765,24195.090116563533,0.10052510705048126,0.025267409786297462
2018,263375.7355634665,263375.73556346644,71059.86061596162,22430.883771710935,0.0688579628451532,0.018667155555030738
2019,377520.3893598887,377520.38935988874,102265.20176910906,34802.95748063373,0.15304206695512818,0.037015250440017876
2020,191079.83163653704,191036.88537522778,42456.6630798314,18811.74241289353,0.2220491703350017,0.053389067840061886
2021,275942.1556109921,275942.1556109922,67554.85497651128,24517.204848680834,0.2277939557135252,0.04800630305418898
