year,total_positive_misalignment,total_negative_misalignment,total_tax_revenue_loss,total_tax_revenue_gain,average_tax_revenue_loss_pct_of_gvt_health_expenditure,average_tax_revenue_loss_pct_of_total_tax_revenues
2016,735662.6357792582,735662.6357792581,189381.1813863949,68789.61680160121,0.13029156596415778,0.01801204504054535
2017,1150839.6111219916,1150839.6111219916,272461.5496095788,94982.44413294576,0.17439638100885915,0.8745853242264029
2018,1101426.2757834513,1101426.2757834513,262107.7774805393,120300.65718427175,0.18382806269498206,0.025312111772287753
2019,1143430.902648495,1143430.902648495,273552.2419389213,116152.23935919612,0.24232953211348363,0.029965348232951813
2020,1174987.6998439562,1174987.6998439564,236641.096663784,113361.57957188255,0.2750722198218572,0.03736206911634456
2021,1333685.2464276617,1333685.2464276617,247198.81275494886,97007.53981347653,0.29493370345062236,19.213553669275253
