year,sum_positive_misalignment,tax_effect
2016,388415.2721598035,143033.65856749177
2017,829362.2398818508,190648.72378244635
2018,663462.9330708248,200247.95201622817
2019,929080.7128704963,176455.10582860696
2020,871518.5998666829,99933.96245086814
2021,1279516.8984089857,59756.246452332925
