partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,eu27,oecd,oecd_oct
Afghanistan,14.212742356643085,2.8425484713286173,1.2012065999538813e-05,0.01189629496379396,0.0015595989628425946,0.8503734948519456,0.0070655622668239415,0.1712641897632663,7.23729699438453e-07,0.0083087752729806,0.2,238944014.08000004,238944014.08000004,238944014.08000004,238944014.08000004,238944014.08000004
Albania,0.8328175068402421,0.12492262602603632,5.278991172168393e-07,0.00027554468580920827,4.851125005227652e-05,28.24953083780134,3.1700612384789872,5.689421224224299,2.404240558565252e-05,0.1122164207497937,0.15,453366123.3900001,453366123.3900001,453366123.3900001,453366123.3900001,453366123.3900001
Algeria,1439.736875123087,374.33158753200263,0.001581853671274382,0.06855375567432848,,0.0,0.0,0.0,0.0,0.2319539355111004,0.26,5460409628.180001,5460409628.180001,5460409628.180001,5460409628.180001,5460409628.180001
Andorra,-0.0,-0.0,-0.0,-0.0,,25.298227092957767,0.2838349008581078,5.095032232015728,2.153063142390128e-05,0.0112195569995938,0.0,184464670.96,184464670.96,184464670.96,184464670.96,184464670.96
Angola,1130.9205022162896,339.27615066488687,0.0014337161019285047,0.34920395365799084,0.048856774634239444,0.0,0.0,0.0,0.0,0.1683251430022758,0.3,971570187.3100004,971570187.3100004,971570187.3100004,971570187.3100004,971570187.3100004
Anguilla,0.5303537308651447,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,-0.0,-0.0,-0.0,-0.0,,0.0,0.0,0.0,0.0,0.2601633924412352,0.25,50540576.48,50540576.48,50540576.48,50540576.48,50540576.48
Argentina,5270.114029101981,1581.0342087305942,0.006681148080449032,0.06129741531526113,0.03772076214860407,0.0,0.0,0.0,0.0,0.2535905081093398,0.3,25792836461.36,25792836461.36,25792836461.36,25792836461.36,25792836461.36
Armenia,101.5489913679044,18.278818446222793,7.724278962496973e-05,0.06135240084253696,0.006614304746199258,0.0,0.0,0.0,0.0,0.4531761126792806,0.18,297931591.84000003,297931591.84000003,297931591.84000003,297931591.84000003,297931591.84000003
Aruba,28.764202565416063,7.191050641354016,3.0388004208630546e-05,,,0.008340823288952822,0.000483749000027605,0.0016798316871221317,7.0986473220617735e-09,0.05799775193275183,0.25,0.0,0.0,0.0,0.0,0.0
Australia,13434.88307326732,4030.464921980196,0.017031973646177857,0.035761657173339956,0.013430360521542705,0.0,0.0,0.0,0.0,0.2016874159024712,0.3,112703527760.03,112703527760.03,112703527760.03,112703527760.03,112703527760.03
Austria,1107.1193950371146,276.77984875927865,0.0011696186869541226,0.007278669516970635,0.0026041095987986733,4062.266018765449,430.91217101282075,818.1354457994281,0.00345728386714596,0.1060767977828734,0.25,38026159604.30001,38026159604.30001,38026159604.30001,38026159604.30001,38026159604.30001
Azerbaijan,19.244651161751566,3.8489302323503134,1.626484277926929e-05,0.0038722896870680154,0.000593679695309056,0.0,0.0,0.0,0.0,0.5506350507464592,0.2,993967534.3,993967534.3,993967534.3,993967534.3,993967534.3
Bahamas,211.76669788352643,0.0,0.0,0.0,0.0,5858.070031561558,27.71740031345903,1179.808194405845,0.004985643707027347,0.0047314900921508,0.0,449764174.18,449764174.18,449764174.18,449764174.18,449764174.18
Bahrain,250.7832194985233,0.0,0.0,0.0,0.0,1010.6246772090316,3.015560098046473,203.53858339282095,0.0008601151121354269,0.0029838575744799,0.0,1028201155.38,1028201155.38,1028201155.38,1028201155.38,1028201155.38
Bailiwick of Guernsey,71.27032593976988,0.0,0.0,,,530.9784208760303,12.265930875533396,106.93840951492102,0.0004519012590059851,0.0231006202762375,0.0,0.0,0.0,0.0,0.0,0.0
