,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,tax_revenue,tax_revenue_befit_pct_total,additional_revenue_through_minimum_tax,tax_revenue_incl_mintax,tax_revenue_befit_mintax_pct_total,tax_revenue_befit_pct_total_eu,tax_revenue_befit_mintax_pct_total_eu,etr_average_corrected
0,Austria,2444.2925796634177,1586.7286133626023,857.5639663008153,68.16831790755415,0.0006774924368548026,1012.28909449259,1080.4574124001442,0.01073815150078231,0.002915122364143957,0.005453598985997952,0.0794906509442144
1,Belgium,23757.04009584689,6895.201121235358,16861.83897461153,2121.6324716947297,0.019510372451186975,949.786794270065,3071.4192659647947,0.02824454029253124,0.002915122364143957,0.005453598985997952,0.1258245008085548
2,Bulgaria,261.67476257928786,337.2973454981768,-75.62258291888895,-7.375087958098982,-0.0006721387473582288,31.248792953567687,23.873704995468707,0.002175762819592241,0.002915122364143957,0.005453598985997952,0.0975249412732878
12,Croatia,69.90137377438178,446.2988745568284,-376.3975007824466,-68.58180032912112,-0.0008263943727637684,0.0,-68.58180032912112,-0.0008263943727637684,0.002915122364143957,0.005453598985997952,0.1822057802896003
3,Cyprus,16.49639230534913,1899.865938008972,-1883.3695457036229,-40.811283849764855,-0.008245876739906387,9.716496061743351,-31.094787788021506,-0.006282668986779474,0.002915122364143957,0.005453598985997952,0.0216692915858517
4,Czech Republic,2729.8919635389634,2329.0448844752786,400.84707906368476,56.968792126466354,0.0019463456650705361,38.85704626192023,95.82583838838659,0.0032739013447037396,0.002915122364143957,0.005453598985997952,0.1421210109838805
6,Denmark,818.0558211764645,5721.059068897516,-4903.003247721052,-1134.7427142768215,-0.010884599296636332,0.0,-1134.7427142768215,-0.010884599296636332,0.002915122364143957,0.005453598985997952,0.2314382954578416
8,Estonia,119.46537622668717,18.38406502456959,101.08131120211758,8.249456841442548,0.0015737880261371211,13.130920845456645,21.380377686899195,0.0040788361033533595,0.002915122364143957,0.005453598985997952,0.0816120877671176
9,Finland,948.3836745134894,1300.0807993365643,-351.6971248230749,-45.998018493007734,-0.0009178891598680906,175.5481855724172,129.55016707940945,0.0025851699250776664,0.002915122364143957,0.005453598985997952,0.130788724861335
10,France,26871.52743196833,11767.708533599083,15103.818898369247,3611.11239557897,0.0063310091384848576,0.0,3611.11239557897,0.0063310091384848576,0.002915122364143957,0.005453598985997952,0.2390860496856765
