,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,tax_revenue,tax_revenue_befit_pct_total,additional_revenue_through_minimum_tax,tax_revenue_incl_mintax,tax_revenue_befit_mintax_pct_total,tax_revenue_befit_pct_total_eu,tax_revenue_befit_mintax_pct_total_eu,etr_average_corrected
0,Austria,2067.5278729813376,2862.30100303949,-794.7731300581522,-83.90951742450642,-0.0007255634257335011,1023.2765870757389,939.3670696512324,0.00812268274204531,0.008858117498915928,0.010940766027620242,0.1055766913236824
1,Belgium,37864.2474254103,8736.14060374129,29128.10682166901,5832.175624352026,0.04471213552891744,0.0,5832.175624352026,0.04471213552891744,0.008858117498915928,0.010940766027620242,0.2002250149677887
2,Bulgaria,2662.3952315941774,217.0536820928241,2445.3415495013533,152.9410113829749,0.011572344672083807,336.9410763022413,489.8820876852162,0.037067130105328805,0.008858117498915928,0.010940766027620242,0.0625438239554561
12,Croatia,853.1084901519865,7.639442736389306,845.4690474155972,100.27560903556225,0.0010354225715136964,73.26095359942076,173.536562634983,0.0017918981062626884,0.008858117498915928,0.010940766027620242,0.1186035246850036
3,Cyprus,1093.82720342889,432.15523373633926,661.6719696925508,24.49893839916018,0.003991310406263533,52.557331010964546,77.05626941012473,0.012553829270211158,0.008858117498915928,0.010940766027620242,0.037025806625213
4,Czech Republic,7319.870454011164,952.3071146279185,6367.563339383245,1016.3333031345268,0.027516618461870427,0.0,1016.3333031345268,0.027516618461870427,0.008858117498915928,0.010940766027620242,0.1596110237095761
6,Denmark,511.5400595642998,11994.481432620003,-11482.941373055703,-1798.9770476738086,-0.015639384029576667,0.0,-1798.9770476738086,-0.015639384029576667,0.008858117498915928,0.010940766027620242,0.1566651774339841
8,Estonia,505.0333311167039,0.0,505.0333311167039,74.7432588529195,0.011644609495570765,1.493651784611643,76.23691063753114,0.011877312645274087,0.008858117498915928,0.010940766027620242,0.1479966850656194
9,Finland,1212.9045891184671,2094.31054926108,-881.4059601426127,-131.3910087862895,-0.0022884652474158456,13.9333934826941,-117.45761530359539,-0.0020457843588355673,0.008858117498915928,0.010940766027620242,0.1490697983991738
10,France,50503.324562406706,3351.9882283888123,47151.33633401789,11017.196412324778,0.016331503003145918,0.0,11017.196412324778,0.016331503003145918,0.008858117498915928,0.010940766027620242,0.233656079952421
5,Germany,61183.22976917912,4792.154207893354,56391.07556128576,10691.421271517598,0.023479503043945374,0.0,10691.421271517598,0.023479503043945374,0.008858117498915928,0.010940766027620242,0.1895942073298136
11,Greece,539.4138748446973,328.8730184619375,210.54085638275978,53.651062296685915,0.0009389908045992332,0.0,53.651062296685915,0.0009389908045992332,0.008858117498915928,0.010940766027620242,0.2548249457062584
