,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,tax_revenue,tax_revenue_befit_pct_total,additional_revenue_through_minimum_tax,tax_revenue_incl_mintax,tax_revenue_befit_mintax_pct_total,tax_revenue_befit_pct_total_eu,tax_revenue_befit_mintax_pct_total_eu,etr_average_corrected
0,Austria,2436.499819443958,3682.4251658530848,-1245.9253464091266,-142.93893954147484,-0.0013475007788532369,923.9611115078715,781.0221719663966,0.007362780138165191,0.005410833045822121,0.008628466036410433,0.1147251237431185
1,Belgium,5496.705980474309,3664.997707296567,1831.7082731777423,405.67271330066103,0.0034411246102363955,0.0,405.67271330066103,0.0034411246102363955,0.005410833045822121,0.008628466036410433,0.2214723377303303
2,Bulgaria,1088.8225818215217,172.4290266749241,916.3935551465976,99.32195868600898,0.00815968881604692,78.71095969087187,178.03291837688084,0.014626103151675588,0.005410833045822121,0.008628466036410433,0.1083835194259089
12,Croatia,510.753898775377,45.92381654643336,464.83008222894364,86.30410589720289,0.0009667089496594712,0.0,86.30410589720289,0.0009667089496594712,0.005410833045822121,0.008628466036410433,0.1856680735535859
3,Cyprus,384.17225188544586,1340.332019250738,-956.1597673652923,-28.569990008928016,-0.005226999116778249,32.54209300958021,3.972103000652197,0.0007267128504305799,0.005410833045822121,0.008628466036410433,0.029879933232971
4,Czech Republic,2842.4555773885945,1661.7617571703602,1180.6938202182344,203.51049260924728,0.0062033724506587685,0.0,203.51049260924728,0.0062033724506587685,0.005410833045822121,0.008628466036410433,0.1723651713292031
6,Denmark,883.8384227113006,8299.406100644055,-7415.567677932755,-1289.8770723295122,-0.011628052980599227,0.0,-1289.8770723295122,-0.011628052980599227,0.005410833045822121,0.008628466036410433,0.1739417841425584
8,Estonia,301.2762488142942,6.096818053929734,295.1794307603645,33.40833799568312,0.005925088969556174,15.42522404973014,48.83356204541326,0.008660807965269114,0.005410833045822121,0.008628466036410433,0.1131797629313982
9,Finland,631.017440113125,2712.8850431247583,-2081.8676030116335,-305.07387530030104,-0.005755484214657449,46.27539156434773,-258.7984837359533,-0.004882458671537687,0.005410833045822121,0.008628466036410433,0.1465385574274659
10,France,29058.076345153226,2186.1575764279755,26871.91876872525,6781.1706859952765,0.011058355384461893,0.0,6781.1706859952765,0.011058355384461893,0.005410833045822121,0.008628466036410433,0.2523515624008029
