,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,tax_revenue,tax_revenue_befit_pct_total,additional_revenue_through_minimum_tax,tax_revenue_incl_mintax,tax_revenue_befit_mintax_pct_total,tax_revenue_befit_pct_total_eu,tax_revenue_befit_mintax_pct_total_eu,etr_average_corrected
0,Austria,2437.0241070847883,3682.2838597199743,-1245.259752635186,-142.86257920546254,-0.0013467809217409612,923.9845903968367,781.1220111913741,0.007363721333292627,0.005401278321829347,0.008619991357619537,0.1147251237367469
1,Belgium,5495.688951279368,3648.7753577324534,1846.9135935469144,409.0402711376601,0.003469689967898752,0.0,409.0402711376601,0.003469689967898752,0.005401278321829347,0.008619991357619537,0.2214723377243202
2,Bulgaria,1088.5693202694601,172.03661821411052,916.5327020553497,99.33703991688344,0.008160927798367912,78.71675049696728,178.05379041385072,0.014627817871450392,0.005401278321829347,0.008619991357619537,0.1083835194250215
12,Croatia,510.80624155573594,45.90042069587138,464.90582085986455,86.31816813497659,0.0009668664634992443,0.0,86.31816813497659,0.0009668664634992443,0.005401278321829347,0.008619991357619537,0.1856680735365438
3,Cyprus,384.23240972101405,1340.3267806213757,-956.0943709003617,-28.568035966362807,-0.005226641616521536,32.54994843458964,3.981912468226831,0.000728507533534517,0.005401278321829347,0.008619991357619537,0.0298799332323859
4,Czechia,2842.3925064033556,1659.9402183663658,1182.4522880369898,203.81359126924858,0.006212611452801492,0.0,203.81359126924858,0.006212611452801492,0.005401278321829347,0.008619991357619537,0.1723651713741475
6,Denmark,883.5404350581357,8308.85387147788,-7425.313436419745,-1291.5722669603792,-0.01164333491203518,0.0,-1291.5722669603792,-0.01164333491203518,0.005401278321829347,0.008619991357619537,0.1739417841441499
8,Estonia,301.335419559074,6.096794618730817,295.2386249403432,33.415037577745025,0.005926277164544526,15.427403595202762,48.84244117294779,0.008662382710490529,0.005401278321829347,0.008619991357619537,0.1131797629273506
9,Finland,631.6047180441392,2712.1973242288136,-2080.5926061846744,-304.8870391015678,-0.0057519593871333706,46.279804910310304,-258.6072341912575,-0.004878850582400347,0.005401278321829347,0.008619991357619537,0.1465385574260307
10,France,28891.83894878551,2185.8349042274044,26706.004044558103,6727.302207434435,0.010970509670568227,0.0,6727.302207434435,0.010970509670568227,0.005401278321829347,0.008619991357619537,0.2519022387703585
5,Germany,33932.71385154622,6791.044000004015,27141.669851542207,4997.376369890956,0.011857224272593838,0.0,4997.376369890956,0.011857224272593838,0.005401278321829347,0.008619991357619537,0.1841219201775458
11,Greece,551.950440098609,139.09913432415598,412.85130577445295,100.07323998356733,0.0018926074277703974,0.0,100.07323998356733,0.0018926074277703974,0.005401278321829347,0.008619991357619537,0.24239535780526
13,Hungary,14330.280431768599,718.7680428530292,13611.51238891557,3382.4290823069414,0.10329312237124881,0.0,3382.4290823069414,0.10329312237124881,0.005401278321829347,0.008619991357619537,0.2484976676847017
14,Ireland,699.865523770936,14423.091619757814,-13723.226095986878,-1310.535098691292,-0.021348891010185948,1860.7035141399197,550.1684154486277,0.00896235862006944,0.005401278321829347,0.008619991357619537,0.0954975957930574
15,Italy,16164.351662518322,1249.3628643393054,14914.988798179016,3655.364307030054,0.007548608134377906,0.0,3655.364307030054,0.007548608134377906,0.005401278321829347,0.008619991357619537,0.2450799230554126
18,Latvia,171.40589140517585,63.50555921587194,107.90033218930391,14.665341015919555,0.0020489619608184827,7.306297903922186,21.97163891984174,0.003069758303930706,0.005401278321829347,0.008619991357619537,0.13591562433923
16,Lithuania,328.72022988469877,0.0,328.72022988469877,51.8334010000822,0.006518171125003709,0.0,51.8334010000822,0.006518171125003709,0.005401278321829347,0.008619991357619537,0.1576824189319385
17,Luxembourg,11610.905626660384,43174.72039907277,-31563.81477241239,-605.2529012503755,-0.037566726846511744,674.5340819794998,69.28118072912423,0.004300131708048064,0.005401278321829347,0.008619991357619537,0.0191755307656723
19,Malta,477.769679261982,5204.630128917066,-4726.860449655084,-116.38343253858251,-0.034449693586877946,69.14864970973395,-47.234782828848566,-0.013981575896183615,0.005401278321829347,0.008619991357619537,0.0246217195912934
20,Netherlands,4682.306061173092,43755.061716720484,-39072.75565554739,-2432.0081096230983,-0.01263359041725551,4808.6791902851655,2376.671080662067,0.012346130290771879,0.005401278321829347,0.008619991357619537,0.0622430660141528
21,Poland,11644.983721204002,1001.5943655656025,10643.3893556384,1796.8385223915402,0.02032081835855661,0.0,1796.8385223915402,0.02032081835855661,0.005401278321829347,0.008619991357619537,0.1688220229808331
22,Portugal,2436.3914267887667,750.1082169409061,1686.2832098478607,248.22895278822347,0.005012796330121466,18.514739690956617,266.7436924791801,0.005386687522641473,0.005401278321829347,0.008619991357619537,0.1472047822919491
23,Romania,5893.222894162039,269.07933169575574,5624.143562466283,839.9947659155199,0.025644831016632015,6.4835655028098245,846.4783314183297,0.02584277265680831,0.005401278321829347,0.008619991357619537,0.1493551429805906
24,Slovak Republic,2041.8795587328386,217.55074241728525,1824.3288163155535,392.46354265693054,0.022100351130228537,0.0,392.46354265693054,0.022100351130228537,0.005401278321829347,0.008619991357619537,0.2151276344193021
25,Slovenia,398.0801817596098,214.63369210624174,183.44648965336805,21.418351408318912,0.002403766713082334,38.82311734183995,60.24146875015886,0.006760858227051897,0.005401278321829347,0.008619991357619537,0.1167553080399087
7,Spain,8994.726362696923,8387.620724583001,607.1056381139224,90.20352775242793,0.0005008226527644262,80.60182762859586,170.8053553810238,0.000948335318138291,0.005401278321829347,0.008619991357619537,0.1485796245158596
26,Sweden,2316.7133099960306,10021.183222772504,-7704.469912776474,-952.1649907402283,-0.006257063085639304,852.5849940368375,-99.57999670339075,-0.0006543806246819459,0.005401278321829347,0.008619991357619537,0.1235860482966173
