iso_parent,shifted_bn,taxloss_bn,share_pct
USA,377.1171411580452,90.5535688041698,20.51345565543623
BEL,326.3775832977998,98.87765985795328,17.753454699376846
CHN,149.0667180148073,34.70188524471107,8.108550834650734
FRA,96.10349295654184,24.478096254913392,5.227592506250871
CHE,94.23205505346652,21.843023591127444,5.125794804033592
DEU,92.9479353419887,23.01808395831367,5.055944537676614
NLD,80.59893405799085,19.54029228585588,4.384215086582659
SWE,70.63134688097838,16.744053737380245,3.8420237215350297
DNK,67.64946513543336,16.928392843327316,3.679822929576444
LUX,50.548772232379044,13.925938942453065,2.7496230864538953
IRL,45.39961119338912,7.304772135960181,2.4695321674581114
HKG,42.9634893937319,11.017340117766649,2.3370182319868866
JPN,37.16642182652569,9.787801310782836,2.021684147446786
ITA,36.76794824982236,9.658400767470344,2.000008998922733
CAN,36.58946332889869,8.58617024659427,1.9903002317760354
GBR,35.21511124958751,8.113074881447716,1.9155417353912443
AUT,25.234531466926068,5.825174528338261,1.3726436317450716
CYM,20.32232597398508,5.1039326877671165,1.1054420157156233
BRA,20.288608884120617,5.076680421011391,1.1036079595238495
FIN,16.12993905464172,3.6654525747567943,0.8773952531200743
ESP,15.293721013546147,3.8274629879839006,0.8319087985621764
ZAF,14.992502735955204,3.689259034949598,0.8155238955556617
BMU,11.221629063565596,2.8927765559828287,0.6104055346578253
PRT,10.48908892499279,2.4082462895002483,0.5705586860041262
AUS,9.243863297071085,2.5295131617315736,0.5028240807275141
SGP,7.56575773463569,1.8666792219158532,0.4115427776967065
GRC,6.318177965001395,1.2820410260736415,0.34368011782814567
ROU,5.878417939507369,1.0865463922367997,0.3197591744461936
KOR,5.7790329191814624,1.3754451369260026,0.31435308179018334
NOR,5.723958669516273,1.2784073001465286,0.3113572933335939
MEX,5.395284045039717,1.32638000159813,0.29347889005135913
PER,2.7482793081139105,0.6798660122594374,0.14949388283605192
HUN,2.2314725041791466,0.3796402307799819,0.12138194546192828
ARE,1.8025718789247756,0.4025963553742336,0.09805170401565794
IDN,1.4709893531903895,0.37674557637665346,0.08001512414320056
MUS,1.4232381668866638,0.32848261802045453,0.07741767699527195
IMN,1.260914876850959,0.2954604235170796,0.06858802899315035
CZE,1.2436474296595812,0.2932985301981109,0.06764875847589091
SAU,1.160686829609302,0.2872322817921786,0.06313607951079828
MYS,0.9341606727812395,0.21557051678059108,0.050814087838344915
LTU,0.8726215245758904,0.1739647412890595,0.047466638332583265
POL,0.7789737702125809,0.17505237388013767,0.04237262682606876
TUR,0.5807409068034378,0.11854798790778973,0.03158966151055316
IND,0.5024639635722723,0.12362643286237077,0.02733175215410025
COL,0.4967870766619393,0.1159975943563497,0.027022955350172323
BGR,0.30186106177699823,0.06635861602550562,0.016419867539964904
LVA,0.29254279025308405,0.07096039813320754,0.01591299599044014
CHL,0.24172492241490612,0.05916897035519167,0.013148735328086943
NZL,0.23209051605780387,0.0531218488870956,0.01262466748283871
AZE,0.18402525088018845,0.03823139514151206,0.010010135874012734
SVN,0.17403393856886018,0.035106084341710864,0.00946665396966686
ARG,0.09285824585770923,0.023212534271893074,0.005051065838042658
BHR,0.09108619499726654,0.021058407994548414,0.004954674338485669
PAN,0.01867542565647465,0.004668856414118664,0.0010158581359470404
MAR,0.0003650607682192363,8.383707218304076e-05,1.9857643854131733e-05
MAC,1.876745615642832e-09,4.353549988899399e-10,1.0208641761762118e-10
TUN,0.0,0.0,0.0
UKR,0.0,0.0,0.0
