year,iso_responsible,iso_affected,shifted_profit_musd
2016,PRI,LUX,408.13152425936164
2016,NLD,LUX,364.7908606377493
2016,ASM,LUX,322.75740609277426
2016,BMU,LUX,285.76474559404943
2016,CYM,LUX,272.764932182371
2016,IRL,LUX,269.99863666083286
2016,SGP,LUX,267.23012671720556
2016,BHS,LUX,256.40315224841487
2016,JPN,LUX,230.22903446927427
2016,PRI,ESP,189.95669921188016
2016,NLD,ESP,169.78464948317057
2016,PRI,FRA,169.1883241702597
2016,NLD,FRA,151.22172808368128
2016,ASM,ESP,150.2210142155307
2016,TLS,LUX,136.8979926269491
2016,ASM,FRA,133.79702719477905
2016,BMU,ESP,133.0035162627435
2016,CYM,ESP,126.95301170901172
2016,IRL,ESP,125.66549448703388
2016,SGP,ESP,124.37694660634502
2016,BHS,ESP,119.33774671539074
2016,BMU,FRA,118.46195537513377
2016,CYM,FRA,113.07296551545745
2016,IRL,FRA,111.92621532433202
2016,SGP,FRA,110.77854715863224
2016,JPN,ESP,107.15552426361823
2016,BHS,FRA,106.29029384486762
2016,IMN,LUX,106.2260472659655
2016,JPN,FRA,95.43998001105153
2016,CHN,LUX,88.14906830823298
2016,NPL,LUX,81.94559762641487
2016,HKG,LUX,74.15157704623037
2016,LBR,LUX,70.84169741168505
2016,TLS,ESP,63.716447425467564
2016,HUN,LUX,61.166495669742496
2016,GIB,LUX,58.455530195999344
2016,TLS,FRA,56.75019099996614
2016,IND,LUX,56.42217019050216
2016,COD,LUX,55.61909780209368
2016,IRN,LUX,52.35896973884965
2016,IMN,ESP,49.44080059874259
2016,GBR,LUX,46.70255027234278
2016,IMN,FRA,44.035331386796834
2016,CHN,ESP,41.02723033909431
2016,LIE,LUX,40.627713751768304
2016,NPL,ESP,38.13994831275667
2016,CHN,FRA,36.541634884254094
2016,HKG,ESP,34.5123764762316
2016,THA,LUX,34.19162193902946
2016,NPL,FRA,33.970025620302295
2016,BEL,LUX,33.51566409943695
2016,LBR,ESP,32.971858842099266
2016,HKG,FRA,30.739064025500465
2016,CHL,LUX,30.32590772965685
2016,LBR,FRA,29.366974502177758
2016,MUS,LUX,29.31196381134101
2016,MWI,LUX,28.474609114126753
2016,HUN,ESP,28.468728655222304
2016,GIB,ESP,27.2069637033379
2016,VGB,LUX,26.649923237108524
2016,IND,ESP,26.260576737384646
2016,SWZ,LUX,26.221954113753057
2016,MHL,LUX,26.15487244902871
2016,COD,ESP,25.886802669314047
2016,IDN,LUX,25.375516673778886
2016,HUN,FRA,25.356181237190487
2016,IRN,ESP,24.36944091436098
2016,GIB,FRA,24.232367765005563
2016,IND,FRA,23.389451324308673
2016,COD,FRA,23.0565427801113
2016,KOR,LUX,22.900322050215873
2016,ARE,LUX,22.68573849257083
2016,GBR,ESP,21.73677299397594
2016,IRN,FRA,21.705077453825517
2016,ISR,LUX,21.320840312297637
2016,CPV,LUX,21.14979002678771
2016,PRI,ROU,20.710598741154854
2016,GBR,FRA,19.36024478725068
2016,LIE,ESP,18.909361179134635
2016,NLD,ROU,18.51128053099826
2016,GIN,LUX,18.30005313969679
2016,LAO,LUX,17.669625752864558
2016,CYP,LUX,17.628077922568714
2016,TWN,LUX,17.229045173457166
2016,LIE,FRA,16.841959995627626
2016,ASM,ROU,16.378296531868767
2016,THA,ESP,15.91381027482481
2016,PRI,DEU,15.852040425475227
2016,BEL,ESP,15.599199144874973
2016,PRI,ITA,15.483920497091123
2016,MYS,LUX,15.240862621043478
2016,PRI,PRT,15.110886973259872
2016,ETH,LUX,14.853661221694617
2016,QAT,LUX,14.82145524792732
2016,BMU,ROU,14.501107188685394
2016,MLI,LUX,14.211166916980039
2016,DZA,LUX,14.195399412531126
2016,THA,FRA,14.173919123315033
2016,NLD,DEU,14.168666535052294
2016,CHL,ESP,14.114590494776076
2016,BEL,FRA,13.893705105792268
2016,SWE,LUX,13.888549186144852
2016,CYM,ROU,13.841432786499151
2016,NLD,ITA,13.839638323529465
2016,IRL,ROU,13.70105736058713
2016,MUS,ESP,13.642670467871124
2016,SGP,ROU,13.560569564018577
2016,NLD,PRT,13.506218305430941
2016,MWI,ESP,13.252940381127564
2016,BFA,LUX,13.247966939022556
2016,BHS,ROU,13.011155685218677
2016,UZB,LUX,12.994228445834647
2016,WSM,LUX,12.882043919916551
2016,XKV,LUX,12.589109455067714
2016,CHL,FRA,12.571411916865372
2016,ASM,DEU,12.536065324257596
2016,VGB,ESP,12.403676637225605
2016,ASM,ITA,12.244949774112522
2016,SWZ,ESP,12.204486922133801
2016,MHL,ESP,12.173265095709587
2016,MUS,FRA,12.151087922893595
2016,BRB,LUX,12.128277406144646
2016,ASM,PRT,11.949948468452758
2016,BLZ,LUX,11.931247663279432
2016,ARG,LUX,11.898779693641966
2016,IDN,ESP,11.810529453451059
2016,MWI,FRA,11.803967865909845
2016,JPN,ROU,11.682952352454251
2016,PYF,LUX,11.219199481931826
2016,BMU,DEU,11.099251172898358
2016,VGB,FRA,11.0475559562195
2016,SWZ,FRA,10.870144081680957
2016,MHL,FRA,10.842335804783307
2016,BMU,ITA,10.841501669539895
2016,KOR,ESP,10.658499353712351
2016,CYM,DEU,10.594331666620269
2016,BMU,PRT,10.5803117743728
2016,ARE,ESP,10.558625705408991
2016,IDN,FRA,10.519258831530104
2016,URY,LUX,10.488099280791156
2016,IRL,DEU,10.48688731148056
2016,SGP,DEU,10.37935694703652
2016,CYM,ITA,10.348307526527478
