iso_partner,partner_jurisdiction,net_bn,reported_bn,etr,etr_pct,role
IRL,Ireland,267.3501738727685,393.30712737580865,0.07583998932346234,7.583998932346233,winner_haven
NLD,Netherlands,105.11831890157951,179.30649468577977,0.04952301923801687,4.952301923801687,winner_haven
HUN,Hungary,6.6544761048193095,14.844159359927593,0.09972976605830626,9.972976605830626,winner_haven
CYP,Cyprus,6.170440005930735,6.58581341634976,0.05467674788439823,5.467674788439823,winner_haven
BEL,Belgium,3.0144994920322774,44.293105038300006,0.19233344098843433,19.233344098843432,winner_haven
LTU,Lithuania,1.7980514301337849,2.92845055252,0.12039932174166154,12.039932174166154,winner_haven
HRV,Croatia,0.10310506980697232,0.79429919511,0.16400934559194452,16.400934559194454,winner_haven
LVA,Latvia,-0.08907494949712373,0.15263445400999998,0.054385791991457315,5.438579199145732,loser_victim
EST,Estonia,-0.26308958034241225,0.27183719836,0.021525131716385332,2.152513171638533,loser_victim
SVN,Slovenia,-0.3638956753176732,0.4033955303499999,0.14969220082288442,14.969220082288443,loser_victim
GRC,Greece,-0.41578156608302574,2.18011987459,0.21436591441981734,21.436591441981733,loser_victim
SVK,Slovak Republic,-1.6712106182854414,3.7864558990500004,0.19926407335601834,19.926407335601834,loser_victim
BGR,Bulgaria,-1.7716340192731783,0.8192654924599999,0.09169603312966636,9.169603312966636,loser_victim
FIN,Finland,-1.8363983767236105,4.26878832694,0.15991426005405812,15.991426005405811,loser_victim
PRT,Portugal,-2.0866019766007375,3.6581950109,0.1718237418605107,17.18237418605107,loser_victim
AUT,Austria,-3.076392840078729,5.46876064915,0.14662865219818438,14.662865219818439,loser_victim
CZE,Czechia,-3.4134492594689587,8.019278524819999,0.16165210946045017,16.165210946045015,loser_victim
ROU,Romania,-4.3421726661917415,4.01642722834,0.13665231587472063,13.665231587472062,loser_victim
DNK,Denmark,-8.224272025884087,2.0054419938400003,0.1349932595377368,13.499325953773681,loser_victim
SWE,Sweden,-11.134289220697156,4.587552918059999,0.12548240201945504,12.548240201945504,loser_victim
POL,Poland,-12.320656502550204,16.29134483166,0.18696311399957044,18.696311399957043,loser_victim
ESP,Spain,-14.81297313696382,24.20694672171,0.17075377830146246,17.075377830146245,loser_victim
ITA,Italy,-15.039874927851493,29.162054737850003,0.21094098833978212,21.09409883397821,loser_victim
MLT,Malta,-20.41704652381854,-18.45615856495995,0.018512982759752886,1.8512982759752887,loser_victim
FRA,France,-40.443266084437745,38.71153741848,0.21356074439027792,21.356074439027793,loser_victim
DEU,Germany,-50.991569261655485,88.86395759544999,0.19265770708791247,19.265770708791248,loser_victim
LUX,Luxembourg,-117.95025745713632,-79.00112986671607,0.037653624470707005,3.7653624470707006,loser_victim
