year,iso_responsible,iso_affected,shifted_profit_musd
2016,PRI,ESP,180.37979152255602
2016,NLD,ESP,161.22474124139325
2016,PRI,FRA,160.65848042475048
2016,NLD,FRA,143.5976930457692
2016,ASM,ESP,142.64743143530924
2016,ASM,FRA,127.05148053142523
2016,BMU,ESP,126.2979754585045
2016,CYM,ESP,120.5525147585843
2016,IRL,ESP,119.32990934879555
2016,SGP,ESP,118.10632524226064
2016,BHS,ESP,113.32118299909635
2016,BMU,FRA,112.48954578899404
2016,CYM,FRA,107.37224868160784
2016,IRL,FRA,106.28331335444189
2016,SGP,FRA,105.19350633355289
2016,JPN,ESP,101.75314272860773
2016,BHS,FRA,100.931533997772
2016,JPN,FRA,90.62825248457311
2016,TLS,ESP,60.504101991918276
2016,TLS,FRA,53.889058211214234
2016,IMN,ESP,46.9481799889672
2016,IMN,FRA,41.81523435673759
2016,CHN,ESP,38.95879053498989
2016,NPL,ESP,36.21707449055235
2016,CHN,FRA,34.699342058807886
2016,HKG,ESP,32.77239128474645
2016,NPL,FRA,32.25738373444421
2016,LBR,ESP,31.30954079916466
2016,HKG,FRA,29.189315162470987
2016,LBR,FRA,27.886401271073183
2016,HUN,ESP,27.033441626680222
2016,GIB,ESP,25.83529015365684
2016,IND,ESP,24.93661648578107
2016,COD,ESP,24.58168671097007
2016,HUN,FRA,24.07781723070979
2016,IRN,ESP,23.140824671577377
2016,GIB,FRA,23.010662238735303
2016,IND,FRA,22.210242498475186
2016,COD,FRA,21.894117960369687
2016,GBR,ESP,20.64088604031337
2016,IRN,FRA,20.61078847098179
2016,PRI,ROU,19.66644766273757
2016,GBR,FRA,18.384173514484395
2016,LIE,ESP,17.956021774796664
2016,NLD,ROU,17.578010866953342
2016,LIE,FRA,15.992851241608335
2016,ASM,ROU,15.552563958893654
2016,THA,ESP,15.11149536505992
2016,PRI,DEU,15.05283972093536
2016,BEL,ESP,14.812745753877595
2016,PRI,ITA,14.703279025194044
2016,PRI,PRT,14.349052459146192
2016,BMU,ROU,13.770015495077207
2016,THA,FRA,13.459323030610099
2016,NLD,DEU,13.454335258240354
2016,CHL,ESP,13.402985530055627
2016,BEL,FRA,13.193236357846452
2016,CYM,ROU,13.14359941376598
2016,NLD,ITA,13.141895420920727
2016,IRL,ROU,13.010301192824286
2016,MUS,ESP,12.954857949287948
2016,SGP,ROU,12.876896266535093
2016,NLD,PRT,12.825285195518894
2016,MWI,ESP,12.584776598703632
2016,BHS,ROU,12.355181784610007
2016,CHL,FRA,11.9376082555478
2016,ASM,DEU,11.904043706194875
2016,VGB,ESP,11.778329562572363
2016,ASM,ITA,11.627605115389633
2016,SWZ,ESP,11.589182249364834
2016,MHL,ESP,11.559534510881704
2016,MUS,FRA,11.538475428334436
2016,ASM,PRT,11.347476674357715
2016,IDN,ESP,11.215086645658415
2016,MWI,FRA,11.20885586886743
2016,JPN,ROU,11.09394150586428
2016,BMU,DEU,10.539668360897084
2016,VGB,FRA,10.490579424071273
2016,SWZ,FRA,10.322111993990303
2016,MHL,FRA,10.295705706608969
2016,BMU,ITA,10.294913625350814
2016,KOR,ESP,10.1211376031622
2016,CYM,DEU,10.060205011323267
2016,BMU,PRT,10.046891949708353
2016,ARE,ESP,10.02629921139028
2016,IDN,FRA,9.988917068340678
2016,IRL,DEU,9.95817759949317
2016,SGP,DEU,9.856068514626806
2016,CYM,ITA,9.826584489996149
2016,IRL,ITA,9.7269263834749
2016,SGP,ITA,9.627188500548442
2016,CYM,PRT,9.58984564596646
2016,IRL,PRT,9.49258846979492
2016,BHS,DEU,9.456744518184433
2016,ISR,ESP,9.423062179764326
2016,SGP,PRT,9.39525343916511
2016,CPV,ESP,9.34746396446805
2016,BHS,ITA,9.237137702825406
2016,BHS,PRT,9.01459961707077
