year,total_positive_misalignment,total_negative_misalignment,total_loss_cit,total_loss_etr
2016,39036929.09830203,29003202.426705163,6235873.166082519,6074887.804961691
2017,61400248.79294857,63172178.80468603,14451005.019367702,14193689.922786186
2018,42984602.483660914,46728414.48989554,11352348.227838391,8196045.619067362
2019,52873823.667872794,56034066.8639407,13188720.818798931,9346113.808205865
2020,58048211.52555685,53573248.710594594,12391024.668128347,8523272.318698786
2021,71797813.63762563,69074566.03341521,15546837.432556901,9973212.575411819
