iso_partner,year,median_positive_misalignment,median_negative_misalignment,avg_positive_misalignment,avg_negative_misalignment,sd_positive_misalignment,sd_negative_misalignment,percentile_2_5_positive_misalignment,percentile_2_5_negative_misalignment,percentile_97_5_positive_misalignment,percentile_97_5_negative_misalignment,gdp_current_usd,gvt_health_expenditure,population,cit,etr_average_corrected,total_avg_positive_misalignment,total_avg_negative_misalignment,loss_incurred_cit_usd,loss_incurred_etr_usd,total_loss_cit,total_loss_etr,loss_inflicted_share,loss_inflicted_cit_usd,loss_inflicted_etr_usd
ABW,2016,16882.332375791437,24831.00167508008,16882.332375791437,24831.001675080082,0.0,0.0,16882.332375791437,24831.00167508008,16882.332375791437,24831.00167508008,2983635195.53073,,104874.0,0.25,0.152084467209993,39036929.09830203,29003202.426705163,6207.750418770021,3776.409660044998,6235873.166082519,6074887.804961691,0.0004324708107361283,2696.8331237833745,2627.2116541428013
ABW,2017,12061.092429194328,19242.119691140182,12061.092429194328,19242.119691140182,0.0,0.0,12061.092429194328,19242.119691140182,12061.092429194328,19242.119691140182,3092429050.27933,,105439.0,0.25,0.1518484464085109,61400248.79294857,63172178.80468603,4810.5299227850455,2921.885980706252,14451005.019367702,14193689.922786186,0.00019643393416639494,2838.667768612718,2788.122351870805
ABW,2017,12061.092429194328,19242.119691140182,12061.092429194328,19242.119691140182,0.0,0.0,12061.092429194328,19242.119691140182,12061.092429194328,19242.119691140182,3092429050.27933,,105439.0,0.25,0.1518484464085109,61400248.79294857,63172178.80468603,4810.5299227850455,2921.885980706252,14451005.019367702,14193689.922786186,0.00019643393416639494,2838.667768612718,2788.122351870805
ABW,2017,12061.092429194328,19242.119691140182,12061.092429194328,19242.119691140182,0.0,0.0,12061.092429194328,19242.119691140182,12061.092429194328,19242.119691140182,3092429050.27933,,105439.0,0.25,0.1518484464085109,61400248.79294857,63172178.80468603,4810.5299227850455,2921.885980706252,14451005.019367702,14193689.922786186,0.00019643393416639494,2838.667768612718,2788.122351870805
ABW,2017,12061.092429194328,19242.119691140182,12061.092429194328,19242.119691140182,0.0,0.0,12061.092429194328,19242.119691140182,12061.092429194328,19242.119691140182,3092429050.27933,,105439.0,0.25,0.1518484464085109,61400248.79294857,63172178.80468603,4810.5299227850455,2921.885980706252,14451005.019367702,14193689.922786186,0.00019643393416639494,2838.667768612718,2788.122351870805
ABW,2018,6329.402304141968,2027.2575296653647,6329.402304141968,2027.2575296653647,0.0,0.0,6329.402304141968,2027.2575296653647,6329.402304141968,2027.2575296653647,3276184357.5419,,105962.0,0.25,0.1518484464085109,42984602.483660914,46728414.48989554,506.8143824163412,307.83590634964133,11352348.227838391,8196045.6190673625,0.00014724812929345729,1671.6120396370982,1206.8523850115052
ABW,2018,6329.402304141968,2027.2575296653647,6329.402304141968,2027.2575296653647,0.0,0.0,6329.402304141968,2027.2575296653647,6329.402304141968,2027.2575296653647,3276184357.5419,,105962.0,0.25,0.1518484464085109,42984602.483660914,46728414.48989554,506.8143824163412,307.83590634964133,11352348.227838391,8196045.6190673625,0.00014724812929345729,1671.6120396370982,1206.8523850115052
ABW,2018,6329.402304141968,2027.2575296653647,6329.402304141968,2027.2575296653647,0.0,0.0,6329.402304141968,2027.2575296653647,6329.402304141968,2027.2575296653647,3276184357.5419,,105962.0,0.25,0.1518484464085109,42984602.483660914,46728414.48989554,506.8143824163412,307.83590634964133,11352348.227838391,8196045.6190673625,0.00014724812929345729,1671.6120396370982,1206.8523850115052
ABW,2018,6329.402304141968,2027.2575296653647,6329.402304141968,2027.2575296653647,0.0,0.0,6329.402304141968,2027.2575296653647,6329.402304141968,2027.2575296653647,3276184357.5419,,105962.0,0.25,0.1518484464085109,42984602.483660914,46728414.48989554,506.8143824163412,307.83590634964133,11352348.227838391,8196045.6190673625,0.00014724812929345729,1671.6120396370982,1206.8523850115052
ABW,2019,5111.239884993545,5177.111959853913,5111.239884993545,5177.111959853913,0.0,0.0,5111.239884993545,5177.111959853913,5111.239884993545,5177.111959853913,3395798882.68156,,106442.0,0.25,0.1976465173688915,52873823.667872794,56034066.86394071,1294.2779899634781,1023.2381488939623,13188720.818798931,9346113.808205865,9.666862599345616e-05,1274.9355201645828,903.475980217729
ABW,2019,5111.239884993545,5177.111959853913,5111.239884993545,5177.111959853913,0.0,0.0,5111.239884993545,5177.111959853913,5111.239884993545,5177.111959853913,3395798882.68156,,106442.0,0.25,0.1976465173688915,52873823.667872794,56034066.86394071,1294.2779899634781,1023.2381488939623,13188720.818798931,9346113.808205865,9.666862599345616e-05,1274.9355201645828,903.475980217729
ABW,2019,5111.239884993545,5177.111959853913,5111.239884993545,5177.111959853913,0.0,0.0,5111.239884993545,5177.111959853913,5111.239884993545,5177.111959853913,3395798882.68156,,106442.0,0.25,0.1976465173688915,52873823.667872794,56034066.86394071,1294.2779899634781,1023.2381488939623,13188720.818798931,9346113.808205865,9.666862599345616e-05,1274.9355201645828,903.475980217729
ABW,2019,5111.239884993545,5177.111959853913,5111.239884993545,5177.111959853913,0.0,0.0,5111.239884993545,5177.111959853913,5111.239884993545,5177.111959853913,3395798882.68156,,106442.0,0.25,0.1976465173688915,52873823.667872794,56034066.86394071,1294.2779899634781,1023.2381488939623,13188720.818798931,9346113.808205865,9.666862599345616e-05,1274.9355201645828,903.475980217729
ABW,2020,6540.894161074436,5898.345063257943,6540.894161074436,5898.345063257943,0.0,0.0,6540.894161074436,5898.345063257943,6540.894161074436,5898.345063257943,2558906303.88098,,106585.0,0.25,0.2482157890742018,58048211.52555685,53573248.710594594,1474.5862658144858,1464.0623741084933,12391024.668128347,8523272.318698786,0.00011268037359246945,1396.225288798207,960.4055091013325
ABW,2020,6540.894161074436,5898.345063257943,6540.894161074436,5898.345063257943,0.0,0.0,6540.894161074436,5898.345063257943,6540.894161074436,5898.345063257943,2558906303.88098,,106585.0,0.25,0.2482157890742018,58048211.52555685,53573248.710594594,1474.5862658144858,1464.0623741084933,12391024.668128347,8523272.318698786,0.00011268037359246945,1396.225288798207,960.4055091013325
ABW,2020,6540.894161074436,5898.345063257943,6540.894161074436,5898.345063257943,0.0,0.0,6540.894161074436,5898.345063257943,6540.894161074436,5898.345063257943,2558906303.88098,,106585.0,0.25,0.2482157890742018,58048211.52555685,53573248.710594594,1474.5862658144858,1464.0623741084933,12391024.668128347,8523272.318698786,0.00011268037359246945,1396.225288798207,960.4055091013325
ABW,2021,2772.711149700929,6143.474178408065,2772.7111497009296,6143.474178408065,0.0,0.0,2772.711149700929,6143.474178408065,2772.711149700929,6143.474178408065,3103184101.51354,,106537.0,0.25,0.2417390792175607,71797813.63762563,69074566.03341521,1535.8685446020163,1485.117791085226,15546837.4325569,9973212.575411819,3.861832288786982e-05,600.3927878557033,385.14874346661736
ABW,2021,2772.711149700929,6143.474178408065,2772.7111497009296,6143.474178408065,0.0,0.0,2772.711149700929,6143.474178408065,2772.711149700929,6143.474178408065,3103184101.51354,,106537.0,0.25,0.2417390792175607,71797813.63762563,69074566.03341521,1535.8685446020163,1485.117791085226,15546837.4325569,9973212.575411819,3.861832288786982e-05,600.3927878557033,385.14874346661736
ABW,2021,2772.711149700929,6143.474178408065,2772.7111497009296,6143.474178408065,0.0,0.0,2772.711149700929,6143.474178408065,2772.711149700929,6143.474178408065,3103184101.51354,,106537.0,0.25,0.2417390792175607,71797813.63762563,69074566.03341521,1535.8685446020163,1485.117791085226,15546837.4325569,9973212.575411819,3.861832288786982e-05,600.3927878557033,385.14874346661736
ABW,2021,2772.711149700929,6143.474178408065,2772.7111497009296,6143.474178408065,0.0,0.0,2772.711149700929,6143.474178408065,2772.711149700929,6143.474178408065,3103184101.51354,,106537.0,0.25,0.2417390792175607,71797813.63762563,69074566.03341521,1535.8685446020163,1485.117791085226,15546837.4325569,9973212.575411819,3.861832288786982e-05,600.3927878557033,385.14874346661736
AFG,2016,33964.08480763635,9348.606897830796,33964.08480763635,9348.606897830796,0.0,0.0,33964.08480763635,9348.606897830796,33964.08480763635,9348.606897830796,18116572395.0772,108140731.84,34636207.0,0.2,0.0413022426444994,39036929.09830203,29003202.426705163,1869.7213795661592,386.11843048224836,6235873.166082519,6074887.804961691,0.0008700501190067655,5425.522190261191,5285.456857659668
AFG,2017,0.0,5105.655424037411,0.0,5105.655424037411,0.0,0.0,0.0,5105.655424037411,0.0,5105.655424037411,18753456497.8159,121528826.51,35643418.0,0.2,0.1632246056133859,61400248.79294857,63172178.80468603,1021.1310848074822,833.3685929863509,14451005.019367702,14193689.922786186,0.0,0.0,0.0
AFG,2017,0.0,5105.655424037411,0.0,5105.655424037411,0.0,0.0,0.0,5105.655424037411,0.0,5105.655424037411,18753456497.8159,121528826.51,35643418.0,0.2,0.1632246056133859,61400248.79294857,63172178.80468603,1021.1310848074822,833.3685929863509,14451005.019367702,14193689.922786186,0.0,0.0,0.0
AFG,2017,0.0,5105.655424037411,0.0,5105.655424037411,0.0,0.0,0.0,5105.655424037411,0.0,5105.655424037411,18753456497.8159,121528826.51,35643418.0,0.2,0.1632246056133859,61400248.79294857,63172178.80468603,1021.1310848074822,833.3685929863509,14451005.019367702,14193689.922786186,0.0,0.0,0.0
AFG,2018,1949.2942640161548,311.5164559217138,1949.2942640161548,311.5164559217138,0.0,0.0,1949.2942640161548,311.5164559217138,1949.2942640161548,311.5164559217138,18053222687.4126,101744864.14,36686784.0,0.2,0.1439139428676382,42984602.483660914,46728414.48989554,62.30329118434277,44.83156143984666,11352348.227838391,8196045.6190673625,4.534866327441577e-05,514.8138171581538,371.67971296083635
AFG,2018,1949.2942640161548,311.5164559217138,1949.2942640161548,311.5164559217138,0.0,0.0,1949.2942640161548,311.5164559217138,1949.2942640161548,311.5164559217138,18053222687.4126,101744864.14,36686784.0,0.2,0.1439139428676382,42984602.483660914,46728414.48989554,62.30329118434277,44.83156143984666,11352348.227838391,8196045.6190673625,4.534866327441577e-05,514.8138171581538,371.67971296083635
AFG,2018,1949.2942640161548,311.5164559217138,1949.2942640161548,311.5164559217138,0.0,0.0,1949.2942640161548,311.5164559217138,1949.2942640161548,311.5164559217138,18053222687.4126,101744864.14,36686784.0,0.2,0.1439139428676382,42984602.483660914,46728414.48989554,62.30329118434277,44.83156143984666,11352348.227838391,8196045.6190673625,4.534866327441577e-05,514.8138171581538,371.67971296083635
AFG,2019,3366.262334392626,1064.0149075792099,3366.262334392626,1064.0149075792099,0.0,0.0,3366.262334392626,1064.0149075792099,3366.262334392626,1064.0149075792099,18799444490.1128,93965898.86,37769499.0,0.2,0.0654426750989369,52873823.667872794,56034066.86394071,212.802981515842,69.63198189713161,13188720.818798931,9346113.808205865,6.366595227797068e-05,839.6724702571312,595.0292356977175
AFG,2019,3366.262334392626,1064.0149075792099,3366.262334392626,1064.0149075792099,0.0,0.0,3366.262334392626,1064.0149075792099,3366.262334392626,1064.0149075792099,18799444490.1128,93965898.86,37769499.0,0.2,0.0654426750989369,52873823.667872794,56034066.86394071,212.802981515842,69.63198189713161,13188720.818798931,9346113.808205865,6.366595227797068e-05,839.6724702571312,595.0292356977175
AFG,2019,3366.262334392626,1064.0149075792099,3366.262334392626,1064.0149075792099,0.0,0.0,3366.262334392626,1064.0149075792099,3366.262334392626,1064.0149075792099,18799444490.1128,93965898.86,37769499.0,0.2,0.0654426750989369,52873823.667872794,56034066.86394071,212.802981515842,69.63198189713161,13188720.818798931,9346113.808205865,6.366595227797068e-05,839.6724702571312,595.0292356977175
AFG,2019,3366.262334392626,1064.0149075792099,3366.262334392626,1064.0149075792099,0.0,0.0,3366.262334392626,1064.0149075792099,3366.262334392626,1064.0149075792099,18799444490.1128,93965898.86,37769499.0,0.2,0.0654426750989369,52873823.667872794,56034066.86394071,212.802981515842,69.63198189713161,13188720.818798931,9346113.808205865,6.366595227797068e-05,839.6724702571312,595.0292356977175
AFG,2019,3366.262334392626,1064.0149075792099,3366.262334392626,1064.0149075792099,0.0,0.0,3366.262334392626,1064.0149075792099,3366.262334392626,1064.0149075792099,18799444490.1128,93965898.86,37769499.0,0.2,0.0654426750989369,52873823.667872794,56034066.86394071,212.802981515842,69.63198189713161,13188720.818798931,9346113.808205865,6.366595227797068e-05,839.6724702571312,595.0292356977175
AFG,2020,3109.27961618882,8985.334345136027,3109.27961618882,8985.334345136027,0.0,0.0,3109.27961618882,8985.334345136027,3109.27961618882,8985.334345136027,19955929052.1496,238944014.08000004,38972230.0,0.2,0.0682932256976626,58048211.52555685,53573248.710594594,1797.0668690272055,613.637466401334,12391024.668128347,8523272.318698786,5.356374528128053e-05,663.7096890976904,456.5383874417711
AFG,2020,3109.27961618882,8985.334345136027,3109.27961618882,8985.334345136027,0.0,0.0,3109.27961618882,8985.334345136027,3109.27961618882,8985.334345136027,19955929052.1496,238944014.08000004,38972230.0,0.2,0.0682932256976626,58048211.52555685,53573248.710594594,1797.0668690272055,613.637466401334,12391024.668128347,8523272.318698786,5.356374528128053e-05,663.7096890976904,456.5383874417711
AFG,2021,6366.402662814263,2719.8876046242135,6366.402662814263,2719.8876046242135,0.0,0.0,6366.402662814263,2719.8876046242135,6366.402662814263,2719.8876046242135,14266499429.8746,107697735.61,40099462.0,0.2,0.071754197414477,71797813.63762563,69074566.03341521,543.9775209248427,195.16335212739477,15546837.4325569,9973212.575411819,8.867126086800435e-05,1378.557677654708,884.337333966403
AFG,2021,6366.402662814263,2719.8876046242135,6366.402662814263,2719.8876046242135,0.0,0.0,6366.402662814263,2719.8876046242135,6366.402662814263,2719.8876046242135,14266499429.8746,107697735.61,40099462.0,0.2,0.071754197414477,71797813.63762563,69074566.03341521,543.9775209248427,195.16335212739477,15546837.4325569,9973212.575411819,8.867126086800435e-05,1378.557677654708,884.337333966403
AFG,2021,6366.402662814263,2719.8876046242135,6366.402662814263,2719.8876046242135,0.0,0.0,6366.402662814263,2719.8876046242135,6366.402662814263,2719.8876046242135,14266499429.8746,107697735.61,40099462.0,0.2,0.071754197414477,71797813.63762563,69074566.03341521,543.9775209248427,195.16335212739477,15546837.4325569,9973212.575411819,8.867126086800435e-05,1378.557677654708,884.337333966403
AFG,2021,6366.402662814263,2719.8876046242135,6366.402662814263,2719.8876046242135,0.0,0.0,6366.402662814263,2719.8876046242135,6366.402662814263,2719.8876046242135,14266499429.8746,107697735.61,40099462.0,0.2,0.071754197414477,71797813.63762563,69074566.03341521,543.9775209248427,195.16335212739477,15546837.4325569,9973212.575411819,8.867126086800435e-05,1378.557677654708,884.337333966403
AGO,2016,0.0,3370.9962729205918,0.0,3370.996272920592,0.0,0.0,0.0,3370.9962729205918,0.0,3370.9962729205918,52761617225.9253,1210995260.76,29154746.0,0.3,0.4476869049163801,39036929.09830203,29003202.426705163,1011.2988818761776,1509.150887908473,6235873.166082519,6074887.804961691,0.0,0.0,0.0
AGO,2016,0.0,3370.9962729205918,0.0,3370.996272920592,0.0,0.0,0.0,3370.9962729205918,0.0,3370.9962729205918,52761617225.9253,1210995260.76,29154746.0,0.3,0.4476869049163801,39036929.09830203,29003202.426705163,1011.2988818761776,1509.150887908473,6235873.166082519,6074887.804961691,0.0,0.0,0.0
AGO,2016,0.0,3370.9962729205918,0.0,3370.996272920592,0.0,0.0,0.0,3370.9962729205918,0.0,3370.9962729205918,52761617225.9253,1210995260.76,29154746.0,0.3,0.4476869049163801,39036929.09830203,29003202.426705163,1011.2988818761776,1509.150887908473,6235873.166082519,6074887.804961691,0.0,0.0,0.0
AGO,2016,0.0,3370.9962729205918,0.0,3370.996272920592,0.0,0.0,0.0,3370.9962729205918,0.0,3370.9962729205918,52761617225.9253,1210995260.76,29154746.0,0.3,0.4476869049163801,39036929.09830203,29003202.426705163,1011.2988818761776,1509.150887908473,6235873.166082519,6074887.804961691,0.0,0.0,0.0
AGO,2017,0.0,1599.0722114433522,0.0,1599.0722114433522,0.0,0.0,0.0,1599.0722114433522,0.0,1599.0722114433522,73690154990.7312,1577680174.8600004,30208628.0,0.3,0.4151783578975761,61400248.79294857,63172178.80468603,479.72166343300563,663.9001749066966,14451005.019367702,14193689.922786186,0.0,0.0,0.0
AGO,2017,0.0,1599.0722114433522,0.0,1599.0722114433522,0.0,0.0,0.0,1599.0722114433522,0.0,1599.0722114433522,73690154990.7312,1577680174.8600004,30208628.0,0.3,0.4151783578975761,61400248.79294857,63172178.80468603,479.72166343300563,663.9001749066966,14451005.019367702,14193689.922786186,0.0,0.0,0.0
AGO,2017,0.0,1599.0722114433522,0.0,1599.0722114433522,0.0,0.0,0.0,1599.0722114433522,0.0,1599.0722114433522,73690154990.7312,1577680174.8600004,30208628.0,0.3,0.4151783578975761,61400248.79294857,63172178.80468603,479.72166343300563,663.9001749066966,14451005.019367702,14193689.922786186,0.0,0.0,0.0
AGO,2017,0.0,1599.0722114433522,0.0,1599.0722114433522,0.0,0.0,0.0,1599.0722114433522,0.0,1599.0722114433522,73690154990.7312,1577680174.8600004,30208628.0,0.3,0.4151783578975761,61400248.79294857,63172178.80468603,479.72166343300563,663.9001749066966,14451005.019367702,14193689.922786186,0.0,0.0,0.0
AGO,2017,0.0,1599.0722114433522,0.0,1599.0722114433522,0.0,0.0,0.0,1599.0722114433522,0.0,1599.0722114433522,73690154990.7312,1577680174.8600004,30208628.0,0.3,0.4151783578975761,61400248.79294857,63172178.80468603,479.72166343300563,663.9001749066966,14451005.019367702,14193689.922786186,0.0,0.0,0.0
AGO,2017,0.0,1599.0722114433522,0.0,1599.0722114433522,0.0,0.0,0.0,1599.0722114433522,0.0,1599.0722114433522,73690154990.7312,1577680174.8600004,30208628.0,0.3,0.4151783578975761,61400248.79294857,63172178.80468603,479.72166343300563,663.9001749066966,14451005.019367702,14193689.922786186,0.0,0.0,0.0
AGO,2017,0.0,1599.0722114433522,0.0,1599.0722114433522,0.0,0.0,0.0,1599.0722114433522,0.0,1599.0722114433522,73690154990.7312,1577680174.8600004,30208628.0,0.3,0.4151783578975761,61400248.79294857,63172178.80468603,479.72166343300563,663.9001749066966,14451005.019367702,14193689.922786186,0.0,0.0,0.0
AGO,2017,0.0,1599.0722114433522,0.0,1599.0722114433522,0.0,0.0,0.0,1599.0722114433522,0.0,1599.0722114433522,73690154990.7312,1577680174.8600004,30208628.0,0.3,0.4151783578975761,61400248.79294857,63172178.80468603,479.72166343300563,663.9001749066966,14451005.019367702,14193689.922786186,0.0,0.0,0.0
AGO,2017,0.0,1599.0722114433522,0.0,1599.0722114433522,0.0,0.0,0.0,1599.0722114433522,0.0,1599.0722114433522,73690154990.7312,1577680174.8600004,30208628.0,0.3,0.4151783578975761,61400248.79294857,63172178.80468603,479.72166343300563,663.9001749066966,14451005.019367702,14193689.922786186,0.0,0.0,0.0
AGO,2018,0.0,507.1482686433528,0.0,507.1482686433528,0.0,0.0,0.0,507.1482686433528,0.0,507.1482686433528,79450688259.3664,1118847264.51,31273533.0,0.3,0.4071720075431295,42984602.483660914,46728414.48989554,152.14448059300585,206.4965786655363,11352348.227838391,8196045.6190673625,0.0,0.0,0.0
AGO,2018,0.0,507.1482686433528,0.0,507.1482686433528,0.0,0.0,0.0,507.1482686433528,0.0,507.1482686433528,79450688259.3664,1118847264.51,31273533.0,0.3,0.4071720075431295,42984602.483660914,46728414.48989554,152.14448059300585,206.4965786655363,11352348.227838391,8196045.6190673625,0.0,0.0,0.0
AGO,2018,0.0,507.1482686433528,0.0,507.1482686433528,0.0,0.0,0.0,507.1482686433528,0.0,507.1482686433528,79450688259.3664,1118847264.51,31273533.0,0.3,0.4071720075431295,42984602.483660914,46728414.48989554,152.14448059300585,206.4965786655363,11352348.227838391,8196045.6190673625,0.0,0.0,0.0
AGO,2018,0.0,507.1482686433528,0.0,507.1482686433528,0.0,0.0,0.0,507.1482686433528,0.0,507.1482686433528,79450688259.3664,1118847264.51,31273533.0,0.3,0.4071720075431295,42984602.483660914,46728414.48989554,152.14448059300585,206.4965786655363,11352348.227838391,8196045.6190673625,0.0,0.0,0.0
