year,total_positive_misalignment,total_negative_misalignment,total_loss_cit,total_loss_etr
2016,20105495.321653824,32108373.2460827,8683868.644458422,8145366.196354628
2017,20362606.869260278,27170176.95911048,7415350.808384142,6341431.004630733
2018,22773690.478554983,44976828.311484866,12009154.404506285,9620953.719593126
2019,34160884.71581493,50255070.863456786,13229292.522339337,9070736.182848139
2020,34598755.00237087,62214211.868397966,15794538.758701598,10786313.30773935
2021,48191770.76507499,69280747.85208377,17680236.95802226,11614002.566018006
