iso_partner,partner_jurisdiction,wb_income_group,main_commodity,pre_profit_payments_usd_m,post_profit_payments_usd_m,equity_income_usd_m,actual_resource_contribution_usd_m,resource_profit_base_usd_m,reported_profit_usd_m,reported_tax_usd_m,contribution_pct_profit,contribution_pct_gdp_per_yr,src_eiti_bilateral,src_grd_distributed,src_manual_distributed,src_rent_proxy,sanity_flag
Source country ISO3 code (where the resource is extracted),Source country name,World Bank income group (investment_hub = recognised tax haven),Dominant commodity in this country's resource-payment panel,"Royalties / production-sharing / fees deducted BEFORE CbCR profit, USD millions, 2016-2022 total (added back in the incl_resource view)","Resource corporate income tax / special taxes paid FROM profit, USD millions, 2016-2022 total","State-owned-enterprise / state-participation income, USD millions, 2016-2022 total","Total state take = pre-profit + post-profit + equity, USD millions, 2016-2022 total","Profit pool removed from the country in the excl_resource view, USD millions, 2016-2022 total","Country's reported profit before income tax (for scale), USD millions, 2016-2022 total","Country's reported corporate income tax paid (for scale), USD millions, 2016-2022 total",Total state take as a percentage of the country's absolute reported profit,Annual state take as a percentage of GDP (total take / 7 years / mean annual GDP),Share of the total state take sourced from eiti_bilateral,Share of the total state take sourced from grd_distributed,Share of the total state take sourced from manual_distributed,Share of the total state take sourced from rent-proxy estimate,Plausibility flags: ok / no_resource_correction / >50%GDP-per-yr check / mostly_rent_proxy (estimated) / negative_component check
BIH,Bosnia and Herzegovina,upper_middle_income,coal,108.4825130614724,81.19345760740282,13.307673349631825,202.98364401850702,633.271934538096,45625.54316032951,8669.462889309956,0.4448903617546349,0.14014009570935496,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
JOR,Jordan,lower_middle_income,minerals,98.33718745388875,77.90924963673952,21.695438361101683,197.94187545172994,342.17668130542313,8631.158016869249,1814.720156492187,2.2933408827049693,0.06423841494797808,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
URY,Uruguay,high_income,minerals,94.03755916416421,70.78708260323792,30.253689015574864,195.078330782977,264.57990042792153,46364.548652583304,5399.469863271224,0.4207489050410669,0.04485113720506579,0.0,0.01390058542121342,0.0,0.9860994145787866,mostly_rent_proxy(estimated)
NPL,Nepal,lower_middle_income,coal,103.70902354927566,75.46891146120328,9.494343642529262,188.6722786530082,241.7143159883363,26383.94184643675,3550.865256321064,0.7151026929605254,0.0778203762447224,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
BDI,Burundi,low_income,minerals,83.00669227099091,66.40535381679273,16.60133845419818,166.01338454198182,218.377461603528,-0.26664738504616375,0.007603049177931946,62259.52094495151,0.8707707194698434,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
SLB,Solomon Islands,lower_middle_income,minerals,80.22287895125918,64.17830316100735,16.044575790251837,160.44575790251835,159.10039529341955,4733.743930718532,270.7469252105562,3.3894050935316304,1.4982028951571453,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
SWZ,Eswatini,lower_middle_income,coal,86.91373062141685,62.96493182175579,9.779996221234416,159.65865866440706,218.9660714416553,36306.84042386123,2032.3119471640325,0.4397481488349995,0.5134207462045001,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
JAM,Jamaica,upper_middle_income,minerals,71.32377038720382,54.890052596713396,20.048657312239854,146.26248029615707,214.20780707255716,-930.3164159577682,489.15514656262303,15.721799356359703,0.13796341535239223,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
GEO,Georgia,upper_middle_income,minerals,69.0030667532806,54.90077988124683,14.408602669666143,138.3124493041936,288.7135413495113,2145.1342659832662,262.12678490800005,6.4477292399594965,0.10864471690714037,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
MDG,Madagascar,low_income,oil_gas,125.40585168992331,0.0,3.4757156850583577,128.88156737498167,3.3824411849644873,4741.6582125146815,244.25294474532774,2.7180695359868814,0.1347831812507831,0.018952724762098555,0.9810472752379015,0.0,0.0,ok
