country,year,Adaptation,Dual Benefits,Mitigation,Unknown,Total
Eswatini,2021/2022,6.48856100296199,2.00895082267627,7.03964649574772,0.214008,15.75116632138598
Ethiopia,2019/2020,944.779093200679,106.452340492228,639.872140703497,,1691.103574396404
Ethiopia,2021/2022,869.783271674443,306.117168328999,703.133903698579,0.121197,1879.155540702021
Gabon,2019/2020,29.7828398850652,4.47755240850193,48.9829867234501,,83.24337901701722
Gabon,2021/2022,45.0259012505042,12.5133471522712,264.494169809729,,322.0334182125044
Gambia,2019/2020,32.1939710269477,9.66361419043173,23.536209411547,,65.39379462892643
Gambia,2021/2022,49.7928295977882,19.8773100210245,13.6856622823772,,83.35580190118989
Ghana,2019/2020,403.015727232786,31.8817207905834,386.047959914881,9.2032995,830.1487074382503
Ghana,2021/2022,239.50565393072,326.637392571206,316.237256899124,51.4435965,933.82389990105
Guinea,2019/2020,82.6871315675628,16.0501287480481,88.3147516471941,,187.052011962805
Guinea,2021/2022,45.7659475526059,27.3028812922375,216.289191326135,,289.3580201709784
Guinea-Bissau,2019/2020,15.5474328168948,1.34714672152498,2.1607339380973,0.0,19.05531347651708
Guinea-Bissau,2021/2022,21.7483748342648,13.1667123533621,4.39543518448437,,39.31052237211127
Kenya,2019/2020,819.461947476454,85.6729074575409,1003.91152285865,9.923752,1918.970129792645
Kenya,2021/2022,406.662336588711,314.181055985815,888.73586279788,95.410401,1704.989656372406
Lesotho,2019/2020,100.976280808804,114.001941988334,22.9381473595,0.0,237.916370156638
Lesotho,2021/2022,22.5850175925217,37.1412379816796,20.4108210219436,,80.13707659614491
Liberia,2019/2020,35.2760224365037,4.15516399779344,71.812738598308,0.766335,112.01026003260516
Liberia,2021/2022,84.6789376755288,94.4269106873204,24.4322515325893,,203.5380998954385
Libya,2019/2020,2.94114272514709,0.100566689715099,44.1663388467236,,47.20804826158579
Libya,2021/2022,5.8034352330876,0.601615717380474,19.1572768390478,,25.562327789515876
Madagascar,2019/2020,169.443501694666,49.3920691426994,133.546428294307,0.158229,352.5402281316724
Madagascar,2021/2022,377.358652550856,273.133300475308,195.594122658874,7.2255455,853.3116211850379
Malawi,2019/2020,312.042301986499,24.2376995268729,176.048055804194,,512.3280573175659
Malawi,2021/2022,200.836923915392,166.722469491817,141.161246587514,0.050402,508.771041994723
Mali,2019/2020,191.203786768834,46.3471500660086,138.819427177816,0.0,376.37036401265857
Mali,2021/2022,335.554414105825,117.772582717361,79.4019553083857,0.057143,532.7860951315716
Mauritania,2019/2020,70.618001687968,1.9125805317316,34.5838724051252,0.0,107.11445462482482
Mauritania,2021/2022,414.773666932266,20.006492870242,49.3385493893228,,484.1187091918308
Mauritius,2019/2020,24.800896167822,180.408717826447,7.48908051746973,0.0,212.69869451173872
Mauritius,2021/2022,2.92607183072543,250.018269596749,16.8376815923732,8.781395,278.56341801984763
Morocco,2019/2020,743.085640000749,135.917881678103,1110.16890457931,6.47127249999999,1995.643698758162
Morocco,2021/2022,760.928567490565,572.384082894754,616.797830982651,19.7331585,1969.84363986797
Mozambique,2019/2020,423.324212352602,192.480018363985,409.635620185411,0.0,1025.439850901998
Mozambique,2021/2022,412.612285481079,190.023843896727,507.409910496278,10.3630605,1120.409100374084
Namibia,2019/2020,68.4590932706448,76.5222992348966,56.3398583959069,0.9997925,202.32104340144832
Namibia,2021/2022,42.8732742729445,14.3918545852776,91.7824427990171,0.2039795,149.2515511572392
Niger,2019/2020,371.949776340228,46.5771707456225,124.703363677295,0.0891595,543.3194702631456
Niger,2021/2022,541.628721998249,202.837342948508,268.707428549579,0.00631,1013.179803496336
Nigeria,2019/2020,663.588479404695,54.8588205608198,1073.79504207296,131.1633245,1923.4056665384749
Nigeria,2021/2022,735.102328092925,496.98120606603,1221.8951342921,89.8708039999999,2543.8494724510547
Rwanda,2019/2020,282.313006370635,113.044848775348,205.921008327235,0.013055,601.291918473218
Rwanda,2021/2022,419.111855558744,319.960162311717,218.259661250019,15.764356,973.09603512048
Saint Helena,2019/2020,2.29813869372835,0.025650891368475,,,2.3237895850968253
Sao Tome and Principe,2019/2020,22.0263850149727,2.000738835,24.652360714923,,48.6794845648957
Sao Tome and Principe,2021/2022,13.1941398912014,2.52560989731181,1.78155579676635,,17.50130558527956
Senegal,2019/2020,184.544452881868,56.6417017043356,320.282888914659,0.058892,561.5279355008627
Senegal,2021/2022,478.634653278238,150.242759225518,262.072408051988,28.6162739999999,919.566094555744
Seychelles,2019/2020,1.249999675,5.0,,0.0,6.249999675
Seychelles,2021/2022,,,0.06,,0.06
Sierra Leone,2019/2020,80.1964460288968,15.433439940605,67.53531494891,0.5480635,163.71326441841182
Sierra Leone,2021/2022,53.1385298463827,149.383024532877,39.9335592043036,,242.4551135835633
Somalia,2019/2020,258.372307087079,21.0187371559987,41.2905754510991,0.0,320.6816196941768
Somalia,2021/2022,271.005415061739,75.353652689301,89.8911164903503,,436.25018424139023
South Africa,2019/2020,293.344997139788,104.710955996543,1260.64074778682,0.8830615,1659.579762423151
South Africa,2021/2022,206.284474613703,174.907722402911,2878.49675009328,220.5547195,3480.243666609894
South Sudan,2019/2020,90.9667714256625,5.13702324753204,14.585491364407,,110.68928603760156
South Sudan,2021/2022,142.238491309503,90.2254312243603,23.3712611931246,6.231785,262.0669687269879
Sudan,2019/2020,117.430250723113,18.3180860964985,34.7311491212402,0.507572,170.9870579408517
Sudan,2021/2022,204.241641769346,45.920051459865,214.097716892351,,464.259410121562
Tanzania,2019/2020,367.147085428659,85.8606075521807,280.339068737966,11.1715115,744.5182732188057
Tanzania,2021/2022,633.34132867171,686.043825284522,500.902875476792,41.90839,1862.196419433024
Togo,2019/2020,53.1239250422172,11.4603052535899,61.7598846509308,0.0,126.3441149467379
Togo,2021/2022,79.6314972369706,70.7131996949577,101.207369640265,1.0380555,252.5901220721933
Tunisia,2019/2020,292.702004874376,55.072618312022,580.536676467381,10.5051065,938.816406153779
Tunisia,2021/2022,362.420831626006,112.674944670085,311.931515753819,,787.02729204991
Uganda,2019/2020,373.785482529967,116.298061846605,222.15461240856,0.0,712.238156785132
Uganda,2021/2022,377.690785156689,235.5656203378,494.912203100378,1.2061065,1109.374715094867
Zambia,2019/2020,121.499703337012,12.055893718097,107.43191351175,0.0,240.987510566859
Zambia,2021/2022,126.771632722302,67.6521915594693,92.59114190709,10.5340185,297.5489846888613
Zimbabwe,2019/2020,88.8510700205359,22.4261960012161,305.793450912267,0.0,417.070716934019
Zimbabwe,2021/2022,141.765023368835,76.7391686513866,197.025239367082,4.97505249999999,420.5044838873036
