country,year,Adaptation,Dual Benefits,Mitigation,Unknown,Total
Algeria,2019/2020,18.4617530598113,15.2152079605844,19.4919240317316,0.0,53.1688850521273
Algeria,2021/2022,6.14096876295507,7.49813173811717,48.5159830728999,0.039962,62.19504557397214
Angola,2019/2020,54.4009116531052,33.5146307772327,219.479312979043,,307.39485540938085
Angola,2021/2022,84.6751822190968,202.748260663206,127.436520174673,,414.8599630569757
Benin,2019/2020,244.586928867211,31.9515572757766,83.5472126923081,0.0,360.0856988352957
Benin,2021/2022,251.272788590634,171.419319734012,130.864209936222,,553.556318260868
Botswana,2019/2020,1.16262758927015,5.36005940773258,54.4180269431683,,60.94071394017103
Botswana,2021/2022,70.2611221555133,50.7388590868979,45.9056829646236,,166.9056642070348
Burkina Faso,2019/2020,251.773460900675,35.6989407265945,280.186051230513,0.0,567.6584528577825
Burkina Faso,2021/2022,418.009265460683,95.2852187037902,493.942818836368,6.9084,1014.1457030008412
Burundi,2019/2020,41.8860839733728,17.0095879191197,63.3231766738715,1.021779,123.240627566364
Burundi,2021/2022,60.8593822742699,82.8951831185831,61.0431444979027,,204.7977098907557
Cameroon,2019/2020,165.728438270993,40.7904395481087,183.976899148259,0.0,390.4957769673607
Cameroon,2021/2022,178.140735798983,315.607192059419,220.209386362014,0.0727915,714.030105720416
Cape Verde,2019/2020,10.8062875540348,6.24487893371794,3.752643755,0.3803305,21.18414074275274
Cape Verde,2021/2022,27.4169106022134,25.9231610304156,19.2735564230989,0.000526,72.6141540557279
Central African Republic,2019/2020,55.9707020906176,7.66421122632478,37.0528625948553,,100.68777591179769
Central African Republic,2021/2022,53.595647654238,58.3320977838713,3.97423576781753,,115.90198120592684
Chad,2019/2020,128.827143588636,13.6481677344495,149.76064296748,,292.2359542905655
Chad,2021/2022,145.540358815255,213.160070300633,138.129632298846,,496.830061414734
Comoros,2019/2020,67.8134389423381,1.71107450871054,21.3038401593,,90.82835361034864
Comoros,2021/2022,36.153899175242,17.2057419444855,13.9260636844843,,67.2857048042118
Congo,2019/2020,38.4142401899274,4.05998977995902,14.7907689994687,,57.26499896935512
Congo,2021/2022,9.25480022699195,61.7558946138942,30.4158492543893,5.75,107.17654409527545
Cote d'Ivoire,2019/2020,298.027361530292,192.453914189164,453.785695291965,2.567946,946.834917011421
Cote d'Ivoire,2021/2022,587.404405550076,305.498146185957,800.691712119286,6.61988049999999,1700.214144355319
Democratic Republic of Congo,2019/2020,278.965583425442,38.9861381640453,105.661936590945,0.0,423.6136581804323
Democratic Republic of Congo,2021/2022,608.245087409199,339.523800794712,393.021088847893,10.2886985,1351.0786755518038
Djibouti,2019/2020,40.5975162161108,6.71559829401709,39.961620601529,,87.2747351116569
Djibouti,2021/2022,47.5845264560017,9.87020541782725,39.9260845325354,,97.38081640636436
Egypt,2019/2020,417.958507904978,137.176434417428,1914.16627565091,148.839861499999,2618.141079473315
Egypt,2021/2022,466.078785108268,188.341230681813,3709.81536869724,55.9971475,4420.232531987322
Equatorial Guinea,2019/2020,31.7900286837606,8.74235547370356,0.00799398,0.0,40.54037813746416
Equatorial Guinea,2021/2022,0.129810862626326,0.431124113994071,0.0001444473656535,0.262909,0.8239884239860507
Eritrea,2019/2020,27.6943810914738,1.30695231678461,11.694720169514,0.0,40.69605357777241
Eritrea,2021/2022,2.14694487924334,0.27431214112378,20.6898930623878,,23.11115008275492
Eswatini,2019/2020,16.8512537599455,4.85565891558331,9.694936879165,0.3358335,31.73768305469381
