mne_group,year,shifted_bn,eu_out_bn,total_profit_bn,shifted_pct_of_profit,eu_out_pct_of_profit
US,2016,313.0129487377209,8.710354310283284,726.8434227396315,43.06470127471289,1.1983811145256096
US,2017,425.51244606004377,21.502644300311047,1277.1118655676662,33.318337847476414,1.6836930953384646
US,2018,253.84779170938646,10.074559900333188,880.1589776157215,28.84112963285784,1.1446295676747336
US,2019,330.94327779841433,30.56238173013978,886.936125181167,37.3130903570779,3.4458379653773896
US,2020,475.7458581936324,69.17561492179529,1709.6330710391603,27.82736636607418,4.046225830186387
US,2021,372.49769242649165,167.9702621037754,2706.209288817233,13.764555977460793,6.206846706124047
US,2022,405.5548134502809,50.47962308085861,2195.5124869031774,18.47198847055184,2.29921821816014
EU,2016,149.58054060478625,73.4183962464021,611.8209465832075,24.448417701312444,11.999980820600626
EU,2017,353.186694272632,167.2854879202949,1356.1072164037835,26.04415712861084,12.335712537826755
EU,2018,369.4441475882281,197.06261256878767,1515.8824188975225,24.371556987706146,12.999861342287234
EU,2019,427.81657202963453,216.05819219433724,1351.3140998084086,31.659299054919284,15.98874697044679
EU,2020,228.65560255880828,117.81410179979902,687.6220874820204,33.25309159223118,17.13355401819892
EU,2021,302.8251386606518,186.33886962023084,1348.2992788148695,22.45978644495231,13.820289942157302
EU,2022,312.33195181912015,196.35772652927602,1259.2809285067776,24.80240466989961,15.59284525670629
All,2016,721.1458624428941,123.47141146602237,2876.630230840765,25.069119232336018,4.292223941133194
All,2017,1311.431620007797,289.7143781517065,5461.215688306,24.013547438090413,5.304942977660937
All,2018,1265.79599619608,334.76865069616963,6015.510266017095,21.042204903993476,5.565091503331802
All,2019,1316.8302596092974,337.69709745121764,5997.838449607016,21.955080495633847,5.63031332518374
All,2020,1278.8620574718436,296.3913089044108,4918.190681638269,26.002693678518572,6.026429800921863
All,2021,1665.1376082282889,562.6790989049653,8823.850240111316,18.870873404661076,6.376797923735692
All,2022,1676.9466897655689,393.2680602663469,7903.373259064111,21.218113263755264,4.9759520065096385
