iso_partner,partner_jurisdiction,wb_income_group,excl_floored,excl_resource,ignorant,max_abs
CHN,China (People’s Republic of),upper_middle_income,-1058.551072927151,-1181.0545849303344,-1229.3266109956248,1229.3266109956248
SAU,Saudi Arabia,high_income,-240.8569368705583,-240.67100995443522,-435.2655248213778,435.2655248213778
CAN,Canada,high_income,-334.3069436933459,-334.3232920468746,-365.04089836219316,365.04089836219316
HKG,Hong Kong (China),investment_hub,-308.98338777163843,-307.5676073277374,-313.3167721375115,313.3167721375115
USA,United States,high_income,-1203.1165306720711,-1201.235882413304,-299.01582833127003,1203.1165306720711
SGP,Singapore,investment_hub,-272.6082032958229,-271.11033484086306,-274.1476445042847,274.1476445042847
IRL,Ireland,investment_hub,-205.73458183383246,-205.95059232188336,-202.97614714821438,205.95059232188336
CHE,Switzerland,investment_hub,-200.94318292103975,-201.47657110511793,-196.55120432813953,201.47657110511793
VGB,British Virgin Islands,investment_hub,-132.54671272174585,-132.60254951444196,-132.48797056737175,132.60254951444196
NOR,Norway,high_income,-50.12500204570464,-49.99544664236778,-124.66239667157492,124.66239667157492
ARE,United Arab Emirates,investment_hub,-80.798262033343,-80.31659907391943,-100.46388964420665,100.46388964420665
IMN,Isle of Man,investment_hub,-94.59509232298365,-99.66226144954746,-90.03213390228917,99.66226144954746
GIB,Gibraltar,investment_hub,-81.564036501104,-81.64944135277743,-81.46264544548677,81.64944135277743
DNK,Denmark,high_income,-77.66722230256256,-77.66161121526189,-78.03574529540771,78.03574529540771
BMU,Bermuda,investment_hub,-66.93339336443442,-66.99429822087856,-66.51524907352787,66.99429822087856
PRI,Puerto Rico,investment_hub,-60.578918447072716,-60.82146030973847,-59.46909997159465,60.82146030973847
ZAF,South Africa,upper_middle_income,61.21873318023988,-1.3589553397635572,-52.27618635106967,61.21873318023988
PAN,Panama,investment_hub,-42.63054211330258,-42.667556119870035,-42.16448897025171,42.667556119870035
JEY,Jersey,investment_hub,-26.840430802282164,-26.608205702455585,-34.047814742278334,34.047814742278334
AUS,Australia,high_income,25.2104522449679,25.433818993074325,-27.856677158020727,27.856677158020727
