scenario,iso_partner,partner_jurisdiction,wb_income_group,region_tjn,formula_name,positive_misalignment,negative_misalignment,net_misalignment,tax_revenue_current_usd,gvt_health_expenditure,current_tax_paid_cash_musd,floor_add_on_usd_total,positive_misalignment_usd_bn,negative_misalignment_usd_bn,net_misalignment_usd_bn,floor_add_on_usd_bn,total_recovery_usd_bn
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,ccctb,665.5359549821549,690.7012047476769,25.165249765522173,,,74.2543642,0.0,0.6655359549821549,0.6907012047476769,0.025165249765522174,0.0,0.025165249765522174
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,ccctb_destads,412.27033507408123,2042.0612037686105,1629.7908686945293,,,74.2543642,0.0,0.41227033507408123,2.0420612037686103,1.6297908686945293,0.0,1.6297908686945293
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,ccctb_destads_nexus,758.3439037175574,2039.132140896403,1280.7882371788455,,,74.2543642,0.0,0.7583439037175574,2.039132140896403,1.2807882371788455,0.0,1.2807882371788455
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,ccctb_destcfb,958.9894187891065,1902.092099494577,943.1026807054704,,,74.2543642,0.0,0.9589894187891065,1.9020920994945771,0.9431026807054704,0.0,0.9431026807054704
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,ccctb_destcfb_nexus,848.0256819643653,1989.0074342726741,1140.9817523083088,,,74.2543642,0.0,0.8480256819643652,1.989007434272674,1.1409817523083088,0.0,1.1409817523083088
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,ccctb_destcombined,769.003569663185,1999.4037553660144,1230.4001857028293,,,74.2543642,0.0,0.769003569663185,1.9994037553660144,1.2304001857028293,0.0,1.2304001857028293
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,ccctb_destcombined_nexus,822.2134676696573,2118.497091349968,1296.2836236803103,,,74.2543642,0.0,0.8222134676696573,2.1184970913499677,1.2962836236803104,0.0,1.2962836236803104
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,ccctb_destcombinedads,442.2825050439684,1985.4017676332505,1543.1192625892822,,,74.2543642,0.0,0.4422825050439684,1.9854017676332505,1.5431192625892822,0.0,1.5431192625892822
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,ccctb_destcombinedads_nexus,802.883574568176,2106.541449494601,1303.657874926425,,,74.2543642,0.0,0.8028835745681759,2.1065414494946006,1.303657874926425,0.0,1.303657874926425
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,double_weighted_sales,711.2512719893364,494.5038804867768,-216.74739150255965,,,74.2543642,0.0,0.7112512719893364,0.4945038804867768,-0.21674739150255964,0.0,-0.21674739150255964
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,double_weighted_sales_destads,471.50659419989444,1557.721489506022,1086.2148953061273,,,74.2543642,0.0,0.47150659419989444,1.5577214895060219,1.0862148953061272,0.0,1.0862148953061272
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,double_weighted_sales_destads_nexus,965.2411264658401,1275.7658006002964,310.5246741344564,,,74.2543642,0.0,0.9652411264658401,1.2757658006002963,0.3105246741344564,0.0,0.3105246741344564
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,double_weighted_sales_destcfb,2241.0504726445592,2079.964013346097,-161.08645929846176,,,74.2543642,0.0,2.241050472644559,2.079964013346097,-0.16108645929846177,0.0,-0.16108645929846177
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,double_weighted_sales_destcfb_nexus,1316.6321927904492,1070.044866537086,-246.58732625336324,,,74.2543642,0.0,1.3166321927904492,1.0700448665370859,-0.24658732625336324,0.0,-0.24658732625336324
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,double_weighted_sales_destcombined,1712.68510156517,2306.1658551296796,593.4807535645093,,,74.2543642,0.0,1.71268510156517,2.3061658551296795,0.5934807535645094,0.0,0.5934807535645094
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,double_weighted_sales_destcombined_nexus,1045.4967357111175,1225.5029142690112,180.00617855789366,,,74.2543642,0.0,1.0454967357111176,1.2255029142690113,0.18000617855789366,0.0,0.18000617855789366
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,double_weighted_sales_destcombinedads,524.1196204184844,2349.5925996592982,1825.472979240814,,,74.2543642,0.0,0.5241196204184844,2.349592599659298,1.825472979240814,0.0,1.825472979240814
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,double_weighted_sales_destcombinedads_nexus,1059.8168841933684,1219.5669561593595,159.7500719659909,,,74.2543642,0.0,1.0598168841933684,1.2195669561593596,0.15975007196599092,0.0,0.15975007196599092
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,employees_payroll,488.28925680134097,2255.784026827357,1767.4947700260163,,,74.2543642,0.0,0.48828925680134094,2.255784026827357,1.7674947700260164,0.0,1.7674947700260164
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,sales_employees,812.6661545841805,726.5592722608001,-86.10688232338059,,,74.2543642,0.0,0.8126661545841805,0.7265592722608001,-0.08610688232338058,0.0,-0.08610688232338058
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,sales_employees_destads,434.9800171147692,3220.0111098331254,2785.0310927183564,,,74.2543642,0.0,0.43498001711476925,3.220011109833125,2.7850310927183566,0.0,2.7850310927183566
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,sales_employees_destads_nexus,716.2745480719129,1921.3131650226167,1205.0386169507037,,,74.2543642,0.0,0.7162745480719129,1.9213131650226167,1.2050386169507037,0.0,1.2050386169507037
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,sales_employees_destcfb,1365.4845381728646,362.9741741800042,-1002.5103639928604,,,74.2543642,0.0,1.3654845381728646,0.36297417418000416,-1.0025103639928605,0.0,-1.0025103639928605
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,sales_employees_destcfb_nexus,935.650534779799,375.7615469872473,-559.8889877925518,,,74.2543642,0.0,0.9356505347797991,0.3757615469872473,-0.5598889877925518,0.0,-0.5598889877925518
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,sales_employees_destcombined,514.8547856477055,2907.0180374638207,2392.163251816115,,,74.2543642,0.0,0.5148547856477055,2.907018037463821,2.392163251816115,0.0,2.392163251816115
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,sales_employees_destcombined_nexus,802.3893216540697,3218.1319916305424,2415.742669976473,,,74.2543642,0.0,0.8023893216540697,3.218131991630542,2.415742669976473,0.0,2.415742669976473
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,sales_employees_destcombinedads,437.86931077603793,2929.4999928952448,2491.6306821192065,,,74.2543642,0.0,0.4378693107760379,2.9294999928952445,2.4916306821192067,0.0,2.4916306821192067
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,sales_employees_destcombinedads_nexus,743.8134563426441,3245.4142468074983,2501.600790464854,,,74.2543642,0.0,0.7438134563426442,3.2454142468074982,2.5016007904648543,0.0,2.5016007904648543
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,three_factors,728.9357035864939,534.0649644033729,-194.87073918312103,,,74.2543642,0.0,0.728935703586494,0.5340649644033729,-0.19487073918312103,0.0,-0.19487073918312103
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,three_factors_destads,415.55198965909995,1394.8215786573533,979.2695889982534,,,74.2543642,0.0,0.41555198965909995,1.3948215786573532,0.9792695889982534,0.0,0.9792695889982534
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,three_factors_destads_nexus,991.7007774601568,1277.793297071169,286.0925196110121,,,74.2543642,0.0,0.9917007774601568,1.277793297071169,0.2860925196110121,0.0,0.2860925196110121
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,three_factors_destcfb,1390.929685335652,283.51975596327924,-1107.4099293723727,,,74.2543642,0.0,1.390929685335652,0.2835197559632792,-1.1074099293723727,0.0,-1.1074099293723727
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,three_factors_destcfb_nexus,1480.786525970537,217.59809983964993,-1263.1884261308871,,,74.2543642,0.0,1.480786525970537,0.21759809983964992,-1.2631884261308872,0.0,-1.2631884261308872
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,three_factors_destcombined,1287.2027942607633,1885.7543704331301,598.5515761723668,,,74.2543642,0.0,1.2872027942607633,1.88575437043313,0.5985515761723669,0.0,0.5985515761723669
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,three_factors_destcombined_nexus,1025.7285963533889,1247.7202829215587,221.99168656816968,,,74.2543642,0.0,1.0257285963533889,1.2477202829215588,0.22199168656816967,0.0,0.22199168656816967
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,three_factors_destcombinedads,479.3000208903243,1915.8221118872677,1436.5220909969435,,,74.2543642,0.0,0.47930002089032425,1.9158221118872678,1.4365220909969434,0.0,1.4365220909969434
excl_floored,ABW,Aruba,investment_hub,Caribbean/American isl.,three_factors_destcombinedads_nexus,1045.3381729071275,1232.3625223199563,187.02434941282883,,,74.2543642,0.0,1.0453381729071276,1.2323625223199564,0.18702434941282883,0.0,0.18702434941282883
excl_floored,AFG,Afghanistan,low_income,Asia,ccctb,5.594720567366737,6242.033913369983,6236.439192802616,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.005594720567366737,6.2420339133699825,6.236439192802616,2.134939886560865e-05,6.236460542201482
excl_floored,AFG,Afghanistan,low_income,Asia,ccctb_destads,0.0,2381.902513595733,2381.902513595733,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.0,2.3819025135957332,2.3819025135957332,2.134939886560865e-05,2.381923862994599
excl_floored,AFG,Afghanistan,low_income,Asia,ccctb_destads_nexus,17.468177090269435,1690.2790391760786,1672.8108620858093,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.017468177090269436,1.6902790391760787,1.6728108620858093,2.134939886560865e-05,1.672832211484675
excl_floored,AFG,Afghanistan,low_income,Asia,ccctb_destcfb,0.0,5735.646254295296,5735.646254295296,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.0,5.735646254295296,5.735646254295296,2.134939886560865e-05,5.735667603694162
excl_floored,AFG,Afghanistan,low_income,Asia,ccctb_destcfb_nexus,17.468180393049064,2634.5117272211623,2617.0435468281134,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.017468180393049065,2.6345117272211622,2.6170435468281132,2.134939886560865e-05,2.617064896226979
excl_floored,AFG,Afghanistan,low_income,Asia,ccctb_destcombined,0.0,5093.130074698877,5093.130074698877,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.0,5.093130074698878,5.093130074698878,2.134939886560865e-05,5.093151424097743
excl_floored,AFG,Afghanistan,low_income,Asia,ccctb_destcombined_nexus,17.468175778505802,2161.736388338856,2144.2682125603505,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.017468175778505804,2.161736388338856,2.1442682125603505,2.134939886560865e-05,2.144289561959216
excl_floored,AFG,Afghanistan,low_income,Asia,ccctb_destcombinedads,0.0,4687.671103156172,4687.671103156172,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.0,4.6876711031561715,4.6876711031561715,2.134939886560865e-05,4.687692452555037
excl_floored,AFG,Afghanistan,low_income,Asia,ccctb_destcombinedads_nexus,17.46817616879174,2307.2875878318914,2289.8194116631,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.01746817616879174,2.3072875878318913,2.2898194116630997,2.134939886560865e-05,2.2898407610619653
excl_floored,AFG,Afghanistan,low_income,Asia,double_weighted_sales,0.0,12887.589883550834,12887.589883550834,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.0,12.887589883550834,12.887589883550834,2.134939886560865e-05,12.8876112329497
excl_floored,AFG,Afghanistan,low_income,Asia,double_weighted_sales_destads,0.0,4771.523728379469,4771.523728379469,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.0,4.771523728379469,4.771523728379469,2.134939886560865e-05,4.771545077778335
excl_floored,AFG,Afghanistan,low_income,Asia,double_weighted_sales_destads_nexus,6.979211228728611,2030.9859975384038,2024.0067863096751,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.0069792112287286115,2.0309859975384037,2.024006786309675,2.134939886560865e-05,2.024028135708541
excl_floored,AFG,Afghanistan,low_income,Asia,double_weighted_sales_destcfb,0.0,9390.86206005255,9390.86206005255,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.0,9.39086206005255,9.39086206005255,2.134939886560865e-05,9.390883409451416
excl_floored,AFG,Afghanistan,low_income,Asia,double_weighted_sales_destcfb_nexus,6.979211228728611,3493.8164969719437,3486.837285743215,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.0069792112287286115,3.493816496971944,3.486837285743215,2.134939886560865e-05,3.4868586351420805
excl_floored,AFG,Afghanistan,low_income,Asia,double_weighted_sales_destcombined,0.0,9610.050769113413,9610.050769113413,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.0,9.610050769113414,9.610050769113414,2.134939886560865e-05,9.61007211851228
excl_floored,AFG,Afghanistan,low_income,Asia,double_weighted_sales_destcombined_nexus,6.979211228728611,3027.413842126703,3020.4346308979743,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.0069792112287286115,3.027413842126703,3.020434630897974,2.134939886560865e-05,3.02045598029684
excl_floored,AFG,Afghanistan,low_income,Asia,double_weighted_sales_destcombinedads,0.0,7551.922973392741,7551.922973392741,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.0,7.551922973392742,7.551922973392742,2.134939886560865e-05,7.551944322791607
excl_floored,AFG,Afghanistan,low_income,Asia,double_weighted_sales_destcombinedads_nexus,6.979211228728611,2818.137654179299,2811.1584429505706,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.0069792112287286115,2.818137654179299,2.8111584429505707,2.134939886560865e-05,2.8111797923494364
excl_floored,AFG,Afghanistan,low_income,Asia,employees_payroll,5.976939921618366,2916.1039741242457,2910.1270342026273,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.005976939921618366,2.916103974124246,2.9101270342026275,2.134939886560865e-05,2.910148383601493
excl_floored,AFG,Afghanistan,low_income,Asia,sales_employees,0.0,13235.955526627498,13235.955526627498,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.0,13.235955526627498,13.235955526627498,2.134939886560865e-05,13.235976876026363
excl_floored,AFG,Afghanistan,low_income,Asia,sales_employees_destads,0.0,5660.220129401078,5660.220129401078,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.0,5.660220129401078,5.660220129401078,2.134939886560865e-05,5.660241478799944
excl_floored,AFG,Afghanistan,low_income,Asia,sales_employees_destads_nexus,6.2028842119067145,3955.048538274406,3948.8456540624993,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.006202884211906714,3.955048538274406,3.948845654062499,2.134939886560865e-05,3.948867003461365
excl_floored,AFG,Afghanistan,low_income,Asia,sales_employees_destcfb,0.0,7153.435041952749,7153.435041952749,1788928326.8841462,113963645.59285715,93.786813,21349.39886560865,0.0,7.153435041952749,7.153435041952749,2.134939886560865e-05,7.1534563913516145
