iso_partner,partner_jurisdiction,wb_income_group,excl_floored,excl_resource,ignorant,max_abs
GBR,United Kingdom,high_income,524.5415884287569,538.4356650349614,451.5819320475526,538.4356650349614
IND,India,lower_middle_income,481.5199612240447,487.05376391071127,385.0277570113955,487.05376391071127
DEU,Germany,high_income,88.21283467334804,88.69732652847742,357.9688135320125,357.9688135320125
FRA,France,high_income,356.27132867802806,363.9897802411198,310.2005653931005,363.9897802411198
ITA,Italy,high_income,201.78183568941176,207.06123244977132,172.3623298973557,207.06123244977132
MEX,Mexico,upper_middle_income,200.4497429743255,204.71507355471343,165.94763986092852,204.71507355471343
LUX,Luxembourg,investment_hub,188.15688119946367,189.99774888709322,161.8572917931052,189.99774888709322
KOR,Korea,high_income,162.05680331386324,167.08342515483787,145.4387160681711,167.08342515483787
RUS,Russia,high_income,166.58359727803074,171.69024045415668,141.73439048340072,171.69024045415668
ESP,Spain,high_income,158.82829024969303,162.9054717904514,133.07264487619668,162.9054717904514
IDN,Indonesia,upper_middle_income,195.2276601206858,156.62563666329922,116.42736928555884,195.2276601206858
VNM,Viet Nam,lower_middle_income,124.47967531286375,131.13814924390695,106.93050262797476,131.13814924390695
POL,Poland,high_income,142.38574523958,145.17222832876763,101.05517977878002,145.17222832876763
SWE,Sweden,high_income,106.14150436672465,108.81641779591801,98.94934951825248,108.81641779591801
NLD,Netherlands,investment_hub,21.97379851074676,19.717109084405905,87.3685421268258,87.3685421268258
PHL,Philippines,lower_middle_income,106.99729306517656,109.05137751438023,84.86546482505975,109.05137751438023
THA,Thailand,upper_middle_income,87.16344441691272,89.7894587631755,75.34766808131815,89.7894587631755
GGY,Bailiwick of Guernsey,investment_hub,76.3101303451747,79.32969745590017,66.71336538570945,79.32969745590017
ARG,Argentina,upper_middle_income,67.71668048018948,65.02028587707677,53.30222660385749,67.71668048018948
BEL,Belgium,high_income,54.9784975727656,56.44567139274343,52.47688393471092,56.44567139274343
