ISO3,employees + payroll,CCCTB,Three-factor,Double-weighted sales,Sales + employees,# formulas with a loss,loses under ALL formulas,worst loss (any formula),Country,Income group,Region
SUR,0.9,0.3,1.9,2.4,4.7,0,False,0.3,Suriname,upper_middle_income,Caribbean/American isl.
SVK,2900.7,2740.9,3372.3,3924.1,5116.9,0,False,2740.9,Slovak Republic,high_income,Europe
SVN,806.1,610.4,550.5,666.1,830.0,0,False,550.5,Slovenia,high_income,Europe
SWE,17867.2,20172.4,16997.2,22835.2,23931.8,0,False,16997.2,Sweden,high_income,Europe
SWZ,-267.4,-398.9,-355.2,-384.3,-306.4,5,True,-398.9,Eswatini,lower_middle_income,Africa
SXM,2.0,2.6,2.4,2.7,2.5,0,False,2.0,Sint Maarten,high_income,Caribbean/American isl.
SYC,1.3,8.7,8.9,12.8,11.7,0,False,1.3,Seychelles,investment_hub,Africa
SYR,45.0,82.8,84.3,101.9,101.8,0,False,45.0,Syrian Arab Republic,low_income,Asia
TCA,0.0,0.0,0.0,0.0,0.0,0,False,0.0,Turks and Caicos Islands,high_income,Caribbean/American isl.
TCD,141.5,226.9,235.5,230.9,191.7,0,False,141.5,Chad,low_income,Africa
TGO,27.7,16.8,44.5,39.3,65.6,0,False,16.8,Togo,low_income,Africa
THA,-2454.4,3799.0,9644.8,13027.0,19080.0,1,False,-2454.4,Thailand,upper_middle_income,Asia
TJK,-49.2,-70.6,-30.7,-35.7,9.9,4,False,-70.6,Tajikistan,lower_middle_income,Asia
TKM,10.0,37.6,41.3,49.8,37.2,0,False,10.0,Turkmenistan,upper_middle_income,Asia
TLS,-94.6,-96.5,-96.2,-97.6,-98.3,5,True,-98.3,Timor-Leste,lower_middle_income,Asia
TON,0.1,0.2,0.2,0.3,0.4,0,False,0.1,Tonga,upper_middle_income,Oceania
TTO,41.9,761.2,818.9,857.2,566.5,0,False,41.9,Trinidad and Tobago,high_income,Caribbean/American isl.
TUN,1381.1,908.9,1451.0,1481.6,2254.9,0,False,908.9,Tunisia,lower_middle_income,Africa
TUR,-3870.4,3438.1,7285.7,10624.0,14165.1,1,False,-3870.4,Türkiye,upper_middle_income,Asia
TWN,-166.6,6472.0,6658.5,11661.2,13424.5,1,False,-166.6,Chinese Taipei,high_income,Asia
TZA,184.4,1032.0,1311.2,1712.0,1971.7,0,False,184.4,Tanzania,lower_middle_income,Africa
UGA,411.8,1071.2,1216.2,1428.6,1448.3,0,False,411.8,Uganda,low_income,Africa
UKR,1795.9,2698.3,3732.6,4254.3,5331.6,0,False,1795.9,Ukraine,upper_middle_income,Europe
URY,-113.3,115.6,206.2,405.7,545.5,1,False,-113.3,Uruguay,high_income,Latin America
USA,489623.8,490059.4,379316.5,429584.0,324410.4,0,False,324410.4,United States,high_income,Northern America
UZB,36.6,505.7,516.5,742.8,741.2,0,False,36.6,Uzbekistan,lower_middle_income,Asia
VCT,1.3,5.1,5.7,3.7,0.3,0,False,0.3,Saint Vincent and the Grenadines,upper_middle_income,Caribbean/American isl.
VEN,17504.3,18765.2,19122.9,19706.2,19980.3,0,False,17504.3,Venezuela,upper_middle_income,Latin America
VGB,-2236.8,-1980.0,-1983.9,-2046.6,-2250.2,5,True,-2250.2,British Virgin Islands,investment_hub,Caribbean/American isl.
VIR,1080.3,771.2,631.9,604.9,592.3,0,False,592.3,United States Virgin Islands,high_income,Caribbean/American isl.
VNM,23702.6,12314.7,18122.4,18496.2,30371.9,0,False,12314.7,Viet Nam,lower_middle_income,Asia
VUT,-0.4,-0.4,-0.4,-0.4,-0.4,5,True,-0.4,Vanuatu,lower_middle_income,Oceania
WLF,0.0,0.0,0.0,0.0,0.0,0,False,0.0,Wallis and Futuna,high_income,Oceania
WSM,11.8,16.4,17.1,17.1,15.7,0,False,11.8,Samoa,upper_middle_income,Oceania
XKV,11.1,8.0,9.0,9.4,12.9,0,False,8.0,Kosovo,lower_middle_income,Europe
YEM,-13.9,15.5,16.8,32.0,33.7,1,False,-13.9,Yemen,low_income,Asia
ZAF,9453.5,7686.2,14436.5,11954.0,17037.4,0,False,7686.2,South Africa,upper_middle_income,Africa
ZMB,2170.3,2202.2,2504.4,2444.8,2672.4,0,False,2170.3,Zambia,lower_middle_income,Africa
ZWE,-301.7,-63.9,116.9,164.1,269.1,2,False,-301.7,Zimbabwe,lower_middle_income,Africa
