iso_partner,partner_jurisdiction,net_bn,reported_bn,etr,etr_pct,role
IRL,Ireland,340.75651091455114,393.30712737580865,0.11072926892105953,11.072926892105952,winner_haven
NLD,Netherlands,123.17482096122244,179.30649468577977,0.07781289544638086,7.781289544638086,winner_haven
CYP,Cyprus,6.145760511215735,6.58581341634976,0.027944864062540813,2.794486406254081,winner_haven
LTU,Lithuania,0.8554043571476149,2.92845055252,0.08993030731855108,8.993030731855107,winner_haven
HRV,Croatia,-0.16366617977187892,0.79429919511,0.15187483919900657,15.187483919900657,loser_victim
LVA,Latvia,-0.2625599891791904,0.15263445400999998,0.05290399066988495,5.2903990669884955,loser_victim
SVN,Slovenia,-0.5748720309828436,0.4033955303499999,0.24856614818454428,24.856614818454428,loser_victim
EST,Estonia,-0.6720304718840449,0.27183719836,0.07875545615669886,7.875545615669886,loser_victim
BEL,Belgium,-0.8165615663132371,44.293105038300006,0.17383767193561023,17.383767193561024,loser_victim
GRC,Greece,-0.9559953902545344,2.18011987459,0.1549830506178514,15.498305061785139,loser_victim
HUN,Hungary,-1.7099873312105096,14.844159359927593,0.1436894235857327,14.36894235857327,loser_victim
FIN,Finland,-2.421938113440209,4.26878832694,0.12121107254972618,12.121107254972618,loser_victim
BGR,Bulgaria,-3.231016850716722,0.8192654924599999,0.08557454118348207,8.557454118348208,loser_victim
AUT,Austria,-3.397971876045358,5.46876064915,0.10367293820249553,10.367293820249552,loser_victim
PRT,Portugal,-3.66428381704804,3.6581950109,0.10026252284178562,10.026252284178563,loser_victim
SVK,Slovak Republic,-4.412089974881918,3.7864558990500004,0.1063003845659948,10.63003845659948,loser_victim
DNK,Denmark,-8.926017350911188,2.0054419938400003,0.111615583555342,11.1615583555342,loser_victim
ROU,Romania,-9.600640581252305,4.01642722834,0.14280536869128732,14.280536869128731,loser_victim
CZE,Czechia,-9.90951866316113,8.019278524819999,0.16121997587245832,16.121997587245833,loser_victim
SWE,Sweden,-10.507491275022803,4.587552918059999,0.10160741239526835,10.160741239526835,loser_victim
ITA,Italy,-15.650206393776163,29.162054737850003,0.17240738270392145,17.240738270392146,loser_victim
MLT,Malta,-15.850220667203656,-18.45615856495995,0.031626360527869574,3.1626360527869575,loser_victim
ESP,Spain,-20.391995377073044,24.20694672171,0.13396742262672895,13.396742262672895,loser_victim
POL,Poland,-26.777932037492217,16.29134483166,0.18281761681702371,18.28176168170237,loser_victim
FRA,France,-44.789763426756075,38.71153741848,0.1784400198020652,17.84400198020652,loser_victim
LUX,Luxembourg,-63.80114829571638,-79.00112986671607,0.029678447842830972,2.967844784283097,loser_victim
DEU,Germany,-72.19476106561609,88.86395759544999,0.15528647277209534,15.528647277209535,loser_victim
