iso3,year,fuel,production,unit,source
DMA,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
DNK,2016,crude_oil_lease_condensate,142.36401202185792,thousand_barrels_per_day,EIA_INTL_v2:productId=53
DOM,2016,crude_oil_lease_condensate,-0.0872,thousand_barrels_per_day,EIA_INTL_v2:productId=53
DZA,2016,crude_oil_lease_condensate,1698.432255737705,thousand_barrels_per_day,EIA_INTL_v2:productId=53
ECU,2016,crude_oil_lease_condensate,552.4072295081967,thousand_barrels_per_day,EIA_INTL_v2:productId=53
EGY,2016,crude_oil_lease_condensate,685.4975136612022,thousand_barrels_per_day,EIA_INTL_v2:productId=53
ERI,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
ESH,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
ESP,2016,crude_oil_lease_condensate,60.42126666666667,thousand_barrels_per_day,EIA_INTL_v2:productId=53
EST,2016,crude_oil_lease_condensate,14.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
ETH,2016,crude_oil_lease_condensate,0.354,thousand_barrels_per_day,EIA_INTL_v2:productId=53
FIN,2016,crude_oil_lease_condensate,9.3942,thousand_barrels_per_day,EIA_INTL_v2:productId=53
FJI,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
FLK,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
FRA,2016,crude_oil_lease_condensate,106.20428895088526,thousand_barrels_per_day,EIA_INTL_v2:productId=53
FRO,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
GAB,2016,crude_oil_lease_condensate,210.52467213114755,thousand_barrels_per_day,EIA_INTL_v2:productId=53
GBR,2016,crude_oil_lease_condensate,1066.117868852459,thousand_barrels_per_day,EIA_INTL_v2:productId=53
GEO,2016,crude_oil_lease_condensate,0.39549,thousand_barrels_per_day,EIA_INTL_v2:productId=53
GHA,2016,crude_oil_lease_condensate,98.92695573770492,thousand_barrels_per_day,EIA_INTL_v2:productId=53
GIB,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
GIN,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
GLP,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
GMB,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
GNB,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
GNQ,2016,crude_oil_lease_condensate,244.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
GRC,2016,crude_oil_lease_condensate,13.295831147540984,thousand_barrels_per_day,EIA_INTL_v2:productId=53
GRD,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
GRL,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
GTM,2016,crude_oil_lease_condensate,12.828026338797814,thousand_barrels_per_day,EIA_INTL_v2:productId=53
GUF,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
GUM,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
GUY,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
HKG,2016,crude_oil_lease_condensate,0.071,thousand_barrels_per_day,EIA_INTL_v2:productId=53
HND,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
HRV,2016,crude_oil_lease_condensate,17.554367213114755,thousand_barrels_per_day,EIA_INTL_v2:productId=53
HTI,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
HUN,2016,crude_oil_lease_condensate,36.66363333333334,thousand_barrels_per_day,EIA_INTL_v2:productId=53
IDN,2016,crude_oil_lease_condensate,940.999118579235,thousand_barrels_per_day,EIA_INTL_v2:productId=53
IND,2016,crude_oil_lease_condensate,1000.5508557377049,thousand_barrels_per_day,EIA_INTL_v2:productId=53
IRL,2016,crude_oil_lease_condensate,0.308,thousand_barrels_per_day,EIA_INTL_v2:productId=53
IRN,2016,crude_oil_lease_condensate,4438.250366666667,thousand_barrels_per_day,EIA_INTL_v2:productId=53
IRQ,2016,crude_oil_lease_condensate,4530.191393442623,thousand_barrels_per_day,EIA_INTL_v2:productId=53
ISL,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
ISR,2016,crude_oil_lease_condensate,4.7322,thousand_barrels_per_day,EIA_INTL_v2:productId=53
ITA,2016,crude_oil_lease_condensate,142.89876338797814,thousand_barrels_per_day,EIA_INTL_v2:productId=53
JAM,2016,crude_oil_lease_condensate,0.9349999999999999,thousand_barrels_per_day,EIA_INTL_v2:productId=53
JOR,2016,crude_oil_lease_condensate,0.3085,thousand_barrels_per_day,EIA_INTL_v2:productId=53
JPN,2016,crude_oil_lease_condensate,95.86183278688523,thousand_barrels_per_day,EIA_INTL_v2:productId=53
KAZ,2016,crude_oil_lease_condensate,1697.5164535519125,thousand_barrels_per_day,EIA_INTL_v2:productId=53
KEN,2016,crude_oil_lease_condensate,0.8334,thousand_barrels_per_day,EIA_INTL_v2:productId=53
KGZ,2016,crude_oil_lease_condensate,0.9789,thousand_barrels_per_day,EIA_INTL_v2:productId=53
KHM,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
KIR,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
KNA,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
KOR,2016,crude_oil_lease_condensate,79.84897540983607,thousand_barrels_per_day,EIA_INTL_v2:productId=53
KWT,2016,crude_oil_lease_condensate,3163.092475409836,thousand_barrels_per_day,EIA_INTL_v2:productId=53
LAO,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
LBN,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
LBR,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
LBY,2016,crude_oil_lease_condensate,478.7167923497268,thousand_barrels_per_day,EIA_INTL_v2:productId=53
LCA,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
LKA,2016,crude_oil_lease_condensate,-0.241,thousand_barrels_per_day,EIA_INTL_v2:productId=53
LSO,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
LTU,2016,crude_oil_lease_condensate,8.2037,thousand_barrels_per_day,EIA_INTL_v2:productId=53
LUX,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
LVA,2016,crude_oil_lease_condensate,0.922,thousand_barrels_per_day,EIA_INTL_v2:productId=53
MAC,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
MAR,2016,crude_oil_lease_condensate,0.16,thousand_barrels_per_day,EIA_INTL_v2:productId=53
MDA,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
MDG,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
MDV,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
MEX,2016,crude_oil_lease_condensate,2478.1006797814207,thousand_barrels_per_day,EIA_INTL_v2:productId=53
MKD,2016,crude_oil_lease_condensate,0.236,thousand_barrels_per_day,EIA_INTL_v2:productId=53
MLI,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
MLT,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
MMR,2016,crude_oil_lease_condensate,11.5264,thousand_barrels_per_day,EIA_INTL_v2:productId=53
MNE,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
MNG,2016,crude_oil_lease_condensate,23.42622950819672,thousand_barrels_per_day,EIA_INTL_v2:productId=53
MOZ,2016,crude_oil_lease_condensate,0.282,thousand_barrels_per_day,EIA_INTL_v2:productId=53
MRT,2016,crude_oil_lease_condensate,4.836065573770492,thousand_barrels_per_day,EIA_INTL_v2:productId=53
MSR,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
MTQ,2016,crude_oil_lease_condensate,-0.24,thousand_barrels_per_day,EIA_INTL_v2:productId=53
MUS,2016,crude_oil_lease_condensate,0.517,thousand_barrels_per_day,EIA_INTL_v2:productId=53
MWI,2016,crude_oil_lease_condensate,0.517,thousand_barrels_per_day,EIA_INTL_v2:productId=53
MYS,2016,crude_oil_lease_condensate,746.4968355191257,thousand_barrels_per_day,EIA_INTL_v2:productId=53
NAM,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
NCL,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
NER,2016,crude_oil_lease_condensate,13.3738,thousand_barrels_per_day,EIA_INTL_v2:productId=53
NGA,2016,crude_oil_lease_condensate,1937.5029267759562,thousand_barrels_per_day,EIA_INTL_v2:productId=53
NIC,2016,crude_oil_lease_condensate,-0.018,thousand_barrels_per_day,EIA_INTL_v2:productId=53
NIU,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
NLD,2016,crude_oil_lease_condensate,62.12827415998907,thousand_barrels_per_day,EIA_INTL_v2:productId=53
NOR,2016,crude_oil_lease_condensate,1999.399924590164,thousand_barrels_per_day,EIA_INTL_v2:productId=53
NPL,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
NRU,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
NZL,2016,crude_oil_lease_condensate,45.64677267759563,thousand_barrels_per_day,EIA_INTL_v2:productId=53
OMN,2016,crude_oil_lease_condensate,1012.4714852459016,thousand_barrels_per_day,EIA_INTL_v2:productId=53
PAK,2016,crude_oil_lease_condensate,88.60573224043716,thousand_barrels_per_day,EIA_INTL_v2:productId=53
