,iso_partner,year,median_positive_misalignment,median_negative_misalignment,avg_positive_misalignment,avg_negative_misalignment,sd_positive_misalignment,sd_negative_misalignment,percentile_2_5_positive_misalignment,percentile_2_5_negative_misalignment,percentile_97_5_positive_misalignment,percentile_97_5_negative_misalignment,gdp_current_usd,gvt_health_expenditure,population,cit,etr_average_corrected,total_avg_positive_misalignment,total_avg_negative_misalignment,loss_incurred_cit_usd,loss_incurred_etr_usd,loss_incurred_cit_2_5,loss_incurred_etr_2_5,loss_incurred_cit_97_5,loss_incurred_etr_97_5,total_loss_cit,total_loss_etr,loss_incurred_cit_share,loss_incurred_etr_share,loss_inflicted_share,loss_inflicted_cit_usd,loss_inflicted_etr_usd
0,ABW,2016.0,1.5795925751933328,0.0,1.575470015801798,0.0,0.06789520338564209,0.0,1.52681494968403,0.0,1.6237459773296092,0.0,2983798882.68156,,104874.0,0.25,,68375.7456111851,-75391.85499323245,0.0,,0.0,,0.0,,-20962.658784230058,-27445.76731526237,-0.0,,2.304135774636552e-05,-0.48300812036243645,-0.6323877433344661
1,ABW,2017.0,0.0,-232.09541772455918,0.0,-232.08402585839838,0.0,0.24830165990460246,0.0,-232.4488214541711,0.0,-231.6319026641979,3092178770.94972,,105439.0,0.25,0.1530010839899009,224416.0790481178,-243845.94878631513,-58.021006464599594,-35.50910753307514,-58.11220536354278,-35.56492165466311,-57.907975666049474,-35.43993219426549,-63091.111088672056,-53110.5310736576,0.0009196383684391509,0.0006685888243864195,0.0,-0.0,-0.0
2,ABW,2017.0,0.0,-232.09541772455918,0.0,-232.08402585839838,0.0,0.24830165990460246,0.0,-232.4488214541711,0.0,-231.6319026641979,3092178770.94972,,105439.0,0.25,0.1530010839899009,224416.0790481178,-243845.94878631513,-58.021006464599594,-35.50910753307514,-58.11220536354278,-35.56492165466311,-57.907975666049474,-35.43993219426549,-63091.111088672056,-53110.5310736576,0.0009196383684391509,0.0006685888243864195,0.0,-0.0,-0.0
3,ABW,2017.0,0.0,-232.09541772455918,0.0,-232.08402585839838,0.0,0.24830165990460246,0.0,-232.4488214541711,0.0,-231.6319026641979,3092178770.94972,,105439.0,0.25,0.1530010839899009,224416.0790481178,-243845.94878631513,-58.021006464599594,-35.50910753307514,-58.11220536354278,-35.56492165466311,-57.907975666049474,-35.43993219426549,-63091.111088672056,-53110.5310736576,0.0009196383684391509,0.0006685888243864195,0.0,-0.0,-0.0
4,ABW,2017.0,0.0,-232.09541772455918,0.0,-232.08402585839838,0.0,0.24830165990460246,0.0,-232.4488214541711,0.0,-231.6319026641979,3092178770.94972,,105439.0,0.25,0.1530010839899009,224416.0790481178,-243845.94878631513,-58.021006464599594,-35.50910753307514,-58.11220536354278,-35.56492165466311,-57.907975666049474,-35.43993219426549,-63091.111088672056,-53110.5310736576,0.0009196383684391509,0.0006685888243864195,0.0,-0.0,-0.0
5,ABW,2018.0,3.2066503667200106,-0.00035233984285205585,3.198037884975968,-0.0003523456995943402,0.1424131644947899,1.1151352352866638e-06,3.0960763671690783,-0.00035451468109499,3.2994014906699247,-0.00035030319549853,3276187709.49721,,105962.0,0.25,0.0071498717686041,306065.47549015895,-318761.34030936257,-8.808642489858505e-05,-2.519226570318634e-06,-8.86286702737475e-05,-2.5347345099167545e-06,-8.75757988746325e-05,-2.5046229279467427e-06,-82903.48710712876,-66623.52951160242,1.062517729619248e-09,3.781286564651176e-11,1.0448868432005804e-05,-0.8662476293368779,-0.6961404943425896
6,ABW,2018.0,3.2066503667200106,-0.00035233984285205585,3.198037884975968,-0.0003523456995943402,0.1424131644947899,1.1151352352866638e-06,3.0960763671690783,-0.00035451468109499,3.2994014906699247,-0.00035030319549853,3276187709.49721,,105962.0,0.25,0.0071498717686041,306065.47549015895,-318761.34030936257,-8.808642489858505e-05,-2.519226570318634e-06,-8.86286702737475e-05,-2.5347345099167545e-06,-8.75757988746325e-05,-2.5046229279467427e-06,-82903.48710712876,-66623.52951160242,1.062517729619248e-09,3.781286564651176e-11,1.0448868432005804e-05,-0.8662476293368779,-0.6961404943425896
7,ABW,2018.0,3.2066503667200106,-0.00035233984285205585,3.198037884975968,-0.0003523456995943402,0.1424131644947899,1.1151352352866638e-06,3.0960763671690783,-0.00035451468109499,3.2994014906699247,-0.00035030319549853,3276187709.49721,,105962.0,0.25,0.0071498717686041,306065.47549015895,-318761.34030936257,-8.808642489858505e-05,-2.519226570318634e-06,-8.86286702737475e-05,-2.5347345099167545e-06,-8.75757988746325e-05,-2.5046229279467427e-06,-82903.48710712876,-66623.52951160242,1.062517729619248e-09,3.781286564651176e-11,1.0448868432005804e-05,-0.8662476293368779,-0.6961404943425896
8,ABW,2018.0,3.2066503667200106,-0.00035233984285205585,3.198037884975968,-0.0003523456995943402,0.1424131644947899,1.1151352352866638e-06,3.0960763671690783,-0.00035451468109499,3.2994014906699247,-0.00035030319549853,3276187709.49721,,105962.0,0.25,0.0071498717686041,306065.47549015895,-318761.34030936257,-8.808642489858505e-05,-2.519226570318634e-06,-8.86286702737475e-05,-2.5347345099167545e-06,-8.75757988746325e-05,-2.5046229279467427e-06,-82903.48710712876,-66623.52951160242,1.062517729619248e-09,3.781286564651176e-11,1.0448868432005804e-05,-0.8662476293368779,-0.6961404943425896
9,ABW,2019.0,2.748611075161044,-0.003532758678797969,2.7413175141943498,-0.0035232116345869074,0.12171244515764372,0.00014734988091407626,2.65420669546231,-0.003629852079914257,2.8280215658903742,-0.0034184428693721774,3395793854.7486,,106442.0,0.25,0.0,406062.18533922115,-427350.42198332323,-0.0008808029086467268,-0.0,-0.0009074630199785642,-0.0,-0.0008546107173430443,-0.0,-112830.66041646506,,7.80641454544029e-09,,6.750979562167983e-06,-0.7617174824574717,
