,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,revenue_loss_incurred,revenue_loss_inflicted,revenue_loss_inflicted_pct,etr_average_corrected,cit
133,Mongolia,536.2725323,15.22976522,521.0427671,134.0681331,3.727199318,0.002577079,0.119588825,0.25
134,Montenegro,25.02147765,2.37534001,22.64613764,2.251932989,0.581319905,0.000401939,0.133514516,0.09
135,Morocco,1428.040302,192.8066284,1235.233674,442.6924938,47.18580513,0.032625448,0.122045988,0.31
136,Mozambique,1466.995647,0,1466.995647,469.4386072,0,0,0.457160784,0.32
137,Myanmar,257.4900471,63.83544189,193.6546053,64.37251179,15.62252681,0.010801806,0.075575083,0.25
138,Namibia,476.6339342,0,476.6339342,152.5228589,0,0,0.17093311,0.32
139,Nepal,59.13664785,0,59.13664785,14.78416196,0,0,0.268860698,0.25
140,Netherlands,7883.748947,137279.6711,-129395.9222,1970.937237,33596.62405,23.22954761,0.059605933,0.25
141,New Caledonia,30.60978993,3.807164564,26.80262536,0,0.931732102,0.000644223,0,0
142,New Zealand,1471.835244,0,1471.835244,412.1138684,0,0,0.246419105,0.28
143,Nicaragua,159.1066516,0,159.1066516,47.73199549,0,0,0.266508729,0.3
144,Niger,955.7118732,16.69913011,939.0127431,286.713562,4.086798809,0.002825715,0,0.3
145,Nigeria,444.3914992,0,444.3914992,133.3174498,0,0,0.616828831,0.3
146,North Macedonia,100.1546409,1.481257698,98.67338319,10.01546409,0.362510032,0.000250649,0.139855032,0.1
147,Northern Mariana Islands,259.160292,0.572084488,258.5882076,54.42366133,0.140006946,9.68E-05,0.032654649,0.21
148,Norway,2393.603506,0,2393.603506,550.5288064,0,0,0.344269828,0.23
149,Oman,1673.893482,358.5963741,1315.297108,251.0840223,87.75973505,0.06067928,0.066444059,0.15
150,Other Africa,3755.697598,0,3755.697598,0,0,0,0.451330737,0
151,Other Americas,1649.182085,16204.10138,-14554.91929,0,3965.649812,2.741949637,0.129968966,0
152,Other Asia,9064.980392,0,9064.980392,0,0,0,0.278153562,0
153,Other Europe,6831.479868,4141.196518,2690.28335,0,1013.480156,0.700745572,0.119797373,0
154,Other Groups,0,4204.832225,-4204.832225,0,1029.053801,0.711513581,0.139635478,0
155,Pakistan,160.4762259,0,160.4762259,48.14286777,0,0,0.421586477,0.3
156,Palau,0.284621415,0,0.284621415,0,0,0,0,0
