,iso_partner,year,median_positive_misalignment,median_negative_misalignment,avg_positive_misalignment,avg_negative_misalignment,sd_positive_misalignment,sd_negative_misalignment,percentile_2_5_positive_misalignment,percentile_2_5_negative_misalignment,percentile_97_5_positive_misalignment,percentile_97_5_negative_misalignment,gdp_current_usd,gvt_health_expenditure,population,cit,etr_average_corrected,total_avg_positive_misalignment,total_avg_negative_misalignment,loss_incurred_cit_usd,loss_incurred_etr_usd,loss_incurred_cit_2_5,loss_incurred_etr_2_5,loss_incurred_cit_97_5,loss_incurred_etr_97_5,total_loss_cit,total_loss_etr,loss_incurred_cit_share,loss_incurred_etr_share,loss_inflicted_share,loss_inflicted_cit_usd,loss_inflicted_etr_usd
11,AGO,2017,0.0,-1.575578215,0.0,-1.574326914,0.0,0.032944975,0.0,-1.62353907,0.0,-1.499856106,68972769396.0,1577680175.0,30208628.0,0.3,0.571038516,13717.825927845,-13717.825928288,-0.4722980742,-0.8990013046694196,-0.487061721,-0.9271033412008202,-0.44995683179999996,-0.8564756049837786,-3170.5516168670883,-2558.073587998152,0.00014896400729999502,0.00035143684250809324,0.0,-0.0,-0.0
12,AGO,2018,0.0,-0.745941825,0.0,-0.745163015,0.0,0.015355748,0.0,-0.767521547,0.0,-0.707825244,77792944472.0,1118847265.0,31273533.0,0.3,0.222814073,14741.042886421,-14741.042886965999,-0.2235489045,-0.1660328064211101,-0.23025646409999997,-0.17101460200233093,-0.2123475732,-0.1577134255878588,-3294.3214043522803,-2730.9357225303233,6.785886289196288e-05,6.0797039289988825e-05,0.0,-0.0,-0.0
13,AGO,2019,0.0,-0.075091437,0.0,-0.075236738,0.0,0.002875356,0.0,-0.08242695,0.0,-0.070478473,69309110146.0,925006719.5,32353588.0,0.3,0.249921491,18425.940061202,-18425.940062381127,-0.0225710214,-0.018803277738936357,-0.024728085,-0.02060026624258245,-0.0211435419,-0.017614085055563243,-3769.743188689654,,5.987416189972767e-06,,0.0,-0.0,
14,AGO,2020,0.0,-8.566943997,0.0,-8.556241593,0.0,0.237538486,0.0,-8.891479404,0.0,-7.971039852,50241368244.0,713456143.4,33428486.0,0.3,0.210703989,12989.636554982,-12989.6365547586,-2.5668724778999996,-1.8028342344928143,-2.6674438212,-1.8734701785341425,-2.3913119556,-1.6795298932943696,-2960.401754181092,-3278.7694916737114,0.0008670689626077624,0.0005498508629749763,0.0,-0.0,-0.0
15,AIA,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5396.176697908,-5396.176698087,,,,,,,-1445.0701935246384,-1710.2863597030894,,,0.0,-0.0,-0.0
16,AIA,2017,0.0,-0.001961637,0.0,-0.001952951,0.0,9.94e-05,0.0,-0.001964517,0.0,-0.001957869,322000000.0,,15015.0,0.0,,13717.825927845,-13717.825928288,-0.0,,-0.0,,-0.0,,-3170.5516168670883,-2558.073587998152,0.0,,0.0,-0.0,-0.0
17,AIA,2018,0.709869721,0.0,0.706714184,0.0,0.035986631,0.0,0.709865211,0.0,0.709873702,0.0,322000000.0,,15181.0,0.0,0.0,14741.042886421,-14741.042886965999,0.0,0.0,0.0,0.0,0.0,0.0,-3294.3214043522803,-2730.9357225303233,-0.0,-0.0,4.7941939348877654e-05,-0.15793615696316649,-0.13092635477523212
18,AIA,2019,0.158864568,-0.032654354,0.158129226,-0.032510398,0.008395566,0.001651676,0.15883425,-0.03268448,0.158891629,-0.032608145,325000000.0,,15125.66667,0.0,,18425.940061202,-18425.940062381127,-0.0,,-0.0,,-0.0,,-3769.743188689654,,0.0,,8.581881058701577e-06,-0.03235148766718502,
19,AIA,2020,0.0,-0.003422556,0.0,-0.003407286,0.0,0.000173287,0.0,-0.003425131,0.0,-0.003416116,325000000.0,,15125.66667,0.0,,12989.636554982,-12989.6365547586,-0.0,,-0.0,,-0.0,,-2960.401754181092,-3278.7694916737114,0.0,,0.0,-0.0,-0.0
20,ALB,2016,0.0,-0.073085096,0.0,-0.07308579,0.0,6.94e-05,0.0,-0.073210207,0.0,-0.072990111,11861199831.0,332553310.8,2876101.0,0.15,0.169208524,5396.176697908,-5396.176698087,-0.010962868499999999,-0.012366738651273959,-0.01098153105,-0.012387791068204469,-0.010948516649999998,-0.012350548948906163,-1445.0701935246384,-1710.2863597030894,7.586391684725509e-06,7.230800024284155e-06,0.0,-0.0,-0.0
21,ALB,2017,0.840432871,-1.892991898,0.840444127,-1.892960185,0.00035384,0.001670131,0.839878488,-1.895832103,0.841010723,-1.889659279,13019726212.0,348287158.1,2873457.0,0.15,0.09822157,13717.825927845,-13717.825928288,-0.28394402775,-0.18592952131819043,-0.28437481545,-0.18621160561306171,-0.28344889185,-0.185605301148448,-3170.5516168670883,-2558.073587998152,8.955666460039313e-05,7.268341387461475e-05,6.126656887328133e-05,-0.19424881900108096,-0.1567243916620107
22,ALB,2018,0.0,-1.934816526,0.0,-1.934852765,0.0,0.001125459,0.0,-1.937020875,0.0,-1.93286282,15156424062.0,427904035.2,2866376.0,0.15,0.253039463,14741.042886421,-14741.042886965999,-0.29022791475,-0.48959410463966524,-0.29055313125,-0.49014272202979015,-0.28992942299999996,-0.4890905700254657,-3294.3214043522803,-2730.9357225303233,8.809945330973671e-05,0.00017927705167151877,0.0,-0.0,-0.0
23,ALB,2019,5.645907486,-0.64505133,5.646005557,-0.645058568,0.002202021,0.000352647,5.642003717,-0.645661203,5.649551563,-0.644581448,15401826081.0,441617054.4,2854191.0,0.15,0.086130371,18425.940061202,-18425.940062381127,-0.0967587852,-0.055559133778568734,-0.09684918044999999,-0.05561103895469631,-0.0966872172,-0.055518039255957205,-3769.743188689654,,2.566720870809052e-05,,0.00030641614692366947,-1.1551101827700312,
24,ALB,2020,2.299350643,0.0,2.299357811,0.0,0.000414487,0.0,2.298640798,0.0,2.299987286,0.0,15162734205.0,444068102.4,2837849.0,0.15,0.112216421,12989.636554982,-12989.6365547586,0.0,0.0,0.0,0.0,0.0,0.0,-2960.401754181092,-3278.7694916737114,-0.0,-0.0,0.0001770147918509785,-0.5240349003116377,-0.5803906990959606
25,AND,2016,0.0,-7.62e-05,0.0,-7.62e-05,0.0,4.29e-07,0.0,-7.7e-05,0.0,-7.54e-05,2896610480.0,146786331.2,72540.0,0.0,,5396.176697908,-5396.176698087,-0.0,,-0.0,,-0.0,,-1445.0701935246384,-1710.2863597030894,0.0,,0.0,-0.0,-0.0
26,AND,2017,0.0,-2.44719245,0.0,-2.447181378,0.0,0.002137068,0.0,-2.450901577,0.0,-2.443011059,3000162081.0,155331161.5,73837.0,0.0,0.10616447,13717.825927845,-13717.825928288,-0.0,-0.2598037139892396,-0.0,-0.2601986669443692,-0.0,-0.2593609742828737,-3170.5516168670883,-2558.073587998152,0.0,0.0001015622518477085,0.0,-0.0,-0.0
27,AND,2018,0.0,-0.616778981,0.0,-0.616788965,0.0,0.000359859,0.0,-0.6174746,0.0,-0.616163138,3218419897.0,169703162.5,75013.0,0.0,0.037801541,14741.042886421,-14741.042886965999,-0.0,-0.023315573348795065,-0.0,-0.0233414914083586,-0.0,-0.023291916123795657,-3294.3214043522803,-2730.9357225303233,0.0,8.537576756728729e-06,0.0,-0.0,-0.0
28,AND,2019,0.14014,0.0,0.140141056,0.0,1.76e-05,0.0,0.140112416,0.0,0.140170377,0.0,3155149348.0,167473386.1,76343.0,0.0,0.031894821,18425.940061202,-18425.940062381127,0.0,0.0,0.0,0.0,0.0,0.0,-3769.743188689654,,-0.0,,7.605639415656388e-06,-0.028671307382800226,
29,AND,2020,118.8220077,0.0,118.8210857,0.0,0.017999209,0.0,118.7866036,0.0,118.8498001,0.0,2891001149.0,189718773.0,77700.0,0.0,0.011219557,12989.636554982,-12989.6365547586,0.0,0.0,0.0,0.0,0.0,0.0,-2960.401754181092,-3278.7694916737114,-0.0,-0.0,0.00914737569423586,-27.07990705136933,-29.992136355138175
30,ARE,2016,0.0,-1.907663119,0.0,-1.907517125,0.0,0.002101137,0.0,-1.910172137,0.0,-1.904153956,369255000000.0,8926010113.0,8994263.0,0.0,0.367128142,5396.176697908,-5396.176698087,-0.0,-0.7003032179344317,-0.0,-0.7012779475569795,-0.0,-0.6990685039482297,-1445.0701935246384,-1710.2863597030894,0.0,0.00040946547574407735,0.0,-0.0,-0.0
31,ARE,2017,0.0,-67.75792438,0.0,-67.720308,0.0,0.569449253,0.0,-68.31133726,0.0,-67.20894284,390517000000.0,8580208994.0,9068296.0,0.0,0.407029442,13717.825927845,-13717.825928288,-0.0,-27.564159177308138,-0.0,-27.804725487211613,-0.0,-27.3560185015751,-3170.5516168670883,-2558.073587998152,0.0,0.010775358186188367,0.0,-0.0,-0.0
32,ARE,2018,0.0,-47.47739257,0.0,-47.47323133,0.0,0.051787308,0.0,-47.54262818,0.0,-47.3866264,427049000000.0,9027675093.0,9140169.0,0.0,0.677739015,14741.042886421,-14741.042886965999,-0.0,-32.17446104046134,-0.0,-32.22149399322444,-0.0,-32.11576550050899,-3294.3214043522803,-2730.9357225303233,0.0,0.01178147869794987,0.0,-0.0,-0.0
33,ARE,2019,0.0,-135.543475,0.0,-135.4857448,0.0,0.77027773,0.0,-136.1829733,0.0,-134.8545806,417990000000.0,9350966166.0,9211657.0,0.0,0.727727199,18425.940061202,-18425.940062381127,-0.0,-98.59666156773281,-0.0,-99.10405371110079,-0.0,-98.13734621235774,-3769.743188689654,,0.0,,0.0,-0.0,
34,ARE,2020,0.0,-30.3364324,0.0,-30.32141788,0.0,0.259681555,0.0,-30.58425909,0.0,-30.12397078,349473000000.0,12414333487.0,9287289.0,0.0,0.431452628,12989.636554982,-12989.6365547586,-0.0,-13.082255429012188,-0.0,-13.195658959813388,-0.0,-12.99706635882621,-2960.401754181092,-3278.7694916737114,0.0,0.003989989373218822,0.0,-0.0,-0.0
35,ARG,2016,0.0,-2.121791462,0.0,-2.123901522,0.0,0.030423677,0.0,-2.17201472,0.0,-2.089856139,557532000000.0,31172673126.0,43590368.0,0.35,0.313420618,5396.176697908,-5396.176698087,-0.7433655327,-0.6656745275963806,-0.7602051519999999,-0.6807541958474969,-0.73144964865,-0.655004002616474,-1445.0701935246384,-1710.2863597030894,0.0005144148263738482,0.00038921817029046737,0.0,-0.0,-0.0
