,iso_partner,year,median_positive_misalignment,median_negative_misalignment,avg_positive_misalignment,avg_negative_misalignment,sd_positive_misalignment,sd_negative_misalignment,percentile_2_5_positive_misalignment,percentile_2_5_negative_misalignment,percentile_97_5_positive_misalignment,percentile_97_5_negative_misalignment,gdp_current_usd,gvt_health_expenditure,population,cit,etr_average_corrected,total_avg_positive_misalignment,total_avg_negative_misalignment,loss_incurred_cit_usd,loss_incurred_etr_usd,loss_incurred_cit_2_5,loss_incurred_etr_2_5,loss_incurred_cit_97_5,loss_incurred_etr_97_5,total_loss_cit,total_loss_etr,loss_incurred_cit_share,loss_incurred_etr_share,loss_inflicted_share,loss_inflicted_cit_usd,loss_inflicted_etr_usd
13,AGO,2019,0.0,-0.075136917,0.0,-0.07528231,0.0,0.002877099,0.0,-0.082476835,0.0,-0.070521185,69309110146.0,925006719.5,32353588.0,0.3,0.249921491,18425.940061202,-18425.94006139713,-0.022584693,-0.01881466716112421,-0.0247430505,-0.020612733576160985,-0.021156355499999998,-0.017624759702286833,-3769.2363553900686,,5.99184844635798e-06,,0.0,-0.0,
14,AGO,2020,0.0,-8.569212222,0.0,-8.558505939,0.0,0.23759904,0.0,-8.893845191,0.0,-7.973133658,50241368244.0,713456143.4,33428486.0,0.3,0.210703989,12989.413495982,-12989.4134959106,-2.5675517816999998,-1.8033113412274906,-2.6681535573,-1.8739686592921672,-2.3919400974,-1.679971066570762,-2960.2700333581133,-3279.3517025665105,0.0008673370174907266,0.000549898731452369,0.0,-0.0,-0.0
15,AIA,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5396.176697908,-5396.176698087,,,,,,,-1445.0701935246384,-1710.2863597030894,,,0.0,-0.0,-0.0
16,AIA,2017,0.0,-0.001961637,0.0,-0.001952951,0.0,9.94e-05,0.0,-0.001964517,0.0,-0.001957869,322000000.0,,15015.0,0.0,,13717.825927845,-13717.825928288,-0.0,,-0.0,,-0.0,,-3170.5516168670883,-2558.073587998152,0.0,,0.0,-0.0,-0.0
17,AIA,2018,0.709869721,0.0,0.706714184,0.0,0.035986631,0.0,0.709865211,0.0,0.709873702,0.0,322000000.0,,15181.0,0.0,0.0,14806.899591421,-14806.899592532,0.0,0.0,0.0,0.0,0.0,0.0,-3309.650483114281,-2748.1832938096395,-0.0,-0.0,4.772870779845529e-05,-0.1579653408235779,-0.1311672374068367
18,AIA,2019,0.158864568,-0.032674131,0.158129226,-0.03253009,0.008395566,0.001652673,0.15883425,-0.032704234,0.158891629,-0.032627985,325000000.0,,15125.66667,0.0,,18425.940061202,-18425.94006139713,-0.0,,-0.0,,-0.0,,-3769.2363553900686,,0.0,,8.581881058701577e-06,-0.0323471380840914,
19,AIA,2020,0.0,-0.003423464,0.0,-0.003408188,0.0,0.000173333,0.0,-0.003426038,0.0,-0.003417044,325000000.0,,15125.66667,0.0,,12989.413495982,-12989.4134959106,-0.0,,-0.0,,-0.0,,-2960.2700333581133,-3279.3517025665105,0.0,,0.0,-0.0,-0.0
20,ALB,2016,0.0,-0.073085096,0.0,-0.07308579,0.0,6.94e-05,0.0,-0.073210207,0.0,-0.072990111,11861199831.0,332553310.8,2876101.0,0.15,0.169208524,5396.176697908,-5396.176698087,-0.010962868499999999,-0.012366738651273959,-0.01098153105,-0.012387791068204469,-0.010948516649999998,-0.012350548948906163,-1445.0701935246384,-1710.2863597030894,7.586391684725509e-06,7.230800024284155e-06,0.0,-0.0,-0.0
21,ALB,2017,0.840432871,-1.892991898,0.840444127,-1.892960185,0.00035384,0.001670131,0.839878488,-1.895832103,0.841010723,-1.889659279,13019726212.0,348287158.1,2873457.0,0.15,0.09822157,13717.825927845,-13717.825928288,-0.28394402775,-0.18592952131819043,-0.28437481545,-0.18621160561306171,-0.28344889185,-0.185605301148448,-3170.5516168670883,-2558.073587998152,8.955666460039313e-05,7.268341387461475e-05,6.126656887328133e-05,-0.19424881900108096,-0.1567243916620107
22,ALB,2018,0.0,-1.943833122,0.0,-1.943871465,0.0,0.001128995,0.0,-1.946037563,0.0,-1.941877976,15156424062.0,427904035.2,2866376.0,0.15,0.253039463,14806.899591421,-14806.899592532,-0.29158071975,-0.4918761916446233,-0.29190563445,-0.4924242999193487,-0.2912816964,-0.49137176025856694,-3309.650483114281,-2748.1832938096395,8.810015475580713e-05,0.00017898230905943877,0.0,-0.0,-0.0
