,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,tax_revenue,tax_revenue_befit_pct_total,additional_revenue_through_minimum_tax,tax_revenue_incl_mintax,tax_revenue_befit_mintax_pct_total,tax_revenue_befit_pct_total_eu,tax_revenue_befit_mintax_pct_total_eu,etr_average_corrected_4yrs
0,Austria,1381.7350787844177,1294.0096329076978,87.72544587671996,9.094706796094936,9.038795820255215e-05,629.5546366111246,638.6493434072195,0.006347231576807455,0.0021792477411824965,0.00403182296827065,0.10367239180380654
1,Belgium,28502.442821150966,5610.791577718489,22891.651243432476,4319.876966660393,0.03972526329950281,0.0,4319.876966660393,0.03972526329950281,0.0021792477411824965,0.00403182296827065,0.1887097143287009
2,Bulgaria,113.81642662765195,422.52351996437716,-308.7070933367252,-29.16298358714846,-0.002657808472096798,20.135657129189127,-9.027326457959333,-0.0008227177671533267,0.0021792477411824965,0.00403182296827065,0.09446813570732777
12,Croatia,22.213919247799826,650.1745832914552,-627.9606640436554,-112.71182525970201,-0.001358150671046179,0.0,-112.71182525970201,-0.001358150671046179,0.0021792477411824965,0.00403182296827065,0.17948867136662938
3,Cyprus,35.187519527341394,1914.0373435977694,-1878.849824070428,-84.66895582529683,-0.01710727297876955,8.42537433581984,-76.243581489477,-0.015404935004877527,0.0021792477411824965,0.00403182296827065,0.045064248744407925
4,Czechia,105.29755840051382,2448.888091737521,-2343.590533337007,-371.46094116511944,-0.0126910079289511,0.0,-371.46094116511944,-0.0126910079289511,0.0021792477411824965,0.00403182296827065,0.1585007858161132
6,Denmark,392.66053392637514,1746.6388438677657,-1353.9783099413905,-241.17427029130212,-0.0023133748820343566,0.0,-241.17427029130212,-0.0023133748820343566,0.0021792477411824965,0.00403182296827065,0.17812269851039328
8,Estonia,13.673057968907601,36.76317852836278,-23.09012055945518,-2.432375574516014,-0.000464035830215012,3.0303108773675156,0.5979353028515018,0.00011407095498760302,0.0021792477411824965,0.00403182296827065,0.10534269703152241
9,Finland,233.61186347681283,1581.9283741222002,-1348.3165106453873,-214.2543969491589,-0.004275440439757266,0.0,-214.2543969491589,-0.004275440439757266,0.0021792477411824965,0.00403182296827065,0.15890512002007862
10,France,27499.699224651387,8476.634318108678,19023.06490654271,4625.904160744938,0.008110143996427947,0.0,4625.904160744938,0.008110143996427947,0.0021792477411824965,0.00403182296827065,0.2431734414759803
5,Germany,13207.056756800841,11989.901177263639,1217.1555795372024,252.95717647331773,0.0006453667163590525,0.0,252.95717647331773,0.0006453667163590525,0.0021792477411824965,0.00403182296827065,0.2078264937745258
11,Greece,1081.6801562310736,119.5801879229788,962.0999683080948,234.87640628348873,0.004559648887750784,0.0,234.87640628348873,0.004559648887750784,0.0021792477411824965,0.00403182296827065,0.24412889930402104
13,Hungary,34.91002332325043,4808.720507855528,-4773.810484532278,-880.047510028626,-0.029664174343946734,0.0,-880.047510028626,-0.029664174343946734,0.0021792477411824965,0.00403182296827065,0.18434906724514644
14,Ireland,3337.730414623663,11692.196840066186,-8354.466425442522,-1008.0845122480545,-0.01769789316629369,928.5785706176953,-79.50594163035919,-0.0013958032724080219,0.0021792477411824965,0.00403182296827065,0.12066414070179926
15,Italy,19241.771628437386,4631.761882642779,14610.009745794607,3947.117756504318,0.008387635084259474,0.0,3947.117756504318,0.008387635084259474,0.0021792477411824965,0.00403182296827065,0.27016530619635415
18,Latvia,41.49694879853898,54.21131722590969,-12.714368427370708,-0.9356138726972164,-0.00014174378389279028,-1.5733121796588327,-2.508926052356049,-0.0003800976904531583,0.0021792477411824965,0.00403182296827065,0.07358712924214816
16,Lithuania,93.60818545917377,86.47660899219456,7.131576466979212,0.985004574622036,0.0001351432299407548,1.2656887332648985,2.2506933078869347,0.0003087964980777841,0.0021792477411824965,0.00403182296827065,0.1381187706789413
17,Luxembourg,39633.455531953136,6446.356416440496,33187.09911551264,942.7897508748076,0.06375627081991958,137.27271884351393,1080.0624697183216,0.0730393550183348,0.0021792477411824965,0.00403182296827065,0.028408320582443424
19,Malta,24.33682086853068,167.99097138415874,-143.65415051562806,-6.991525137034358,-0.0023750473992536695,18.453726466262232,11.462201329227874,0.003893752925595873,0.0021792477411824965,0.00403182296827065,0.04866914817246268
20,Netherlands,5484.0488296024405,71554.74243724249,-66070.69360764005,-4536.987072240068,-0.026416335035362667,3378.7236819131736,-1158.2633903268948,-0.006743919101132341,0.0021792477411824965,0.00403182296827065,0.06866867629970569
21,Poland,3039.1317479317586,2792.059159758898,247.07258817286038,43.54712619833489,0.000567679327886505,0.0,43.54712619833489,0.000567679327886505,0.0021792477411824965,0.00403182296827065,0.17625235773977418
22,Portugal,2116.2014262810367,912.0717518072953,1204.1296744737415,182.03882844785065,0.003948860813751559,0.0,182.03882844785065,0.003948860813751559,0.0021792477411824965,0.00403182296827065,0.15117875782557202
23,Romania,593.8232263914948,753.0804693798614,-159.25724298836656,-24.006046132142796,-0.0007571297221698542,0.0,-24.006046132142796,-0.0007571297221698542,0.0021792477411824965,0.00403182296827065,0.15073754688756225
24,Slovak Republic,167.51683459055104,675.4717802369329,-507.9549456463818,-113.54106045344031,-0.0069768215343514305,0.0,-113.54106045344031,-0.0069768215343514305,0.0021792477411824965,0.00403182296827065,0.22352584894897964
25,Slovenia,46.38009074905546,168.2725732316358,-121.89248248258033,-34.5426139352992,-0.004146976032623901,0.0,-34.5426139352992,-0.004146976032623901,0.0021792477411824965,0.00403182296827065,0.2833859252988443
7,Spain,5593.75876032128,8639.71895298855,-3045.9601926672713,-466.79525115416726,-0.0027443649256970446,0.0,-466.79525115416726,-0.0027443649256970446,0.0021792477411824965,0.00403182296827065,0.1532506078962924
26,Sweden,106.89391910395926,2469.1368069454784,-2362.242887841519,-404.0104817436911,-0.0027861889479194406,0.0,-404.0104817436911,-0.0027861889479194406,0.0021792477411824965,0.00403182296827065,0.17102834082944474
