,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,tax_revenue,tax_revenue_befit_pct_total,additional_revenue_through_minimum_tax,tax_revenue_incl_mintax,tax_revenue_befit_mintax_pct_total,tax_revenue_befit_pct_total_eu,tax_revenue_befit_mintax_pct_total_eu,etr_average_corrected
0,Austria,1679.3497884259725,4246.867839262852,-2567.5180508368794,-294.55882609495137,-0.002776837780203856,877.3420923971848,582.7832663022334,0.005493960622374925,0.002769413498415534,0.00782249460180521,0.1147251237431185
1,Belgium,9067.758368821951,1880.7847198058014,7186.9736490161495,1591.715855253889,0.013501752576486895,0.0,1591.715855253889,0.013501752576486895,0.002769413498415534,0.00782249460180521,0.2214723377303303
2,Bulgaria,187.28823448277956,491.96771595491145,-304.6794814721319,-33.02223449881066,-0.0027129062000544333,27.894197382882084,-5.128037115928578,-0.00042128838030064104,0.002769413498415534,0.00782249460180521,0.1083835194259089
12,Croatia,72.90708659662165,342.59758780395515,-269.6905012073335,-50.07291581486664,-0.0005608763957468411,0.0,-50.07291581486664,-0.0005608763957468411,0.002769413498415534,0.00782249460180521,0.1856680735535859
3,Cyprus,1207.924900819542,1326.992925496326,-119.06802467678403,-3.5577446275240505,-0.0006509042537284574,133.09360903145242,129.53586440392837,0.023699127952752325,0.002769413498415534,0.00782249460180521,0.029879933232971
4,Czech Republic,292.7050479197828,4372.403520922487,-4079.698473002704,-703.1979262705993,-0.021434760376523202,0.0,-703.1979262705993,-0.021434760376523202,0.002769413498415534,0.00782249460180521,0.1723651713292031
6,Denmark,1294.1874884002182,5485.325516632004,-4191.138028231786,-729.0140262183611,-0.006571954725234095,0.0,-729.0140262183611,-0.006571954725234095,0.002769413498415534,0.00782249460180521,0.1739417841425584
8,Estonia,102.93469499911158,4.2853834079182,98.64931159119338,11.1651056992369,0.001980171675436997,8.188938470800696,19.354044170037596,0.003432509382628088,0.002769413498415534,0.00782249460180521,0.1131797629313982
9,Finland,304.58001322843995,3065.0970257476633,-2760.5170125192235,-404.52218076854484,-0.007631663063906638,43.92628560645312,-360.5958951620917,-0.006802955449504671,0.002769413498415534,0.00782249460180521,0.1465385574274659
10,France,15357.675459854776,2858.2199045248412,12499.455555329934,3154.2571385469046,0.005143786821951679,0.0,3154.2571385469046,0.005143786821951679,0.002769413498415534,0.00782249460180521,0.2523515624008029
5,Germany,33699.85447241947,7114.113660150423,26585.74081226905,4896.187714996086,0.011617134976506507,0.0,4896.187714996086,0.011617134976506507,0.002769413498415534,0.00782249460180521,0.1841659312625415
11,Greece,79.48429775932274,532.4615239841881,-452.9772262248654,-109.79957683042664,-0.0020765540788869755,0.0,-109.79957683042664,-0.0020765540788869755,0.002769413498415534,0.00782249460180521,0.242395357809711
13,Hungary,12657.705372932849,2253.43316851163,10404.272204421219,2585.4373766446247,0.07895447113020042,0.0,2585.4373766446247,0.07895447113020042,0.002769413498415534,0.00782249460180521,0.2484976676740505
14,Ireland,749.7885316448976,9243.336749002105,-8493.548217357207,-811.1134345068469,-0.013213207587859724,2145.733531783758,1334.6200972769109,0.021741240677354976,0.002769413498415534,0.00782249460180521,0.0954975957926836
