country_name,iso3,cthi_2019_value,cthi_2021_value,cthi_2024_value,cthi_2019_gsw,cthi_2021_gsw,cthi_2024_gsw,cthi_2019_score,cthi_2021_score,cthi_2024_score,cthi_2019_rank,cthi_2021_rank,cthi_2024_rank,cthi_2019_share,cthi_2021_share,cthi_2024_share,fsi_2011_gsw,fsi_2013_gsw,fsi_2015_gsw,fsi_2018_gsw,fsi_2020_gsw,fsi_2022_gsw,fsi_2025_gsw,fsi_2011_rank,fsi_2013_rank,fsi_2015_rank,fsi_2018_rank,fsi_2020_rank,fsi_2022_rank,fsi_2025_rank,fsi_2011_score,fsi_2013_score,fsi_2015_score,fsi_2018_score,fsi_2020_score,fsi_2022_score,fsi_2025_score,fsi_2025_share,fsi_2011_value,fsi_2013_value,fsi_2015_value,fsi_2018_value,fsi_2020_value,fsi_2022_value,fsi_2025_value
Austria,AUT,257.739616864217,302.9693459897581,269.67890360283883,0.0066164599312996,0.0054036636221371,0.0062795603475887,51.587731129238094,55.68305887571752,52.677301632653055,33.0,33.0,36.0,0.0067852613486402,0.0068456020510397,0.0062888786174411,0.0039949,0.37133,0.6923991,0.0056119,0.00542934,0.0045547550544142,0.0034757503308355,17.0,18.0,24.0,35.0,36.0,44.0,35.0,65.87,63.73,53.71,55.9,56.5,54.625,59.66799999999999,0.0090285950930929,453.4871247,400.8232,295.3141,310.4127,317.0012908,270.185906860013,321.791054862584
Azerbaijan,AZE,,,,0.0005651970555366,0.0006172865396954,,,,,,,,,,,,,,5.91e-06,2.39e-05,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,BHS,1377.818943998838,1453.723268435158,1313.3804904650526,0.0026156308744807,0.0030721698701355,0.0022655397286155,100.0,100.0,100.0,9.0,12.0,11.0,0.0362725053287592,0.0328469236897001,0.0306278703031746,0.0004347,0.00877,0.0169533,0.0003595,0.000860266,0.0007205307483673,0.0006097003351897,19.0,35.0,25.0,19.0,22.0,22.0,32.0,82.87,79.93,79.02,84.5,75.375,75.475,75.38843103448275,0.010193714564275,431.110463,226.8748,273.0835,429.0041,407.2798157,385.443037120639,363.3174518054951
Bahrain,BHR,,,,0.0005785789701882,0.0005847004467707,,,,,,,,,,,0.002757,0.18169,0.1638862,0.0011315,0.000183192,0.0002184811455663,0.0003540811012499,10.0,13.0,9.0,17.0,81.0,60.0,55.0,77.8,72.3,73.67,77.8,62.4,68.2,69.02056896551724,0.0065265358820925,660.3148226,461.1659,471.3962,490.7067,137.9927224,191.054723230585,232.614359647574
Bangladesh,BGD,,,,0.0001728842084678,0.0001944483760596,,,,,,,,,,,,,,0.0001533,0.000210456,0.000174945758772,0.0002635665296111,,,,,54.0,52.0,50.0,,,,,72.725,74.625,74.10549999999998,0.0073208406557009,,,,,228.7907315,232.42749691377,260.92443096502444
Barbados,BRB,,,,0.0015926704261653,0.0019996818810826,,,,,,,,,,,0.0001604,0.02132,0.0240279,0.0001885,0.000107811,8.60954023664e-05,0.0004864204092882,31.0,26.0,22.0,48.0,63.0,63.0,37.0,78.87,81.0,78.29,73.85,74.0,73.725,73.15779310344828,0.00863969862293,266.5653179,317.4745,298.3258,230.953,192.8631042,176.944742731616,307.93027097807897
Belarus,BLR,,,,0.0002658804502768,0.0001686530623541,,,,,,,,,,,,,,6.65e-05,7.08e-05,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,822.4337525022886,972.7488512377377,698.4705614526407,0.0182758231896885,0.0160620556442454,0.0181954892480021,67.84092466828572,72.78172411353997,64.27667428571428,16.0,16.0,21.0,0.0216514171184279,0.0219792913683246,0.0162882469490483,0.0115379,1.03113,1.862597,0.0156261,0.017243871,0.015195638872683,0.0137582365423441,15.0,40.0,38.0,53.0,50.0,26.0,30.0,59.13,45.07,40.89,44.0,45.05,52.525,53.3785,0.0102250685772168,467.1602626,199.2665,181.2279,212.9652,236.2087478,358.925657432149,364.4349502418184
Belize,BLZ,,,,3.25929170371e-05,3.05660166357e-05,,,,,,,,,,,1.97e-05,0.00156,0.0006701,8.38e-06,7.22e-06,5.8676168919e-06,1.6821484678e-05,41.0,52.0,60.0,90.0,110.0,115.0,108.0,90.23,80.4,78.86,75.175,73.925,75.1,67.53475862068964,0.002214367539645,198.3999755,129.8344,92.46147,86.29995,78.07163009,76.3965466696601,78.9229840400063
Benin,BEN,,,,3.33201030009e-05,3.82970291038e-05,,,,,,,,,,,,,,2.67e-05,1.13e-05,,,,,,,,,,,,,,,,,,,,,,,,
