"year","cou","own","isic","GO","flag_go","GVA","flag_gva","EXGR","flag_exgr","IMGR","flag_imgr"
2008,"ARG","D_MNE","C23",973.880790924,"e",476.219545179,"e",46.9406507484256,"e",55.426510536,"e"
2008,"ARG","D_MNE","C24",6372.706286229,"e",2676.915387165,"e",1161.47168667508,"e",624.114431517,"e"
2008,"ARG","D_MNE","C25",1269.265180688,"e",573.94491139,"e",144.062026916731,"e",109.682376401,"e"
2008,"ARG","D_MNE","C26",1038.028895877,"e",395.894416629,"e",81.1212354914544,"e",223.376721046,"e"
2008,"ARG","D_MNE","C27",2395.71728955,"e",566.314222158,"e",188.000557713541,"e",388.281081395,"e"
2008,"ARG","D_MNE","C28",2900.4544756,"e",715.762668978,"e",313.765966031096,"e",443.523920337,"e"
2008,"ARG","D_MNE","C29",2762.756515438,"e",636.321745527999,"e",795.446498989326,"e",512.370064599,"e"
2008,"ARG","D_MNE","C30",228.994031063,"e",131.334747895,"e",28.6521120708291,"e",29.595156413,"e"
2008,"ARG","D_MNE","C31T33",666.193136058,"e",334.337424913,"e",65.7273141330953,"e",53.931290422,"e"
2008,"ARG","D_MNE","D35_E36T39",3518.543870986,"e",1529.821317137,"e",60.2657568453394,"e",172.181234504,"e"
2008,"ARG","D_MNE","F41T43",4355.798957242,"e",1746.305928451,"e",0,"e",292.410751416,"e"
2008,"ARG","D_MNE","G45T47",12061.654201034,"e",9015.355151722,"e",2887.21452624496,"e",268.694316787,"e"
2008,"ARG","D_MNE","H49",5186.066773758,"e",1591.455163731,"e",294.727523788758,"e",518.998147526,"e"
2008,"ARG","D_MNE","H50",85.620984127,"e",28.354167318,"e",35.5697262372076,"e",5.704910211,"e"
2008,"ARG","D_MNE","H51",2669.78795457,"e",718.210021125,"e",810.917227833809,"e",332.279939997,"e"
2008,"ARG","D_MNE","H52",1447.757280173,"e",641.809137696,"e",203.083869982224,"e",72.581724384,"e"
2008,"ARG","D_MNE","H53",506.166732463,"e",264.571834872,"e",29.3174471965356,"e",20.731828695,"e"
2008,"ARG","D_MNE","I55T56",1009.638376228,"e",348.127061424,"e",141.365930963606,"e",31.972627115,"e"
2008,"ARG","D_MNE","J58T60",2536.96689867,"e",555.401836581,"e",195.003189172083,"e",346.996838291,"e"
2008,"ARG","D_MNE","J61",8400.748814929,"e",2886.658358356,"e",399.028513960157,"e",479.093547588,"e"
2008,"ARG","D_MNE","J62T63",2228.367971347,"e",920.973388628,"e",321.506791199787,"e",150.73013599,"e"
2008,"ARG","D_MNE","K64T66",4393.357975355,"e",2373.19717937,"e",74.9750843418756,"e",189.903276473,"e"
2008,"ARG","D_MNE","L68",1093.457851587,"e",793.369583171,"e",15.4653246620728,"e",30.068317336,"e"
2008,"ARG","D_MNE","M69T75",2615.17439233,"e",1691.240013395,"e",457.943116842311,"e",108.27477773,"e"
2008,"ARG","D_MNE","N77T82",1766.31972984,"e",1322.811867033,"e",146.5576804008,"e",60.689756606,"e"
2008,"ARG","D_MNE","O84",0,"",0,"",0,"",0,""
2008,"ARG","D_MNE","P85",143.934141998,"e",97.071563184,"e",0.639376223896991,"e",3.527369861,"e"
2008,"ARG","D_MNE","Q86T88",186.131530064,"e",110.290246212,"e",0.807006200542593,"e",5.836727853,"e"
2008,"ARG","D_MNE","R90T93",384.056060107,"e",152.806039337,"e",11.4120612018191,"e",24.400383257,"e"
2008,"ARG","D_MNE","S94T96",191.294138545,"e",114.014427024,"e",1.89344829163204,"e",8.485225322,"e"
2008,"ARG","D_MNE","T97T98",0,"",0,"",0,"",0,""
2008,"ARG","D_OTH","A01T03",47419.071899071,"e",28081.440958509,"e",9369.19439782863,"e",1813.238073202,"e"
2008,"ARG","D_OTH","B05T09",12387.646354623,"e",7548.241607616,"e",1992.51827105105,"e",371.477966426,"e"
