Country or Area,SNA93 Table Code,Sub Group,Item,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Value Footnotes
Andorra,3.2,Individual consumption expenditure of general government,Housing,14.1,2022,1100,Euro,2008,Western calendar year,4429032.486,3
Andorra,3.2,Individual consumption expenditure of general government,Health,14.2,2022,1100,Euro,2008,Western calendar year,210473606.1,3
Andorra,3.2,Individual consumption expenditure of general government,Recreation and culture,14.3,2022,1100,Euro,2008,Western calendar year,47596893.28,3
Andorra,3.2,Individual consumption expenditure of general government,Education,14.4,2022,1100,Euro,2008,Western calendar year,78050313.87,3
Andorra,3.2,Individual consumption expenditure of general government,Social protection,14.5,2022,1100,Euro,2008,Western calendar year,251863958.9,3
Andorra,3.2,Individual consumption expenditure of general government,Equals: Individual consumption expenditure of general government,P.31/14,2022,1100,Euro,2008,Western calendar year,592413804.6,3
Andorra,3.2,,Equals: Total actual individual consumption,P.41,2022,1100,Euro,2008,Western calendar year,2253423194,
Andorra,3.2,Individual consumption expenditure of households,Food and non-alcoholic beverages,1,2021,1100,Euro,2008,Western calendar year,250409408,"2,3"
Andorra,3.2,Individual consumption expenditure of households,"Alcoholic beverages, tobacco and narcotics",2,2021,1100,Euro,2008,Western calendar year,16117088.02,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Clothing and footwear,3,2021,1100,Euro,2008,Western calendar year,61743050.17,"2,3"
Andorra,3.2,Individual consumption expenditure of households,"Housing, water, electricity, gas and other fuels",4,2021,1100,Euro,2008,Western calendar year,503823674.4,"2,3"
Andorra,3.2,Individual consumption expenditure of households,"Furnishings, household equipment and routine maintenance of the house",5,2021,1100,Euro,2008,Western calendar year,48813729.25,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Health,6,2021,1100,Euro,2008,Western calendar year,27471783.06,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Transport,7,2021,1100,Euro,2008,Western calendar year,183782320.5,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Communication,8,2021,1100,Euro,2008,Western calendar year,50439594.1,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Recreation and culture,9,2021,1100,Euro,2008,Western calendar year,64997107.07,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Education,10,2021,1100,Euro,2008,Western calendar year,16972568.96,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Restaurants and hotels,11,2021,1100,Euro,2008,Western calendar year,67989841.65,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Miscellaneous goods and services,12,2021,1100,Euro,2008,Western calendar year,139139089.7,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Equals: Household final consumption expenditure in domestic market,P.31,2021,1100,Euro,2008,Western calendar year,1259810766,3
Andorra,3.2,Individual consumption expenditure of households,Plus: Direct purchases abroad by residents,,2021,1100,Euro,2008,Western calendar year,171888488.6,3
Andorra,3.2,Individual consumption expenditure of households,Equals: Household final consumption expenditure,P.31,2021,1100,Euro,2008,Western calendar year,1431699255,"3,4"
Andorra,3.2,Individual consumption expenditure of general government,Housing,14.1,2021,1100,Euro,2008,Western calendar year,3936218.451,3
Andorra,3.2,Individual consumption expenditure of general government,Health,14.2,2021,1100,Euro,2008,Western calendar year,203194409.4,3
Andorra,3.2,Individual consumption expenditure of general government,Recreation and culture,14.3,2021,1100,Euro,2008,Western calendar year,41042502.23,3
Andorra,3.2,Individual consumption expenditure of general government,Education,14.4,2021,1100,Euro,2008,Western calendar year,77963115.77,3
Andorra,3.2,Individual consumption expenditure of general government,Social protection,14.5,2021,1100,Euro,2008,Western calendar year,242131914.7,3
Andorra,3.2,Individual consumption expenditure of general government,Equals: Individual consumption expenditure of general government,P.31/14,2021,1100,Euro,2008,Western calendar year,568268160.6,3
Andorra,3.2,,Equals: Total actual individual consumption,P.41,2021,1100,Euro,2008,Western calendar year,1999968000,
