year,cou,own,isic,GO,flag_go,GVA,flag_gva,EXP,flag_exgr,IMP,flag_imgr
2000,ARG,F,D35_E36T39,1627.525461,e,677.4750426,e,2.589762148,e,37.2511045,e
2000,ARG,F,F41T43,535.1696259,e,211.4756269,e,0,e,51.32479718,e
2000,ARG,F,G45T47,4223.24726,e,3501.266504,e,597.8882697,e,43.98983231,e
2000,ARG,F,H49,386.2596303,e,119.3764274,e,16.18254592,e,26.86608494,e
2000,ARG,F,H50,12.71860427,e,6.778524504,e,7.346243956,e,1.863269785,e
2000,ARG,F,H51,203.0400877,e,52.10152296,e,37.48572188,e,39.42995993,e
2000,ARG,F,H52,454.5017444,e,203.609244,e,35.35524953,e,43.02787802,e
2000,ARG,F,H53,30.35940293,e,23.66350399,e,1.967638904,e,0.731310776,e
2000,ARG,F,I55T56,394.2706918,e,199.4493189,e,46.34594094,e,11.6365505,e
2000,ARG,F,J58T60,513.6964862,e,224.4704486,e,23.62736752,e,38.30893394,e
2000,ARG,F,J61,945.2014876,e,645.7842042,e,30.85644194,e,26.11177299,e
2000,ARG,F,J62T63,848.1597899,e,630.5663456,e,24.57443413,e,31.06806826,e
2000,ARG,F,K64T66,5281.997757,e,3687.845767,e,52.12953947,e,97.32873487,e
2000,ARG,F,L68,78.58991549,e,61.58972081,e,0.617067401,e,2.480480787,e
2000,ARG,F,M69T75,916.2486005,e,712.4095296,e,58.42811208,e,18.17229697,e
2000,ARG,F,N77T82,1069.093529,e,959.7510461,e,54.15952327,e,10.48704512,e
2000,ARG,F,O84,0,,0,,0,,0,
2000,ARG,F,P85,19.13995348,"e,a",17.32260715,e,0.06354441,e,0.104439318,e
2000,ARG,F,Q86T88,27.54004243,e,20.32651229,e,0.048372702,e,0.431289723,e
2000,ARG,F,R90T93,424.4381057,"e,a",190.649128,e,5.694300378,e,14.05719897,e
2000,ARG,F,S94T96,125.6707467,e,101.697553,e,0.401984085,e,1.916265975,e
2000,ARG,F,T97T98,0,,0,,0,,0,
2000,AUS,D,A01T03,31196.744,"e,a",14202.32123,"e,a",6239.323368,e,1548.920279,e
2000,AUS,D,B05T09,19559.07174,,11811.20398,,6340.421959,e,650.691849,e
2000,AUS,D,C10T12,24824.7758,a,7372.861826,e,5259.91106,e,1127.726581,e
2000,AUS,D,C13T15,5134.873905,a,1429.835269,e,691.5846664,e,718.0718907,e
2000,AUS,D,C16,4647.630662,a,1721.903344,e,468.0296589,e,260.2163476,e
2000,AUS,D,C17T18,6410.908641,a,2680.662292,e,318.3309909,e,573.8004044,e
2000,AUS,D,C19,7508.621857,a,1350.32584,e,697.367235,e,1613.13467,e
2000,AUS,D,C20,1739.221049,a,388.5056611,e,225.8543983,e,231.5618716,e
2000,AUS,D,C21,0,a,0,e,0,e,0,e
2000,AUS,D,C22,3461.97729,a,1323.644209,e,265.3706968,e,409.1038886,e
2000,AUS,D,C23,3346.866676,a,1325.870012,e,177.6935701,e,237.9206838,e
2000,AUS,D,C24,13426.48121,a,4065.724679,e,8102.191615,e,1353.786938,e
2000,AUS,D,C25,6320.035524,a,2816.978682,e,484.5763905,e,415.7281613,e
2000,AUS,D,C26,0,a,0,e,0,e,0,e
2000,AUS,D,C27,1223.788823,a,489.7002943,e,149.1382074,e,159.1023164,e
2000,AUS,D,C28,1212.225091,a,587.2383793,e,156.9562695,e,125.056737,e
2000,AUS,D,C29,0,a,0,e,0,e,0,e
2000,AUS,D,C30,3675.385712,a,1449.905028,e,613.9733789,e,589.0990403,e
2000,AUS,D,C31T33,2193.133862,a,983.0480181,e,207.2002117,e,245.2249294,e
2000,AUS,D,D35_E36T39,17397.35872,,8417.692685,e,59.61686694,e,538.0766895,e
2000,AUS,D,F41T43,55492.21525,,20246.45842,,208.3654297,e,3041.203261,e
2000,AUS,D,G45T47,59129.49667,,31019.01796,,9006.515962,e,2386.320983,e
2000,AUS,D,H49,10299.86329,a,5075.42734,,997.5874622,e,600.0172718,e
2000,AUS,D,H50,5641.705198,a,2272.514243,,310.5499753,e,173.4078283,e
2000,AUS,D,H51,6629.463666,a,2351.158352,,3589.659693,e,341.9478295,e
2000,AUS,D,H52,10262.1178,a,5682.054421,,432.3583557,e,139.9749483,e
2000,AUS,D,H53,2933.9739,a,1535.6597,,404.7651817,e,165.5576005,e
2000,AUS,D,I55T56,20883.98987,,9957.026423,,2118.293535,e,767.8229319,e
2000,AUS,D,J58T60,9270.304969,"e,a",4887.678411,"e,a",515.4427085,e,358.5391626,e
2000,AUS,D,J61,18623.51011,"e,a",7657.213862,"e,a",754.6168949,e,1108.770055,e
2000,AUS,D,J62T63,7960.296807,"e,a",4841.702459,"e,a",177.6211334,e,179.185627,e
