"year","cou","own","isic","GO","flag_go","GVA","flag_gva","EXGR","flag_exgr","IMGR","flag_imgr"
2008,"AGO","F","A01T03",55.39,"e",23.454,"e",0.2389,"e",4.2133,"e"
2008,"AGO","F","B05T09",11419.6869,"e",7537.772,"e",9999.5559,"e",2307.8984,"e"
2008,"AGO","F","C10T12",495.8023,"e",195.6164,"e",273.3638,"e",33.7188,"e"
2008,"AGO","F","C13T15",63.9452,"e",28.0067,"e",4.3546,"e",13.4774,"e"
2008,"AGO","F","C16",7.7874,"e",3.0528,"e",0.312,"e",0.8531,"e"
2008,"AGO","F","C17T18",51.4128,"e",19.3792,"e",5.0956,"e",13.1273,"e"
2008,"AGO","F","C19",579.8338,"e",97.9631,"e",347.4993,"e",179.8691,"e"
2008,"AGO","F","C20",409.2418,"e",148.9373,"e",4.6647,"e",110.0938,"e"
2008,"AGO","F","C21",217.7924,"e",119.5406,"e",6.1055,"e",45.7629,"e"
2008,"AGO","F","C22",79.3937,"e",32.6538,"e",0.2081,"e",23.6963,"e"
2008,"AGO","F","C23",86.8107,"e",40.6578,"e",0.165,"e",20.4421,"e"
2008,"AGO","F","C24",65.2379,"e",19.6409,"e",15.3199,"e",31.9706,"e"
2008,"AGO","F","C25",49.4171,"e",19.4954,"e",2.7642,"e",23.8002,"e"
2008,"AGO","F","C26",338.9636,"e",145.1434,"e",14.4932,"e",117.9814,"e"
2008,"AGO","F","C27",116.7338,"e",48.611,"e",1.9448,"e",47.43,"e"
2008,"AGO","F","C28",402.1016,"e",169.148,"e",14.3527,"e",166.762,"e"
2008,"AGO","F","C29",723.0199,"e",241.3191,"e",4.244,"e",339.8269,"e"
2008,"AGO","F","C30",34.7953,"e",13.7512,"e",4.2271,"e",18.932,"e"
2008,"AGO","F","C31T33",53.4156,"e",24.3516,"e",12.333,"e",18.1477,"e"
2008,"AGO","F","D35_E36T39",786.0241,"e",388.4887,"e",0.3939,"e",92.4936,"e"
2008,"AGO","F","F41T43",251.1496,"e",104.7528,"e",0.137,"e",110.3038,"e"
2008,"AGO","F","G45T47",1740.1718,"e",1212.3668,"e",527.6402,"e",273.2325,"e"
2008,"AGO","F","H49",51.6916,"e",30.1664,"e",23.3251,"e",13.3558,"e"
2008,"AGO","F","H50",43.1967,"e",16.1633,"e",25.2473,"e",24.5677,"e"
2008,"AGO","F","H51",55.5639,"e",18.2738,"e",14.9461,"e",30.4817,"e"
2008,"AGO","F","H52",105.3002,"e",53.3934,"e",39.0067,"e",36.858,"e"
2008,"AGO","F","H53",11.0788,"e",7.1102,"e",0.3586,"e",2.6513,"e"
2008,"AGO","F","I55T56",94.2746,"e",58.2759,"e",10.2577,"e",13.2737,"e"
2008,"AGO","F","J58T60",136.0171,"e",84.1014,"e",12.2664,"e",25.5413,"e"
2008,"AGO","F","J61",179.2623,"e",119.0298,"e",8.1145,"e",28.2825,"e"
2008,"AGO","F","J62T63",187.0059,"e",127.2703,"e",35.9933,"e",41.1031,"e"
2008,"AGO","F","K64T66",1220.6535,"e",772.875,"e",587.6327,"e",303.6157,"e"
2008,"AGO","F","L68",60.4596,"e",48.1997,"e",2.0873,"e",8.6134,"e"
2008,"AGO","F","M69T75",199.9163,"e",126.0633,"e",25.3694,"e",53.5984,"e"
2008,"AGO","F","N77T82",160.2112,"e",111.5239,"e",90.0403,"e",35.2903,"e"
2008,"AGO","F","O84",0,"",0,"",0,"",0,""
2008,"AGO","F","P85",7.2997,"e",6.332,"e",0.0475,"e",0.3993,"e"
2008,"AGO","F","Q86T88",16.6205,"e",11.4729,"e",0.3267,"e",2.2791,"e"
2008,"AGO","F","R90T93",13.9755,"e",8.6851,"e",5.5324,"e",2.4861,"e"
2008,"AGO","F","S94T96",16.4618,"e",11.0173,"e",0.7886,"e",2.3255,"e"
2008,"AGO","F","T97T98",0,"",0,"",0,"",0,""
2008,"AGO","D_MNE","A01T03",254.3799,"e",112.1871,"e",1.0343,"e",16.7582,"e"
2008,"AGO","D_MNE","B05T09",24321.7804,"e",16584.0833,"e",21562.8445,"e",3065.6045,"e"
2008,"AGO","D_MNE","C10T12",746.0687,"e",261.3577,"e",390.5933,"e",48.2434,"e"
2008,"AGO","D_MNE","C13T15",299.1349,"e",126.5028,"e",16.1303,"e",54.3852,"e"
2008,"AGO","D_MNE","C16",5.9423,"e",2.4166,"e",0.2327,"e",0.6005,"e"
