level,share,tax_loss_bn_total,2016,2017,2018,2019,2020,2021,2022
Federal (Bund),0.29935380123784,7.612625111476696,0.27595141408993196,1.2457102510726235,0.4771161152257817,0.35782133726001103,1.9154295973561104,1.9249282122721985,1.415668184200039
State (Länder),0.28093398522906393,7.144205624844622,0.26341283336733434,1.1898107002683234,0.4556195299864354,0.34005816385312365,1.783918844196046,1.7919769519307236,1.319408601242635
Municipal (Kommunen),0.419712213533096,10.673362833956343,0.3528201921260879,1.5873228250318347,0.6086211393625904,0.4690416027152397,2.7902989513202012,2.8101855158127953,2.0550726075875945
