iso_partner,partner_jurisdiction,net_bn,reported_bn,etr,etr_pct,role
IRL,Ireland,325.56961298163054,376.1218504322289,0.11072926892105953,11.072926892105952,winner_haven
NLD,Netherlands,122.32898355586624,178.43623093009703,0.07781289544638086,7.781289544638086,winner_haven
BEL,Belgium,6.695031364139174,43.14976671963861,0.17383767193561023,17.383767193561024,winner_haven
CYP,Cyprus,5.92551274375732,6.369638696390104,0.027944864062540813,2.794486406254081,winner_haven
HUN,Hungary,2.790399204947377,14.982222351969083,0.1436894235857327,14.36894235857327,winner_haven
LTU,Lithuania,0.8004534332963785,2.7965507238821554,0.08993030731855108,8.993030731855107,winner_haven
HRV,Croatia,-0.18807867032512982,0.7695097360527235,0.15187483919900657,15.187483919900657,loser_victim
LVA,Latvia,-0.298105664690991,0.15313630929229685,0.05290399066988495,5.2903990669884955,loser_victim
SVN,Slovenia,-0.6507901562919691,0.3937002134646347,0.24856614818454428,24.856614818454428,loser_victim
EST,Estonia,-0.7622318140040245,0.26668790171684764,0.07875545615669886,7.875545615669886,loser_victim
GRC,Greece,-0.837163335994481,2.136035996187881,0.1549830506178514,15.498305061785139,loser_victim
FIN,Finland,-2.731072114364572,4.1570457952876545,0.12121107254972618,12.121107254972618,loser_victim
BGR,Bulgaria,-3.6296577319318546,0.8172345893346754,0.08557454118348207,8.557454118348208,loser_victim
AUT,Austria,-3.898411292576122,5.286225115966242,0.10367293820249553,10.367293820249552,loser_victim
PRT,Portugal,-4.171948030201859,3.5444815769814175,0.10026252284178562,10.026252284178563,loser_victim
SVK,Slovak Republic,-5.001398428813443,3.637915517843844,0.1063003845659948,10.63003845659948,loser_victim
DNK,Denmark,-9.98875445367415,1.7755067959940463,0.111615583555342,11.1615583555342,loser_victim
ROU,Romania,-10.89928623799214,3.8771354395845834,0.14280536869128732,14.280536869128731,loser_victim
CZE,Czechia,-11.27089800458788,7.799494221469007,0.16121997587245832,16.121997587245833,loser_victim
SWE,Sweden,-13.003088123281643,5.287990796811456,0.10160741239526835,10.160741239526835,loser_victim
ITA,Italy,-15.349189898840901,28.432951708574684,0.17240738270392145,17.240738270392146,loser_victim
MLT,Malta,-18.93343928357109,-18.31318195301661,0.031626360527869574,3.1626360527869575,loser_victim
ESP,Spain,-23.26911250051556,23.450292508912803,0.13396742262672895,13.396742262672895,loser_victim
POL,Poland,-30.319842824904253,15.887873338482608,0.18281761681702371,18.28176168170237,loser_victim
FRA,France,-51.01770984609456,37.51425489755598,0.1784400198020652,17.84400198020652,loser_victim
LUX,Luxembourg,-77.50617602415763,-71.58374920169916,0.029678447842830972,2.967844784283097,loser_victim
DEU,Germany,-81.96086302438954,85.7276720262288,0.15528647277209534,15.528647277209535,loser_victim
