iso3,year,commodity,sub_commodity,bgs_commodity_code,hs_code,production,unit,source
AUS,2017,feldspar,,643,,5000.0,tonnes (metric),BGS_WMS
AUS,2017,gypsum and plaster,,653,,3629716.0,tonnes (metric),BGS_WMS
AUS,2017,iron ore,,662,2601,885356738.0,tonnes (metric),BGS_WMS
AUS,2017,kaolin,,697,,217673.0,tonnes (metric),BGS_WMS
AUS,2017,magnesite,,712,,234704.0,tonnes (metric),BGS_WMS
AUS,2017,phosphate rock,,738,2510,942373.0,tonnes (metric),BGS_WMS
AUS,2017,"platinum group metals, mine",Palladium,743,7110,765.0,kilograms (metal content),BGS_WMS
AUS,2017,salt,,760,,11280859.0,tonnes (metric),BGS_WMS
AUS,2017,talc,,774,,119000.0,tonnes (metric),BGS_WMS
AUS,2017,titanium minerals,Ilmenite,791,2614,693763.0,tonnes (metric),BGS_WMS
AUS,2017,titanium minerals,Leucoxene,792,2614,57148.0,tonnes (metric),BGS_WMS
AUS,2017,titanium minerals,Rutile,796,2614,227462.0,tonnes (metric),BGS_WMS
AUS,2017,alumina,,820,,20485770.0,tonnes (Al2O3 content),BGS_WMS
