iso3,year,commodity,sub_commodity,bgs_commodity_code,hs_code,production,unit,source
EGY,2017,iron ore,,662,2601,565000.0,tonnes (metric),BGS_WMS
VNM,2017,"petroleum, crude",,634,,15518000.0,tonnes (metric),BGS_WMS
VNM,2017,feldspar,,643,,100000.0,tonnes (metric),BGS_WMS
VNM,2017,fluorspar,,644,,234905.0,tonnes (metric),BGS_WMS
VNM,2017,iron ore,,662,2601,5515000.0,tonnes (metric),BGS_WMS
VNM,2017,kaolin,,697,,100000.0,tonnes (metric),BGS_WMS
VNM,2017,phosphate rock,,738,2510,4588000.0,tonnes (metric),BGS_WMS
VNM,2017,salt,,760,,648500.0,tonnes (metric),BGS_WMS
VNM,2017,titanium minerals,Ilmenite,791,2614,225300.0,tonnes (metric),BGS_WMS
VNM,2017,alumina,,820,,1062000.0,tonnes (Al2O3 content),BGS_WMS
VNM,2017,"antimony, mine",,821,2617,230.0,tonnes (metal content),BGS_WMS
VNM,2017,"bismuth, mine",,834,2617,2743.0,tonnes (metal content),BGS_WMS
VNM,2017,"copper, smelter",,850,,11500.0,tonnes (metric),BGS_WMS
VNM,2017,"gold, mine",,883,7108,557.0,kilograms,BGS_WMS
VNM,2017,"lead, mine",,891,2607,3800.0,tonnes (metal content),BGS_WMS
VNM,2017,manganese ore,,898,2602,50000.0,tonnes (metric),BGS_WMS
VNM,2017,natural gas,,905,,9866.0,million cubic metres,BGS_WMS
VNM,2017,"iron, pig",,913,,4250000.0,tonnes (metric),BGS_WMS
VNM,2017,"copper, refined",,928,,11500.0,tonnes (metric),BGS_WMS
VNM,2017,"lead, refined",,929,,31200.0,tonnes (metric),BGS_WMS
VNM,2017,"zinc, slab",,945,,10900.0,tonnes (metric),BGS_WMS
VNM,2017,"steel, crude",,946,,7746000.0,tonnes (metric),BGS_WMS
VNM,2017,"tin, mine",,971,2609,5200.0,tonnes (metal content),BGS_WMS
VNM,2017,"tungsten, mine",,976,2611,5178.0,tonnes (metal content),BGS_WMS
EGY,2017,kaolin,,697,,232000.0,tonnes (metric),BGS_WMS
VNM,2017,"zinc, mine",,982,2608,12000.0,tonnes (metal content),BGS_WMS
EGY,2017,phosphate rock,,738,2510,3524000.0,tonnes (metric),BGS_WMS
EGY,2017,salt,,760,,532000.0,tonnes (metric),BGS_WMS
EGY,2017,talc,,774,,15000.0,tonnes (metric),BGS_WMS
EGY,2017,ferro-alloys,Ferro-silicon,872,,63719.0,tonnes (metric),BGS_WMS
EGY,2017,ferro-alloys,Other ferro-alloys,877,,22871.0,tonnes (metric),BGS_WMS
EGY,2017,"gold, mine",,883,7108,16941.0,kilograms,BGS_WMS
EGY,2017,manganese ore,,898,2602,124794.0,tonnes (metric),BGS_WMS
EGY,2017,natural gas,,905,,55900.0,million cubic metres,BGS_WMS
EGY,2017,"iron, pig",,913,,4700000.0,tonnes (metric),BGS_WMS
EGY,2017,"aluminium, primary",,922,,298000.0,tonnes (metric),BGS_WMS
EGY,2017,"copper, refined",,928,,4000.0,tonnes (metric),BGS_WMS
EGY,2017,"lead, refined",,929,,26000.0,tonnes (metric),BGS_WMS
EGY,2017,"steel, crude",,946,,6870100.0,tonnes (metric),BGS_WMS
CYP,2017,"copper, mine",,19941,2603,1293.0,tonnes (metal content),BGS_WMS
CYP,2017,"silver, mine",,1995,7106,99.0,kilograms (metal content),BGS_WMS
CYP,2017,cement  clinker,"Cement, clinker",2003,,1815568.0,tonnes (metric),BGS_WMS
CYP,2017,"cement, finished","Cement, finished",2004,,1319351.0,tonnes (metric),BGS_WMS
CYP,2017,"aggregates, primary",Crushed rock,2005,,7034430.0,tonnes (metric),BGS_WMS
CYP,2017,bentonite and fuller's earth,Bentonite,596,,95593.0,tonnes (metric),BGS_WMS
CYP,2017,gypsum and plaster,,653,,703079.0,tonnes (metric),BGS_WMS
CYP,2017,"gold, mine",,883,7108,48.0,kilograms,BGS_WMS
CYP,2017,"copper, refined",,928,,1293.0,tonnes (metric),BGS_WMS
DNK,2017,"cement, finished","Cement, finished",2004,,2359131.0,tonnes (metric),BGS_WMS
DNK,2017,"aggregates, primary",Crushed rock,2005,,283000.0,tonnes (metric),BGS_WMS
DNK,2017,"aggregates, primary",Sand and gravel,2006,,49323000.0,tonnes (metric),BGS_WMS
DNK,2017,bentonite and fuller's earth,Bentonite,596,,69594.0,tonnes (metric),BGS_WMS
DNK,2017,"petroleum, crude",,634,,6740075.0,tonnes (metric),BGS_WMS
DNK,2017,salt,,760,,580000.0,tonnes (metric),BGS_WMS
DNK,2017,diatomite,Moler,855,,110000.0,tonnes (metric),BGS_WMS
DNK,2017,natural gas,,905,,4592.0,million cubic metres,BGS_WMS
GRC,2017,"nickel, mine",,19951,2604,19100.0,tonnes (metal content),BGS_WMS
GRC,2017,"silver, mine",,1995,7106,34200.0,kilograms (metal content),BGS_WMS
GRC,2017,cement  clinker,"Cement, clinker",2003,,7088107.0,tonnes (metric),BGS_WMS
GRC,2017,"cement, finished","Cement, finished",2004,,6334960.0,tonnes (metric),BGS_WMS
GRC,2017,"aggregates, primary",,2007,,38339770.0,tonnes (metric),BGS_WMS
GRC,2017,bauxite,,589,2606,1927000.0,tonnes (metric),BGS_WMS
GRC,2017,bentonite and fuller's earth,Bentonite,596,,1087800.0,tonnes (metric),BGS_WMS
GRC,2017,coal,Lignite,614,,37802600.0,tonnes (metric),BGS_WMS
GRC,2017,"petroleum, crude",,634,,313000.0,tonnes (metric),BGS_WMS
GRC,2017,gypsum and plaster,,653,,855000.0,tonnes (metric),BGS_WMS
GRC,2017,magnesite,,712,,499381.0,tonnes (metric),BGS_WMS
GRC,2017,salt,,760,,166527.0,tonnes (metric),BGS_WMS
GRC,2017,alumina,,820,,695400.0,tonnes (Al2O3 content),BGS_WMS
GRC,2017,bentonite and fuller's earth,Attapulgite,829,,54280.0,tonnes (metric),BGS_WMS
GRC,2017,ferro-alloys,Ferro-nickel,865,,86136.0,tonnes (metric),BGS_WMS
GRC,2017,"gold, mine",,883,7108,1571.0,kilograms,BGS_WMS
GRC,2017,"lead, mine",,891,2607,12600.0,tonnes (metal content),BGS_WMS
GRC,2017,natural gas,,905,,8.0,million cubic metres,BGS_WMS
GRC,2017,"nickel, smelter/refinery",,907,,16781.0,tonnes (metric),BGS_WMS
GRC,2017,perlite,,908,,932950.0,tonnes (metric),BGS_WMS
GRC,2017,"aluminium, primary",,922,,181630.0,tonnes (metric),BGS_WMS
GRC,2017,"lead, refined",,929,,28000.0,tonnes (metric),BGS_WMS
GRC,2017,"steel, crude",,946,,1359000.0,tonnes (metric),BGS_WMS
GRC,2017,"zinc, mine",,982,2608,17300.0,tonnes (metal content),BGS_WMS
MLT,2017,"aggregates, primary",Crushed rock,2005,,1340406.0,tonnes (metric),BGS_WMS
GNQ,2017,"petroleum, crude",,634,,9000000.0,tonnes (metric),BGS_WMS
GNQ,2017,"gold, mine",,883,7108,200.0,kilograms,BGS_WMS
GNQ,2017,natural gas,,905,,7192.0,million cubic metres,BGS_WMS
TLS,2017,"petroleum, crude",,634,,800000.0,tonnes (metric),BGS_WMS
TLS,2017,natural gas,,905,,5270.0,million cubic metres,BGS_WMS
TUR,2017,barytes,,1043,,292447.0,tonnes (metric),BGS_WMS
TUR,2017,"copper, mine",,19941,2603,83000.0,tonnes (metal content),BGS_WMS
TUR,2017,"nickel, mine",,19951,2604,14770.0,tonnes (metal content),BGS_WMS
TUR,2017,"silver, mine",,1995,7106,151490.0,kilograms (metal content),BGS_WMS
TUR,2017,"sodium carbonate, natural",,2001,,3274416.0,tonnes (metric),BGS_WMS
TUR,2017,cement  clinker,"Cement, clinker",2003,,70812559.0,tonnes (metric),BGS_WMS
TUR,2017,"cement, finished","Cement, finished",2004,,80552257.0,tonnes (metric),BGS_WMS
TUR,2017,bauxite,,589,2606,1719144.0,tonnes (metric),BGS_WMS
TUR,2017,bentonite and fuller's earth,Bentonite,596,,1481617.0,tonnes (metric),BGS_WMS
TUR,2017,bentonite and fuller's earth,Sepiolite,598,,15624.0,tonnes (metric),BGS_WMS
TUR,2017,chromium ores and concentrates,,607,2610,2554222.0,tonnes (metric),BGS_WMS
TUR,2017,coal,Anthracite,609,,1764028.0,tonnes (metric),BGS_WMS
TUR,2017,coal,Lignite,614,,84303492.0,tonnes (metric),BGS_WMS
TUR,2017,"petroleum, crude",,634,,2551929.0,tonnes (metric),BGS_WMS
TUR,2017,diatomite,,642,,169584.0,tonnes (metric),BGS_WMS
TUR,2017,feldspar,,643,,10273573.0,tonnes (metric),BGS_WMS
TUR,2017,fluorspar,,644,,20150.0,tonnes (metric),BGS_WMS
TUR,2017,gypsum and plaster,,653,,10223112.0,tonnes (metric),BGS_WMS
TUR,2017,iron ore,,662,2601,9992455.0,tonnes (metric),BGS_WMS
TUR,2017,kaolin,,697,,1362799.0,tonnes (metric),BGS_WMS
TUR,2017,magnesite,,712,,1694071.0,tonnes (metric),BGS_WMS
TUR,2017,mica,,716,,204.0,tonnes (metric),BGS_WMS
TUR,2017,salt,,760,,6673242.0,tonnes (metric),BGS_WMS
TUR,2017,talc,,774,,3882.0,tonnes (metric),BGS_WMS
TUR,2017,alumina,,820,,260000.0,tonnes (Al2O3 content),BGS_WMS
TUR,2017,"antimony, mine",,821,2617,4840.0,tonnes (metal content),BGS_WMS
TUR,2017,borates,,835,,2494627.0,tonnes (metric),BGS_WMS
TUR,2017,"cobalt, mine",,848,2605,220.0,tonnes (metal content),BGS_WMS
