iso_parent,shifted_bn,taxloss_bn,share_pct,imputed_frac
USA,428.1259203141796,103.12198841580705,17.11936741400287,0.0
CHN,367.20660328568783,81.40915109809765,14.683401448532846,0.3853984867701265
JPN,172.92166298138045,47.239038681854886,6.914576627937434,0.04332701166174262
BEL,148.39106844408957,43.0764522911715,5.933677689467099,0.15745952524995935
CHE,128.59429128559708,29.598034159392885,5.142068759223713,0.0
DEU,111.68673681950852,23.766957444349902,4.465990476542709,0.0
FRA,106.41746928117253,26.6154554963128,4.255289552559282,0.013717054503838874
NLD,75.12056156218462,17.87113565037526,3.0038276887919295,0.7342286964621731
NOR,73.00817122421915,16.14119420248481,2.9193600483115714,0.13594349239940534
GBR,71.94517429333082,16.619482734147535,2.876854247666564,1.0
SWE,71.26350536784354,16.906316396568364,2.8495965175539806,1.0
DNK,67.35630325547355,16.88246606547518,2.693360173645292,4.704222777308291e-06
BRA,64.27005923296929,16.143961705628517,2.56995128190674,0.025184751743951184
HKG,62.97881159237189,16.006988090339647,2.5183184754519727,2.2314789782610084e-07
KOR,55.12465823145262,13.047383395522697,2.204256348559888,1.0
LUX,53.06786120140145,14.615471844679616,2.1220117042093745,4.530009814058416e-05
CAN,47.11357497750052,10.968446159756903,1.8839191040689955,0.8087132323766718
CYM,41.95657734314891,10.534007540429133,1.677707489526196,0.0
ITA,41.648150521704885,10.090703413755937,1.6653745009681602,0.0
MEX,40.30773350003986,9.802318027323182,1.6117755703894479,0.0
SAU,29.914410922894287,7.425822654213141,1.1961802994471171,0.0
AUT,26.211765580033067,6.035012556539754,1.048123517503918,1.0
ZAF,21.20339455659902,5.351248005037541,0.847854999230386,0.21167978568651885
BMU,18.763213719640582,4.820592596259128,0.7502800795108688,0.008720593084225094
IND,18.561284719235154,4.566041616214231,0.7422055935116422,0.015222706523780678
IRL,17.876793364457576,4.274408773457899,0.7148350036030782,1.0
ESP,17.192298387809316,4.280121824531714,0.6874642688676491,0.00213064885708346
FIN,15.10229416049781,3.495489979474491,0.6038917763684608,1.0
AUS,14.817870672828928,4.050342076563466,0.5925186033005875,0.005526883816876309
PER,13.340404736075328,3.2990386971020813,0.5334395309697243,0.0
PRT,11.870072778992414,2.509678919184223,0.47464572335494476,3.834423750430618e-05
ROU,10.383125222789776,2.2869393382240006,0.41518751180516034,0.0
SGP,9.023529794484817,2.230438607907293,0.36082169892826055,0.5549672509391318
MYS,8.43439488229016,2.043452145691863,0.3372641039784492,0.3925699345742773
TUR,7.314433146030744,1.5324128205548706,0.29248046546719203,0.2544585873623014
ARE,5.112195756858332,1.0378506696835772,0.20442013272576356,0.0
GRC,4.841011133580662,0.8377229633662802,0.19357633891969947,0.3519374047362044
CZE,4.162548649613104,0.9786769367670546,0.16644682400704452,1.0
IDN,3.9705762350528535,1.0569233375935374,0.15877046959290755,0.009683142307300465
POL,2.785464419325372,0.6854722083485645,0.11138169064388659,0.9781255653261178
COL,2.3553696184756205,0.5499684319468073,0.09418359408109031,1.0
HUN,1.702219624524758,0.4046084908705409,0.06806624357193863,1.0
IMN,1.4057877212904015,0.3298971374080555,0.0562128929012364,1.0
MUS,1.3702981683339386,0.31641332306003467,0.054793780748497445,1.0
NZL,1.0288295195327248,0.23637878428975176,0.041139556648024364,1.0
LTU,0.8336507940889224,0.166057405314515,0.033334992257675826,0.0634277563006227
ARG,0.46722440068659016,0.11679873780660331,0.018682788872655225,0.0007464071316499316
AZE,0.4019079365325341,0.08391515999265227,0.016070995250778132,0.0
MAR,0.3917947340844023,0.09037809622411717,0.015666601075544104,1.0
CHL,0.379185772436582,0.09188970017903857,0.015162409582070178,0.7744779665498455
BGR,0.3279086776226687,0.07157753729097271,0.013112004819382956,0.5179484374005705
SVN,0.30551520489189615,0.0632456541971094,0.012216562452632026,0.48327387631884966
LVA,0.2856521493000589,0.06927826770438517,0.011422303262737878,0.663309949517525
BHR,0.14033425735712501,0.032625127100430605,0.005611511937200242,0.941348396787518
MAC,0.027421209302406553,0.006360990240715684,0.0010964852505068552,1.0
PAN,0.01884439448803589,0.0047110986220089725,0.0007535262352215309,0.0
TUN,0.0,0.0,0.0,0.0
UKR,0.0,0.0,0.0,0.0
