iso_partner,partner_jurisdiction,net_bn,reported_bn,etr,etr_pct,role
IRL,Ireland,347.9741409423083,478.7778047956934,0.11072926892105953,11.072926892105952,winner_haven
NLD,Netherlands,298.1571917668858,752.1296053020604,0.07781289544638086,7.781289544638086,winner_haven
DNK,Denmark,105.92209644853996,273.32129655908807,0.111615583555342,11.1615583555342,winner_haven
MLT,Malta,35.9654962093014,44.816326469747935,0.031626360527869574,3.1626360527869575,winner_haven
HRV,Croatia,11.813224195718776,76.630009215835,0.15187483919900657,15.187483919900657,winner_haven
LUX,Luxembourg,11.608683679810108,-15.34172409568281,0.029678447842830972,2.967844784283097,winner_haven
SWE,Sweden,8.784404542038914,405.2712738782252,0.10160741239526835,10.160741239526835,winner_haven
GRC,Greece,-6.451720262078807,19.297777566175967,0.1549830506178514,15.498305061785139,loser_victim
SVN,Slovenia,-8.063075936927877,14.095270813545179,0.24856614818454428,24.856614818454428,loser_victim
BGR,Bulgaria,-10.18557042713748,21.8933364669069,0.08557454118348207,8.557454118348208,loser_victim
LTU,Lithuania,-12.844726387700423,11.385591045259895,0.08993030731855108,8.993030731855107,loser_victim
PRT,Portugal,-15.079079292055052,77.03274166761152,0.10026252284178562,10.026252284178563,loser_victim
CYP,Cyprus,-18.078797703567197,26.64757354944032,0.027944864062540813,2.794486406254081,loser_victim
SVK,Slovak Republic,-26.615258308611864,58.87778208532122,0.1063003845659948,10.63003845659948,loser_victim
AUT,Austria,-28.242318077710806,184.331286450745,0.10367293820249553,10.367293820249552,loser_victim
HUN,Hungary,-37.4247178362922,48.21082273984474,0.1436894235857327,14.36894235857327,loser_victim
ITA,Italy,-45.148302384107176,452.3675244692998,0.17240738270392145,17.240738270392146,loser_victim
CZE,Czechia,-46.556325768487596,96.56067371803573,0.16121997587245832,16.121997587245833,loser_victim
EST,Estonia,-79.14096704846754,8.298409621065288,0.07875545615669886,7.875545615669886,loser_victim
LVA,Latvia,-80.68028252125434,55.74856985167421,0.05290399066988495,5.2903990669884955,loser_victim
FIN,Finland,-81.87256331757698,113.0964959677647,0.12121107254972618,12.121107254972618,loser_victim
ROU,Romania,-84.25958039252801,67.21360383822332,0.14280536869128732,14.280536869128731,loser_victim
POL,Poland,-161.28858592298545,154.7505432424757,0.18281761681702371,18.28176168170237,loser_victim
ESP,Spain,-202.18461899917918,369.8292384782663,0.13396742262672895,13.396742262672895,loser_victim
FRA,France,-294.96781605464435,799.367283900594,0.1784400198020652,17.84400198020652,loser_victim
BEL,Belgium,-300.5789458052708,229.67585785986313,0.17383767193561023,17.383767193561024,loser_victim
DEU,Germany,-443.53944622660384,1236.4326357123878,0.15528647277209534,15.528647277209535,loser_victim
