iso_partner,partner_jurisdiction,2016,2017,2018,2019,2020,2021,2022
AUT,Austria,0.7169496397190559,2.956201209599833,3.2751631011448397,2.0901980918559935,1.0440860741839528,2.247547862515796,3.0599266910097005
BEL,Belgium,9.92502528524082,22.24454658042881,18.153251298890822,23.79039562035371,3.044943571293444,7.608217086487551,12.407061543013151
BGR,Bulgaria,0.04579402009001305,0.21059194976718465,0.2143472425710061,0.20643005148754348,0.14435932793869125,0.327802212732136,0.28431685422995356
CYP,Cyprus,0.4908946965392781,0.7226345586186068,0.8499664483281953,0.8211464667049705,0.6082569458824113,0.7529279217372223,0.853689997200755
CZE,Czechia,0.51707288152856,1.5460787600334198,2.0354464419138565,1.549580968834637,1.1922963803663529,2.26505023875247,2.9058450449604343
DEU,Germany,15.714991024623309,15.716420236409732,23.4362492312222,14.016855678024832,25.81941099275911,40.35523101496461,20.821380582305586
DNK,Denmark,0.2639213988997659,1.0087221827296848,1.1478406234320477,2.242965631583544,0.8131344338239015,1.4691581885000315,2.254139958461185
ESP,Spain,2.394870944454649,4.431579603739033,6.952862543208662,11.684851779453416,10.188478329190955,13.428208848515009,11.309288248512235
EST,Estonia,0.5176416601846652,0.7902836174469262,0.8561916903247708,0.8169137170839204,0.8943348135399262,12.64061212417165,0.6733607608609213
FIN,Finland,0.39340354429417224,0.7915054307098249,16.116673470299965,1.2854427540285043,1.0072669166838868,1.4005694521887575,1.394038491525456
FRA,France,4.523891037062558,18.373170377827048,14.9410476023833,15.703599555748072,8.376877878723132,20.1510098974406,26.873908387904457
GRC,Greece,0.3624626267560008,1.8902957839044487,0.1438181221204908,0.46566855416439806,0.08924565455421656,0.39918435405110253,0.33908277624595623
HRV,Croatia,0.14832103613539407,0.6787185560110203,0.486855014625473,0.3265209261211091,0.1380576769574085,0.5653670708834484,0.25746707371406974
HUN,Hungary,0.20407216534144837,1.5671730624562892,0.7885009860414205,0.45845658117383115,0.2696633975996125,0.7833581253219545,0.8179005258989456
IRL,Ireland,0.211580593126692,0.16282609066105252,1.5732894597939688,0.25708134387462606,1.649928320050193,2.5150578232735237,4.209874487554942
ITA,Italy,5.371609829804636,2.2452850341936434,1.772326866220602,2.279502348006451,2.459613848331781,8.794362862998117,6.616858937467289
LTU,Lithuania,0.17673306084431478,0.32469722651763266,0.363325186342,0.3205752099364306,0.19207557635711736,0.49694511573992856,0.3868779799956546
LUX,Luxembourg,1.465561544043312,3.166326393970743,1.750721572224067,6.534375881139066,11.06558305928432,22.72456273183292,5.233304423614181
LVA,Latvia,0.08623501421630586,0.3699645011243285,0.4573096337457896,0.4691219946297287,0.3044288565265699,18.986711793456188,0.32893072547193014
MLT,Malta,0.006171108293046164,0.01969609526221102,0.035531686067241726,0.04784475367741163,1.4982956572627124,0.034997829640780895,0.12435782348849472
NLD,Netherlands,0.20913053598896464,3.860272369440027,4.446914313533599,6.305815186152281,7.567540352617403,12.497864011099209,5.773633028279035
POL,Poland,2.431142901826183,4.7475942655450485,4.593202748889399,5.189772911760463,3.3234175001608572,7.304494739735032,6.185561387026276
PRT,Portugal,0.7650969146979919,0.8703440499709163,0.9732548682869139,1.3845550630653027,1.3653108880292646,2.500247666410465,1.5437054348441073
ROU,Romania,0.7049602680262517,1.763398247356283,2.207055311136925,2.662163283306591,1.6856704268613947,3.260108959741647,2.238730894847146
SVK,Slovak Republic,0.5252324818081039,1.4405980804850782,1.3209192216772705,1.2853959682532758,0.6785173650188754,1.4002596106495901,0.941038412497776
SVN,Slovenia,0.1059705068649027,0.3255110028731684,0.2919614135262161,0.3447279201072964,0.2102695379127992,0.298674555945577,0.3766629015491249
SWE,Sweden,0.7082441074218132,3.1579283036606745,8.427550805305774,3.10163579882464,2.242969341893905,6.969076340496949,5.478778431973047
