iso3,year,cit_revenue_usd
COD,2017,512365923.29999995
COD,2018,1074172937.0
COD,2019,1130441837.0
COD,2020,640044679.6999999
COD,2021,1361800162.0
COD,2022,3521582560.0
COD,2023,2566590278.0
COG,2015,333473621.0
COG,2016,269496015.9
COG,2017,212864677.5
COG,2018,43649440.43
COG,2019,122725253.2
COG,2020,125249997.5
COG,2021,84920310.02
COG,2022,78990403.23
COG,2023,135583498.20000002
COK,2015,9340500.4620024
COK,2016,11245792.903012501
COK,2017,15694471.652854001
COK,2018,17018730.579591997
COK,2019,11509511.6528041
COK,2020,10837465.2574676
COK,2021,4706464.8465129
COK,2022,3039642.9393418
COK,2023,8725557.5267757
COL,2015,15102168000.0
COL,2016,13867443000.0
COL,2017,15238638000.0
COL,2018,16459344000.000002
COL,2019,15322860000.0
COL,2020,11712502000.0
COL,2021,14540311000.0
COL,2022,17222174000.0
COL,2023,26191560000.0
CPV,2015,43695654.72
CPV,2016,37448909.309999995
CPV,2017,43250984.269999996
CPV,2018,57521621.96
CPV,2019,55550022.120000005
CPV,2020,35299552.239999995
CPV,2021,29389755.05
CPV,2022,30655160.04
CPV,2023,54103800.550000004
CRI,2015,1234555000.0
CRI,2016,1362139000.0
CRI,2017,1486978000.0
CRI,2018,1586356000.0
CRI,2019,1801627000.0
CRI,2020,1184049000.0
CRI,2021,1563418000.0
CRI,2022,1837072000.0
CRI,2023,2288263000.0
CUB,2015,4827900000.0
CUB,2016,5675200000.0
CUB,2017,6651324058.0
CUB,2018,7092097441.0
CUB,2019,7494928986.0
CUB,2020,6796489562.0
CUB,2021,1548425284.0
CUB,2022,960082286.0
CUB,2023,661112474.0
CZE,2015,6711317000.0
CZE,2016,7314014000.0
CZE,2017,8056089000.0
CZE,2018,9020514000.0
CZE,2019,8857236000.0
CZE,2020,8040267999.999999
CZE,2021,11180895000.0
CZE,2022,12897207000.0
CZE,2023,15303556000.0
DEU,2015,57721326000.0
DEU,2016,68502945999.99999
DEU,2017,74677533000.0
DEU,2018,85106634000.0
DEU,2019,76795973000.0
DEU,2020,62668902000.0
DEU,2021,97796081000.0
DEU,2022,97357480000.0
DEU,2023,102219843000.0
DNK,2015,9193647000.0
DNK,2016,9466127000.0
DNK,2017,10881367000.0
DNK,2018,9870208000.0
DNK,2019,10918446000.0
DNK,2020,10351395000.0
DNK,2021,16244323999.999998
DNK,2022,13585251000.0
DNK,2023,14925462000.0
DOM,2015,1365999332.0
DOM,2016,1501052023.0
DOM,2017,1743395715.0
DOM,2018,1775357167.0
DOM,2019,1872022654.0
DOM,2020,1599832282.0
DOM,2021,2639547616.0
DOM,2022,2557401969.0
DOM,2023,3209744911.0
ECU,2015,1723403855.0
ECU,2016,1377360646.0
ECU,2017,1073696382.0000001
ECU,2018,1893768189.0
ECU,2019,1307661489.0
ECU,2020,1332879091.0
ECU,2021,899151672.0
ECU,2022,1349501831.0
ECU,2023,1316685112.0
EGY,2015,14713571950.0
EGY,2016,15395373000.0
EGY,2017,9907519619.0
EGY,2018,10510787440.0
EGY,2019,11912640230.0
EGY,2020,14787604340.0
EGY,2021,16180591840.0
EGY,2022,18758126550.0
EGY,2023,16673174029.999998
ESP,2015,26349834000.0
ESP,2016,27297351000.0
ESP,2017,29340063000.0
ESP,2018,35020011000.0
ESP,2019,28742516000.0
ESP,2020,25148885000.0
ESP,2021,38194239000.0
ESP,2022,38514191000.0
ESP,2023,47036244000.0
EST,2015,470755000.0
EST,2016,408602000.0
EST,2017,412955000.0
EST,2018,611557000.0
EST,2019,569925000.0
EST,2020,513453000.00000006
EST,2021,569104000.0
EST,2022,627760000.0
EST,2023,775163000.0
FIN,2015,5044957000.0
FIN,2016,5310924000.0
FIN,2017,6921553000.0
FIN,2018,7010143000.0
FIN,2019,6794093000.0
FIN,2020,5812639000.0
FIN,2021,8095859000.000001
FIN,2022,8483358000.000001
FIN,2023,8416591000.0
FJI,2015,184292030.63375902
FJI,2016,242004527.455011
FJI,2017,296954490.746301
FJI,2018,260897882.079622
FJI,2019,236963084.690954
FJI,2020,150517637.253746
FJI,2021,133958660.38822299
FJI,2022,163975205.771299
FJI,2023,249129044.858428
FRA,2015,47423742000.0
FRA,2016,45349299000.0
FRA,2017,56632302000.0
FRA,2018,53149187000.0
FRA,2019,56070238000.0
FRA,2020,60088935000.0
FRA,2021,71198749000.0
FRA,2022,79612414000.0
FRA,2023,71723647000.0
GAB,2015,581146895.8000001
GAB,2016,339298196.9
GAB,2017,403231539.5
GAB,2018,492424302.59999996
GAB,2019,744184099.2
GAB,2020,668878803.3
GAB,2021,488620361.9
GAB,2022,881611353.8
GAB,2023,1387410152.0
GBR,2015,66956435000.0
GBR,2016,69684892000.0
GBR,2017,70296804000.0
